,stemmed,sentiment
135,aku islam slma aku g trsinggung bg erick banyak yg bilang ericko lim g pantes ngomong gitu kamu g pantes idup jls cara ngomongnya bg erick gitu gestur ny dasar fans tunda,1
136,aku sakid selesai nonton video,1
137,aku jonton channel selaku ketawa wkwkwkwk aku sangat hibur ads negatif dikit,1
138,aku kalau banyak orng yg bilang konten ini itu pikir erik bilang jangan tonton gampang,1
139,aku kamu jangan hirau hatersnya kamu lebih baik kamu ttp karya biar banyak subscribe,1
140,aku kangen filty rick,1
141,aku kangen intro erick yg dulu akhir pake good lah,1
142,aku ken soaper bang aku ken gemar,1
143,aku ken gemar bang aku ken gemar bang,1
144,aku hatres,1
145,aku komentar pertama,1
146,aku mah suport ama kamu bang kamu motivasi buat aku,1
147,aku mau komentar hate,1
148,aku mau tau pokok kamu colab sama bg qory,1
149,aku ngakakakak ulang,1
150,aku ngikutin kamu lama konten konten kamu hilang stres aku tysm,1
151,aku ngkak nonton gnian wkwkwk,1
152,aku nntn iklan hampir menit saya skip,1
153,aku nnton smbil makan wktu hampir muncrat nasi urik,1
154,aku nonton fak,1
155,aku nonton iklan bola,1
156,aku nonton,1
157,aku nonton penasaran taikkk wkwkw,1
158,aku nonton video nonton komenya,1
159,aku nonton yotub kamu lucu gitu,1
160,aku nontonin ericko aku ken tau tipe tipe manusia aneh cipta tuhan walaupun liat salah mata aku yaaa manusia punya pilih hidup masing masuk benci kalau tuhan ciptain manusia se tipe hape pc alat kamu gunain sama speknya kalau semua sama asek kali sungai got garing idup tjoy wasalal lah,-1
161,aku nyariin tombol subscriber nemu wkwk,1
162,aku ken komentar hate biar dibacain dijadiin part sama erik,1
163,aku percaya kamu salah satu contoh internet personality,1
164,aku pikir subscribers kamu bilang gitu cuman komentar kalau ketemu langsung minta poto,1
165,aku pribadi masalah mau se toxic apa elu aku fine fine mau elu buat konten upnormal,1
166,aku pribadi masalah aku punya otak baik aku pilih mana baik buat aku mana buruk diri aku,1
167,aku salut sama kamu erick aku ambil postifnya kamu yg aku contoh walaupun kamu banyak benci kamu tak henti karya ericko lim,1
168,aku selalu setia like videoluh bang meski aku tau kontent luh kurang faedah aku tau luh butuh duit bang makan luh aku fakir like sama subscribe,1
169,aku selalu bang,1
170,aku semenjak nonton erickontoru jujur hidup aku ubah parah aku jd toxic karuan temen sekolah aku kadang aku iseng teriak jalan temen aku tetep fun fun sama memang omong hitam percaya buat ku suci,1
171,aku senang nonton pideo kamu aku anggap kamu sakit bg akakakakakakaka jdi kamu ngomong bner aku malah ketawa akakak,1
172,aku sering nonton video kamu aku subscribe nonton pas video lewat branda aku vvvv,1
173,aku skip iklan biar kamu kaya kasi aku sama kamu,1
174,aku soapking jateng,1
175,aku soapperzzzz,1
176,aku sopport kamu bang sukses selalu,1
177,aku subscribe buat ngebully kamu erick hehehe gpp like,1
178,aku subscribe chanel kamu x bang,1
179,aku subscribe kamu kamu kocak sayang bahasa kasar kamu takut buat anak orok salah cerna,1
180,aku subscribe kamu kamu sikap kaya orgil bang wkwkw,1
181,aku subscribe kamu subscriber kamu sampe sekarang aku pernah like ericko lim,-1
182,aku subscribe kamu video kamu buat aku ketawa,1
183,aku subscribe permanen bang channel didik hehehe,1
184,aku subscribe x bang akhir paidahnya jg ni chenel ujung video anjyaaayyy,1
185,aku suka eriko kalau tonton tambah makin goblook n channel tolol,-1
186,aku suka gaya kamu anjing manusia jaman now usah peduliin benci kamu jink,1
187,aku suka kamu erick kontol,-1
188,aku suport kamu terus bang kamu tu inspirasi hidup aku bang aku dlu subscribe kamu,1
189,aku support kamu,1
190,aku support kamu rick,1
191,aku support kamu terus erick,1
192,aku tantang kamu colab sama rando berani,1
193,aku tau kamu kenal kamu usah ngeledek buat lagu jelas semua manusia saudara bro,1
194,aku tekan tombol subscribe kali bang,1
195,aku telusur nyata komposisi komentar video erick,1
196,aku tetep dukung kamu ther jangan dengerin omngan yg enakin mungkin cuma tau video sifat kamu smbng petakilan bgtu dia gatau hari kamu hati kamu kaya gmna no komentar bang,1
197,aku tetep gemar dong wkwkwkwkkw,1
198,aku tetep suport kamu channel donasi donasi sombong ngakuin youtubers indonesia,1
199,aku tetep tonton bang soal lawa garing wkwkwkwk,1
200,aku toxic wkwk aku toxic au paling cuman ama emak doang toxic wkwk,1
201,aku ttp dukung u bang erick,1
202,aku tujuh ama kamu bang erico,1
203,aku tujuh kamu bg ericko lim,1
204,aku tujuh sama kamu bang,1
205,aku udah unsub kamu kapan,1
206,aku ulang ulang terus anjay,1
207,aku vans,1
208,aku viwerlu bang i love you,1
209,aku yakin walaupun bilang channel mutu didik tetap nonton,1
210,akua tampan,1
211,akun fake asu,1
212,akwkwk intro kentot,1
213,akwoakwoakaoakakk terbaikkk bangsattttt tertawa,1
214,alah haters akmj kalian tau sifat asli erickolim padahal ada channel si daylen bang erickolim toxic buat subscriber alias buat konten adsens tidak percaya liat channel saints daylen,1
215,alah harus benci,1
216,alahk jancok,1
217,alas aku nonton ni channel cuman,1
218,alay,-1
219,albar turnama tm gelud lah benci miskin kotor,-1
220,alhamdulillah intro wkwk,1
221,alhasil yg ngebullykamut e r d y a m,1
222,allah dajjal,1
223,alphiandi yak wkwkw,1
224,always absen bg eric,1
225,always sad,1
226,always gemar,1
227,alwi israkamublm tau sejarah erick,1
228,alya toxic kamu kentot,1
229,alya toxic omong kasar,1
230,aman antum kalau manfaat tidak hibur jangan maksain youtuber,1
231,aman mhank,1
232,ambil hikmah goblok,-1
233,ambil hikmah stiap orang punya tujuh isi vidionya orang trtentu yg erti,1
234,ambil lucu,1
235,ambil baik buang buruk yah pun ada baik sih manusia punya akal pikir kalau buruk contoh bego orang bukan content creatornya bangsaaat kasi bapak emakkamungentot tengah malem keringetan sampe lecet kalau keluar orang punya otak yang tidak bedain benar sma salah,-1
236,ambil yg baik abai yg buruk cuk yg penting hepyyy kwkekw,1
237,amin,1
238,ammin,1
239,an dika by the way poto aku tahun lalu,1
240,anak haram,1
241,anak haram orang,1
242,anak hasil ngelonte orang,1
243,anak jahannam,1
244,anak kecil aku doang ni,1
245,anak kentot ah,1
246,anak muda nerima erik bisa nerima arti pernah muda,1
247,anak pinter yg uda tau isi konten faedah masih ttep tonton ngomen jelas asa paling benar,-1
248,anak sule kamu,1
249,anak yg dibwh th jangan kasih hp lah ajg baru umur segitu sekolah dlu yg benar,1
250,anan masyarakat sangat menghiburrr wkwkkw,1
251,anang burhan erick kuat bawa qorygore,1
252,mau vagina kalau mau buka google bangsat kalau bisa pake vpn bangsat sorry aku ngegas aku erickolim account dua bangsat hiya hiya hiya,-1
253,orang jawa ajar lestari budaya jawa,1
254,andi fajar katakamucari subciriber murah nyuru nyuruh orang hapus chanel,1
255,ane dukung kamu ric,1
256,ane lapar bang,1
257,ane netral,1
258,anggap ajah benci jemboeut muncul,1
259,anggep bencong toket,-1
260,anggita rumah mu mana ketemu a cok,1
261,anime campur bagikamubagi orang hah,1
262,anime campur makanya kalok ngomong pikir mas jangan langsung nyerobot jalan raya wkwkwkwkwk otak teri otak teti,1
263,anime campur sekarang aku tanyak orang kalok ketemu ericko lim selalu minta fotbar berat udah kenal udah penjuru udah banyak kenal berat istilah pasti udah kenal bisa sebut jg artis orang banyak coli gin,1
264,anjingkok my lord qorygore,1
265,anjingnk kamu buncit tampan mana nenen kamu gede sama kim hidung pesek jepit toket,1
266,anjaay seperti gmna gitu kontol,1
267,anja auto tertawa ru l,1
268,anjay,1
269,anjay intro baru ericko lim tobat intro yg lama wkkwkw tw dosa rupaya el,-1
270,anjay intro legend,1
271,anjay intro,1
272,anjaykamulim,1
273,anjay,1
274,anjay kses terus bang salam shoapers bal fans eriko like sini,1
275,anjay komentar kaya benci ahhh,1
276,anjay seksi banget pentil anjayyyyyyyy,1
277,anjing bau gore haha,1
278,anjing ngaka aku rick liatkoment haterskamuwkwkwk,1
279,anjing tiap nonton kamu erick jari slalu siap buat teken volume takut jumscare ape cuma yg gin wkwk punya channel mau ngapain emang situ gedein chanellnya liat proses bro jangan hasil fuck the benci,1
280,anjenk bang erick wkwkwk,1
281,anjenk mukekamuudh kaya uya kuya bangsat,1
282,anjerr iklan aku tidak di skip xd,1
283,anjerrr nonton iklan mulu bangsat wkwk ngesubs kamu bukan arti kamu goblok bukan banhg orang orang jelas ngehate kamu kamu pikir buat video pake otak terus ngeditnya blom apa banyak lah ngedukung kamu bang moga kamu jaya terus fokus to karir kamu,1
284,anjing aku g berani ngebesarin volume bcs pake headset takut tuli,1
285,anjing lah like videokamuteruskamuga pernah like comment like komentar skali by the way qorygore g ikut ytb rewind,1
286,anjiiing kangen pas elu main pb,1
287,anjiiirrrr aku ngakak lanjut toll,1
288,anjiingg aku fans berat ama kamu bg eric moga lancar terus y ganbatte,1
289,anjing qorygaaaahhhhh bro bro wkwkwkwk mantap rick,-1
290,anjing aku minum pindah hidung air bangsaattt wkwkwk,-1
291,anjing jujur aku suka sama channel elu tiap kamu upload aku tonton ape kelar,-1
292,anjingkamugoblok saya suka videokamujadi aku subscribe,-1
293,anjing nasehat anjay bnr terusin lah aku suka i love you erickontolim,-1
294,anjing aku tertawa bangsad hahaahaha,1
295,anjing ending dilamain biar adsens ngalir ber banyak kalau lebih toxic lu,1
296,anjing iklan skipp,1
297,anjing iklan bisa skipp,1
298,anjing intro jmn old is back,1
299,anjing lo,1
300,anjing ngukuk bang,1
301,anjing tertawa liat adi kenal kamu gara gara penasaran ericko t siapa,1
302,anjing wlau gemar kq aku neng liat kamu nyampah peppek memang mantap kontol kau vagina kentod,-1
303,anjinnkk tertawa aku,1
304,anjir bang qory,-1
305,anjir dewa gemah qorygore,-1
306,anjir bando wkwkw,-1
307,anjir ada efek instagramnya wkwkwk,-1
308,anjir baru nang kucing aku mati liat video langsung ketawa,-1
309,anjir tertawa,-1
310,anjir aku dapet iklan bangsat,-1
311,anjir intro legend balik lgi kwkwkkwkwkwkwkwkwk,-1
312,anjir intro legend wkwkwkwkw,-1
313,anjir qorygore,-1
314,anjir lipetan,-1
315,anjir lol,-1
316,anjir nonton channelkamuwajib make headset bang hahaha,-1
317,anjir opening bkn ngakakmong serius suka buat motivasi anjing,-1
318,anjir terakiran ada iklan anjir wkwkw,-1
319,anjir tertawa,-1
320,anjirr muka warpath sama daylen jahahhahahahahaha tertawa,1
321,anjirr baper yg komentar ten doang,1
322,anjirr parahh,1
323,anjir gilaa nihh benci ericko lim,1
324,anjir intro,1
325,anjng dah wkwkwkkw ken benci erick mantaaapp,1
326,ankuu gaming nah teladan,1
327,ankuu gaming yogs betul cok,1
328,golden ama silvier,1
329,anti anti baper clubanya suka samakamutapi nonton videokamubuat hibur doang inget lah bang pohon buah yg lempari batu kayu tai jembut hate ah mana tau baca eric kontol,-1
330,anti anti haters club,1
331,anti anti skip clun hd tinggi in,1
332,anti pantad typyd si erick mah,1
333,anti sekip kleb,1
334,anti sekip sekip club,1
335,anti sensor sensor club bilang kinthil di sensor,1
336,anti skip bangoooott,1
337,anti skip club,1
338,anti skip iklan,1
339,anti skip iklan biar nambah dana buat yt rewind k wkwkkw,1
340,anti skip iklan club mana like wkwk,1
341,anti skip klub,1
342,anti skip skip club,1
343,anti skip skip club biarkamubisa makan tod,1
344,anti skip skip club indonesia,1
345,anti skip skip club tapikamubanyak lemak lemak gendut,-1
346,anti skip skip,1
347,anti skip skip iklan,1
348,anti skip skip iklan club dapet apa nihh rickk,1
349,anti skip skip iklan club tetap stay anjing by the way aku suka chanel anjing,-1
350,anti skip skip sabun eh iklan,1
351,anti skipp skipp iklan gantiin buat,1
352,anukamukecil,1
353,anjing opening nyolong jesnolumutan eeeeeh maksutnya jesnolimit,1
354,aowkaowk kotor x tertawa aku asu,-1
355,apa,1
356,apa aku kesini sg obby g prnh wkwkwk,1
357,apa an hatter bawa berkah,1
358,apa arti toxic bro erickolim,1
359,apa arti like,1
360,apa benar gan kalau saia menaburkam rumah ular usir garam,1
361,apa cmn yg anti skip club,1
362,apa cuma aku doank yg ngerasa,1
363,apa cuma aku yg hibur nonton bang eriko tertawa hahaha,1
364,apa cuma aku yg nonton videoerico lim iklan aku skip,1
365,apa cuma aku yg pertama kali liat erickolim curhatt,1
366,apa cuma di videoini birah sama kim hime,-1
367,apa cuma pikir kalau ni youtuber youtuber paling tau diri,1
368,apa cuma yg nnton chanel ni makhluk slalu pke headset,1
369,apa cuma yg pause pas gambar motong jembud,-1
370,apa cuma yg sini kalok nontn chanelnya eric pakai henset biar kedengeran org yg dekat wkwkk aku kesel aku buka channel kamu langsung ketawa tertawa gara toxic kamu bang,1
371,apa cuma aku yg pernah skip,1
372,apa cuma aku nntn bareng emak,1
373,apa cuma aku subscribe eriko murni hati nurani,1
374,apa cuma aku yg ngerasa ericko lim turun cina,1
375,apa cuma asa aku kalau edit si eric niru pewdiepie kalau iya brrti si eric kurang kreatif,1
376,apa cuman aku yg bukan benci sini akmj,1
377,apa cuman nonton tiap videoelu rick kagak subscribe,1
378,apa cuman video erik jarang dapet iklan,1
379,apa cuman aku tidak berani skip iklan laen tidak aku masuk benci,1
380,apa fans tunda,1
381,apa terima,1
382,apa jadi benci kamu komentar baca eaa,1
383,apa tertawa dup asi gore buat conten gemar,1
384,apa aku jadi benci biar koment aku baca,1
385,apa hak baca komentar,1
386,apa hak tanya,1
387,apa hubung ama pantat,-1
388,apa kamu ngomong kasar,1
389,apa enakx haters,1
390,apa faedah hatersin karya orangik wik wik wik wik wik oh oh oh oh oh,1
391,apa takut contoh g salah bang bukannyakamuyang nyontoh filthy prank,1
392,apa tangan mu tato,1
393,apa yg benci bilang usah peduli bang aku terus support kamu terus karya bang,1
394,apaapaan iklan menit skip setan video sangat faedah knp kamu cpet sukses njiirrrr buat eneg liat kamu juta subscribe lebih baik salip atta cara kamu yg jdiin teladan,-1
395,aku jadi benci mu bang biar kamu baca,1
396,apalu kata smp sma kata anak remaja woy udah bedain mana baik mana buruk dulu inget banget malah smp ajar cara hadap globalisasi salah satu sifat selektif nah sini anak smp arti udah diajarin bagaimana sma gaush dibilangin lg kalau tiru anak goblok,-1
397,apas,1
398,apas kotor jelas ngntod,-1
399,apasiii sampah,-1
400,apip pekan baru,1
401,arap,1
402,arap tato,1
403,arap fans botjah,1
404,arap goblok,-1
405,ari jr,1
406,arifin gt hahha iya bnr,1
407,arti luh gx butuh subscribe donk,1
408,arti mungkin posisi kamu sama jd pas kamu liat org yg senasip ama kamu kamu rasa kalau pernah ngerasain itu yg buat kamu ketawa sadar,1
409,as well as make me happy is oke,1
410,asal muasal benci iblis,1
411,asbi poci hai nak,1
412,asddaadxjsjansb,1
413,asekkkk lagi opening legend asu wkwkw,1
414,ashaduallahila hail waashaduana muhammadrasullah,1
415,ashiaap,1
416,ashu iklan keluar,1
417,ashyhadu allaa ilaaha illallah wa ashyhadu anna muhammadar rasuulullah,1
418,asik konten baru kkkk,1
419,asik mantaf,1
420,asik sering upload cari pundi duid,1
421,asikk gaya low kon aku ska gya low,1
422,asin asin keremes coy,1
423,asin kremes,1
424,asin kremes dong wkwkwkwk ngangkang,1
425,asin kyak rasa memekab beri heaters kata mutiara coy,1
426,asli bijak akhir wkwk,1
427,asli benci tadi otak tertawa,1
428,asli tertawa,1
429,asli semenjak aku subscribe chanelkamumulut aku seperti bonbin bully negara,1
430,asli tertawa terus pas baca komentar haternyapalagi yg beli subscribe juta anjrit hahahaha,1
431,asssu,1
432,astafirloh halazim,1
433,astaga aku jebak channel autis,-1
434,astagfirullah,1
435,astaqfirullah tobat bro tobat sama manusia cipta buat baik bukan malah bully orang luu sadar bro di dunia ini tak yang sempurna please stop hina erickolim pliss,-1
436,asu first cok,1
437,asu haterskamumakin panas neh kalau liat,1
438,asu i need pussy wkwkwk bang,1
439,asu iklan kondom,1
440,asu ngerusakin nama belakang aku,1
441,asupan wkwkwk,1
442,asw iklan tik tod,1
443,asw kaget opening,1
444,asw tertawa ajg,1
445,asw,1
446,at konten love benci lah biar seru wkwk,1
447,at least ericko seperti laurentius rand,1
448,yg ngebacotin sini rapstrounot,1
449,ateam mana subscribe yah,1
450,ati erick kaum yara ngumpul klokamununjukin pentilkamubalik maen pb sama lol ric,1
451,au ah jelas tot,1
452,au jangan utus teroris isis men takedown chanel agama paling family friendly dunia is this konspirasi iluminati,1
453,auto counter njing wkwkwk,1
454,auto dislike,1
455,auto kaya,1
456,auto kecilin volume,1
457,auto kecilin volume aku rick nonton videokamuya benar sih tapi,-1
458,auto tertawa anjing channel didik h liat yutub,1
459,auto tertawa g,1
460,auto tertawa hahah,1
461,auto toxic anjrr,1
462,auto unlike,1
463,awal aku sempet muak liat muka kamu nongol rick aku sering nonton video kamu dadak aku jd respect up terus channel agama terfamily friendly,1
464,awal aku subscribe terus aku unsub terus waktu aku pusing masalah aku real aku coba buka video lucu yt ketemu ama ni channel anjing aku nonton aku malah ketawa orang gila mayan ngilangin stress tingkah gila ni anjing thanks dah pokok auto subscribe n like aku,-1
465,awang kece artis mana bocin,1
466,awang kece b aku ngeliatnya,1
467,awas adegan,1
468,awas kamu macam macam sama kime ku tak segan segan,1
469,awas nantikamumalah giveaway akun wkwk,1
470,awas jadi musryik,1
471,awekwekwek sindir mampos ea,1
472,awkawkakwkawk,1
473,awkawkawkawkaw,1
474,awkwkwkw tertawa kamu tampan bang sexy hahaha,1
475,awkwwkwkowkw,1
476,awoakwoakwoak nangid,1
477,awokawok,1
478,awokawokawok,1
479,awoke,1
480,awokokokokokoko wtf greged,1
481,awokwokwokwk gunawan sate,1
482,awto kena take down yt,1
483,ayam goreng sedap,1
484,ayo bang dukung buat challenge ter gila kontoru memekosik wik wik,-1
485,ayo gaes satu channel ericko limmm musnakan hatter benci peler konntoll laknant,1
486,ayo hateess komentar terosss,1
487,ayo lah benci drpd sibuk komentar jelas lebih baik cr duit beli bmw orng yg u hina kalau cocok sama u ush liat banyak yg erico cm hibur lucu an lah baperan,-1
488,ayo main coc,1
489,ayo mampir channel subscribe kalau mau subsback comment video saja,1
490,ayo rame rame unsubcribe chanel,1
491,ayo rame report konten seksual,1
492,ayo semangat erik aku bantu kamu aku erick,1
493,ayo unsuscribe,1
494,ayok gera ubsubs erikolim bulan,1
495,azam kazama yg salah,1
496,azek intro,1
497,aziz zidhan,1
498,b a u m m k,1
499,b,1
500,baaaaaaaccccoooottttt,1
501,baca jeng,1
502,baca kontol,1
503,baca komentar aku plz wkwj aku ngebacot,1
504,baca komentar dengar triak hantu edit kamu awto lempar hp,1
505,baca komentar aku dong sekali promotin ig aku maaqinthara muah,1
506,baca komentar benci pacar kamu dong,1
507,baca komentar benci part dong kontol yg tujuh likean tiru,1
508,baca komentar orang goblok nyata seru,-1
509,baca komentar please,1
510,baca komentar w,1
511,baca koment,1
512,baca kontl nice content,1
513,baca tod kapankamutobat toxic,1
514,baca terus coli kapan bangsat,1
515,baca,1
516,baca hate comment video no smile zone lah tod,1
517,baca komentar aku dong bang erick,1
518,back soundkamukegedean bang suara jadi trlalu kedengeran suara lu,1
519,backsoundnya iklan hago enak ad yg tau lagu apa,1
520,bacot skip iklan,1
521,bacot lho,1
522,bacodddd luuu,1
523,bacooooooot ngentooooott,1
524,bacooot anjing,1
525,bacooottttttt aaaaaannnnnnnjjjjjjiiiiiinnnngggg,1
526,bacoot kontoool,1
527,bacoottt wkwkwk,1
528,bacot anjing buang waktu buat konten begini mana gaada iklan sama,-1
529,bacot kentot tumben baca komentar benci yg faedah kwkwkwk,-1
530,bacot ngentot,-1
531,bacot kentot,-1
532,bacota habis nonton buang tempat,1
533,bacottt luh erick kontol asti bocah pke poto fake lah bnyk yg cyduk pas datengin eh bocah laknat,1
534,bacottt tai usah nonton taik si simple,1
535,bacotttttttttttttt,1
536,abang kamu tampan goblok,-1
537,bagaimana cara like dislike,1
538,bagas darmawan dulu event kata dulu youtuber cuma dikit indo,1
539,bagas subscribe plis,1
540,akir video aku tujuh aku subscribe channel kamu kamu main franco saing skill hook sama wolf xotik,1
541,saudara iman trash talking toxicnya erick jangan ikutin,1
542,bahahahahaha tertawa aku,1
543,bahasa kaya qorygore,1
544,bahaya anak bawah umur nonton ericko lim auto toxic faedah mana berani yg nonton video erickontoru pake speaker dekat ortu udah sita,1
545,bahkan banyak youtuber yg bocah ikud komentar sini rasa sok asik video jilat mau bilang sok yee iya,1
546,baik video kamu bang hilangin kata kata kurang ajar benci lihat elu d tiap video selalu sisip kata kata yg tdak layak d dengar orang banyak,1
547,bait si laurentius randog dong,1
548,baju eric baju dwp tahun lalu njir,1
549,bakal reply aama baca bro bagaimana butuh duit instant gitu toxic,1
550,bakteri e coli,1
551,baku hantam mulai,1
552,bales dong mas jangan diem depok belah mana,1
553,balesannya pro ea,1
554,balik intro anjing,1
555,balik intro kontol,1
556,ban skin ciclop ban ama alucar viscont,1
557,bando anjay,1
558,bang,1
559,bang,1
560,bang adu panco kalah putusin cewenya,1
561,bang agama kamu apa aku liat video kamu lambang illuminati illuminati lambang sembah setan ka,-1
562,bang aku benci kamu biar kamu tambah kaya mau gaa,1
563,bang aku haters kasi lope dong,1
564,bang aku lebih neng sama konten pantas hibur kekkamudri pda konten didik tidak hibur,-1
565,bang aku punya saran buat kamu kalau youtube kamu video banyak kata kata kasar jijik anak bawah th niruin laku kamu youtube,1
566,bang aku punya temen mirip banget kamu asli aku kirim dah lewat dm kwkwters ksih tau aku,1
567,bang aku saran bang isiin tulis pas opening kamu mulai,1
568,bang aku skip iklan kamu bang aku yg habis kuota kamu yg kaya yaa memang anjingng kamu,1
569,bang aku support abang iklan aku nonton sampe selesai,1
570,bang aku tau kamu bahasa sopan ngapa pake,1
571,bang atta palu kamu nggasemua anjing ngcorygore,1
