stemmed,sentiment,labeling,filtered,cekTF-IDF
heartes benci,1,tidak kasar,,tidak ada
islam slma g trsinggung bg erick yg bilang ericko lim g pantes ngomong gitu g pantes idup jls ngomongnya bg erick gitu gestur ny dasar fans tunda,1,tidak kasar,,tidak ada
sakid selesai nonton video,1,tidak kasar,,tidak ada
jonton channel ketawa wkwkwkwk hibur ads negatif dikit,1,tidak kasar,,tidak ada
orng yg bilang konten pikir erik bilang tonton gampang,1,tidak kasar,,tidak ada
hirau hatersnya ttp karya biar subscribe,1,tidak kasar,,tidak ada
kangen filty rick,1,tidak kasar,,tidak ada
kangen intro erick yg pake good,1,tidak kasar,,tidak ada
ken soaper bang ken gemar,1,tidak kasar,,tidak ada
ken gemar bang ken gemar bang,1,tidak kasar,,tidak ada
hatres,1,tidak kasar,,tidak ada
komentar,1,tidak kasar,,tidak ada
mah suport ama bang motivasi,1,tidak kasar,,tidak ada
komentar hate,1,tidak kasar,,tidak ada
tau pokok colab bg qory,1,tidak kasar,,tidak ada
ngakakakak ulang,1,tidak kasar,,tidak ada
ngikutin konten konten hilang stres tysm,1,tidak kasar,,tidak ada
ngkak nonton gnian wkwkwk,1,tidak kasar,,tidak ada
nntn iklan menit skip,1,tidak kasar,,tidak ada
nnton smbil makan wktu muncrat nasi urik,1,tidak kasar,,tidak ada
nonton fak,1,tidak kasar,,tidak ada
nonton iklan bola,1,tidak kasar,,tidak ada
nonton,1,tidak kasar,,tidak ada
nonton penasaran taikkk wkwkw,1,tidak kasar,,tidak ada
nonton video nonton komenya,1,tidak kasar,,tidak ada
nonton yotub lucu gitu,1,tidak kasar,,tidak ada
nontonin ericko ken tau tipe tipe manusia aneh cipta tuhan liat salah mata yaaa manusia pilih hidup masuk benci tuhan ciptain manusia tipe hape pc alat gunain speknya asek kali sungai got garing idup tjoy wasalal,-1,kasar,aneh,ada
nyariin tombol subscriber nemu wkwk,1,tidak kasar,,tidak ada
ken komentar hate biar dibacain dijadiin part erik,1,tidak kasar,,tidak ada
percaya salah contoh internet personality,1,tidak kasar,,tidak ada
pikir subscribers bilang gitu cuman komentar ketemu langsung poto,1,tidak kasar,,tidak ada
pribadi toxic elu fine fine elu konten upnormal,1,tidak kasar,,tidak ada
pribadi otak pilih buruk,1,tidak kasar,,tidak ada
salut erick ambil postifnya yg contoh benci henti karya ericko lim,1,tidak kasar,,tidak ada
setia like videoluh bang tau kontent luh faedah tau luh butuh duit bang makan luh fakir like subscribe,1,tidak kasar,,tidak ada
bang,1,tidak kasar,,tidak ada
semenjak nonton erickontoru jujur hidup ubah parah jd toxic karuan temen sekolah kadang iseng teriak jalan temen tetep fun fun omong hitam percaya ku suci,1,tidak kasar,,tidak ada
senang nonton pideo anggap sakit bg akakakakakakaka jdi ngomong bner ketawa akakak,1,tidak kasar,,tidak ada
nonton video subscribe nonton pas video branda vvvv,1,tidak kasar,,tidak ada
skip iklan biar kaya kasi,1,tidak kasar,,tidak ada
soapking jateng,1,tidak kasar,,tidak ada
soapperzzzz,1,tidak kasar,,tidak ada
sopport bang sukses,1,tidak kasar,,tidak ada
subscribe ngebully erick hehehe gpp like,1,tidak kasar,,tidak ada
subscribe chanel x bang,1,tidak kasar,,tidak ada
subscribe kocak sayang bahasa kasar takut anak orok salah cerna,1,tidak kasar,,tidak ada
subscribe sikap kaya orgil bang wkwkw,1,tidak kasar,,tidak ada
subscribe subscriber sampe like ericko lim,-1,tidak kasar,,tidak ada
subscribe video ketawa,1,tidak kasar,,tidak ada
subscribe permanen bang channel didik hehehe,1,tidak kasar,,tidak ada
subscribe x bang paidahnya jg ni chenel ujung video anjyaaayyy,1,tidak kasar,,tidak ada
suka eriko tonton goblook n channel tolol,-1,kasar,tolol,ada
suka gaya anjing manusia jaman now peduliin benci jink,1,kasar,anjing,ada
suka erick kontol,-1,kasar,kontol,ada
suport bang tu inspirasi hidup bang dlu subscribe,1,tidak kasar,,tidak ada
support,1,tidak kasar,,tidak ada
support rick,1,tidak kasar,,tidak ada
support erick,1,tidak kasar,,tidak ada
tantang colab rando berani,1,tidak kasar,,tidak ada
tau kenal ngeledek lagu manusia saudara bro,1,tidak kasar,,tidak ada
tekan tombol subscribe kali bang,1,tidak kasar,,tidak ada
telusur nyata komposisi komentar video erick,1,tidak kasar,,tidak ada
tetep dukung ther dengerin omngan yg enakin tau video sifat smbng petakilan bgtu gatau hati kaya gmna no komentar bang,1,tidak kasar,,tidak ada
tetep gemar wkwkwkwkkw,1,tidak kasar,,tidak ada
tetep suport channel donasi donasi sombong ngakuin youtubers indonesia,1,tidak kasar,,tidak ada
tetep tonton bang lawa garing wkwkwkwk,1,tidak kasar,,tidak ada
toxic wkwk toxic au cuman ama emak doang toxic wkwk,1,tidak kasar,,tidak ada
ttp dukung u bang erick,1,tidak kasar,,tidak ada
tujuh ama bang erico,1,tidak kasar,,tidak ada
tujuh bg ericko lim,1,tidak kasar,,tidak ada
tujuh bang,1,tidak kasar,,tidak ada
udah unsub,1,tidak kasar,,tidak ada
ulang ulang anjay,1,tidak kasar,,tidak ada
vans,1,tidak kasar,,tidak ada
viwerlu bang i love you,1,tidak kasar,,tidak ada
bilang channel mutu didik nonton,1,tidak kasar,,tidak ada
akua tampan,1,tidak kasar,,tidak ada
akun fake asu,1,tidak kasar,,tidak ada
akwkwk intro kentot,1,tidak kasar,,tidak ada
akwoakwoakaoakakk terbaikkk bangsattttt tertawa,1,tidak kasar,,tidak ada
alah haters akmj tau sifat asli erickolim channel si daylen bang erickolim toxic subscriber alias konten adsens percaya liat channel saints daylen,1,tidak kasar,,tidak ada
alah benci,1,tidak kasar,,tidak ada
alahk jancok,1,tidak kasar,,tidak ada
alas nonton ni channel cuman,1,tidak kasar,,tidak ada
alay,-1,kasar,alay,ada
albar turnama tm gelud benci miskin kotor,-1,kasar,miskin,ada
alhamdulillah intro wkwk,1,tidak kasar,,tidak ada
alhasil yg ngebullykamut e r d y a m,1,tidak kasar,,tidak ada
allah dajjal,1,tidak kasar,,tidak ada
alphiandi yak wkwkw,1,tidak kasar,,tidak ada
always absen bg eric,1,tidak kasar,,tidak ada
always sad,1,tidak kasar,,tidak ada
always gemar,1,tidak kasar,,tidak ada
alwi israkamublm tau sejarah erick,1,tidak kasar,,tidak ada
alya toxic kentot,1,tidak kasar,,tidak ada
alya toxic omong kasar,1,tidak kasar,,tidak ada
aman antum manfaat hibur maksain youtuber,1,tidak kasar,,tidak ada
aman mhank,1,tidak kasar,,tidak ada
ambil hikmah goblok,-1,kasar,goblok,ada
ambil hikmah stiap orang tujuh isi vidionya orang trtentu yg erti,1,tidak kasar,,tidak ada
ambil lucu,1,tidak kasar,,tidak ada
ambil buang buruk yah sih manusia akal pikir buruk contoh bego orang content creatornya bangsaaat kasi emakkamungentot malem keringetan sampe lecet orang otak bedain sma salah,-1,kasar,bego,ada
ambil yg abai yg buruk cuk yg hepyyy kwkekw,1,tidak kasar,,tidak ada
amin,1,tidak kasar,,tidak ada
ammin,1,tidak kasar,,tidak ada
an dika by the way poto,1,tidak kasar,,tidak ada
anak haram,1,tidak kasar,,tidak ada
anak haram orang,1,tidak kasar,,tidak ada
anak hasil ngelonte orang,1,tidak kasar,,tidak ada
anak jahannam,1,tidak kasar,,tidak ada
anak doang ni,1,tidak kasar,,tidak ada
anak kentot ah,1,tidak kasar,,tidak ada
anak muda nerima erik nerima arti muda,1,tidak kasar,,tidak ada
anak pinter yg uda tau isi konten faedah ttep tonton ngomen asa,-1,tidak kasar,,tidak ada
anak sule,1,tidak kasar,,tidak ada
anak yg dibwh th kasih hp ajg umur segitu sekolah dlu yg,1,tidak kasar,,tidak ada
anan masyarakat menghiburrr wkwkkw,1,tidak kasar,,tidak ada
anang burhan erick kuat bawa qorygore,1,tidak kasar,,tidak ada
vagina buka google bangsat pake vpn bangsat sorry ngegas erickolim account bangsat hiya hiya hiya,-1,kasar,bangsat bangsat bangsat,ada
orang jawa ajar lestari budaya jawa,1,tidak kasar,,tidak ada
andi fajar katakamucari subciriber murah nyuru nyuruh orang hapus chanel,1,tidak kasar,,tidak ada
ane dukung ric,1,tidak kasar,,tidak ada
ane lapar bang,1,tidak kasar,,tidak ada
ane netral,1,tidak kasar,,tidak ada
anggap ajah benci jemboeut muncul,1,tidak kasar,,tidak ada
anggep bencong toket,-1,kasar,bencong,ada
anggita rumah mu ketemu a cok,1,tidak kasar,,tidak ada
anime campur bagikamubagi orang hah,1,tidak kasar,,tidak ada
anime campur kalok ngomong pikir mas langsung nyerobot jalan raya wkwkwkwkwk otak teri otak teti,1,tidak kasar,,tidak ada
anime campur tanyak orang kalok ketemu ericko lim fotbar berat udah kenal udah penjuru udah kenal berat istilah udah kenal jg artis orang coli gin,1,tidak kasar,,tidak ada
anjingkok my lord qorygore,1,tidak kasar,,tidak ada
anjingnk buncit tampan nenen gede kim hidung pesek jepit toket,1,tidak kasar,,tidak ada
anjaay gmna gitu kontol,1,kasar,kontol,ada
anja auto tertawa ru l,1,tidak kasar,,tidak ada
anjay,1,tidak kasar,,tidak ada
anjay intro ericko lim tobat intro yg wkkwkw tw dosa rupaya el,-1,kasar,dosa,ada
anjay intro legend,1,tidak kasar,,tidak ada
anjay intro,1,tidak kasar,,tidak ada
anjaykamulim,1,tidak kasar,,tidak ada
anjay,1,tidak kasar,,tidak ada
anjay kses bang salam shoapers bal fans eriko like,1,tidak kasar,,tidak ada
anjay komentar kaya benci ahhh,1,tidak kasar,,tidak ada
anjay seksi banget pentil anjayyyyyyyy,1,tidak kasar,,tidak ada
anjing bau gore haha,1,kasar,anjing,ada
anjing ngaka rick liatkoment haterskamuwkwkwk,1,kasar,anjing,ada
anjing nonton erick jari slalu teken volume takut jumscare ape yg gin wkwk channel ngapain emang situ gedein chanellnya liat proses bro hasil fuck the benci,1,kasar,anjing,ada
anjenk bang erick wkwkwk,1,tidak kasar,,tidak ada
anjenk mukekamuudh kaya uya kuya bangsat,1,kasar,bangsat,ada
anjerr iklan skip xd,1,tidak kasar,,tidak ada
anjerrr nonton iklan mulu bangsat wkwk ngesubs arti goblok banhg orang orang ngehate pikir video pake otak ngeditnya blom ngedukung bang moga jaya fokus to karir,1,kasar,bangsat goblok,ada
anjing g berani ngebesarin volume bcs pake headset takut tuli,1,kasar,anjing,ada
anjing like videokamuteruskamuga like comment like komentar skali by the way qorygore g ytb rewind,1,kasar,anjing,ada
anjiiing kangen pas elu main pb,1,tidak kasar,,tidak ada
anjiiirrrr ngakak toll,1,tidak kasar,,tidak ada
anjiingg fans berat ama bg eric moga lancar y ganbatte,1,tidak kasar,,tidak ada
anjing qorygaaaahhhhh bro bro wkwkwkwk mantap rick,-1,kasar,anjing,ada
anjing minum pindah hidung air bangsaattt wkwkwk,-1,kasar,anjing,ada
anjing jujur suka channel elu upload tonton ape kelar,-1,kasar,anjing,ada
anjingkamugoblok suka videokamujadi subscribe,-1,tidak kasar,,tidak ada
anjing nasehat anjay bnr terusin suka i love you erickontolim,-1,kasar,anjing,ada
anjing tertawa bangsad hahaahaha,1,kasar,anjing,ada
anjing ending dilamain biar adsens ngalir ber toxic lu,1,kasar,anjing,ada
anjing iklan skipp,1,kasar,anjing,ada
anjing iklan skipp,1,kasar,anjing,ada
anjing intro jmn old is back,1,kasar,anjing,ada
anjing lo,1,kasar,anjing,ada
anjing ngukuk bang,1,kasar,anjing,ada
anjing tertawa liat adi kenal gara gara penasaran ericko t,1,kasar,anjing,ada
anjing wlau gemar kq neng liat nyampah peppek mantap kontol kau vagina kentod,-1,kasar,anjing kontol,ada
anjinnkk tertawa,1,tidak kasar,,tidak ada
anjir bang qory,-1,kasar,anjir,ada
anjir dewa gemah qorygore,-1,kasar,anjir,ada
anjir bando wkwkw,-1,kasar,anjir,ada
anjir efek instagramnya wkwkwk,-1,kasar,anjir,ada
anjir nang kucing mati liat video langsung ketawa,-1,kasar,anjir,ada
anjir tertawa,-1,kasar,anjir,ada
anjir dapet iklan bangsat,-1,kasar,anjir bangsat,ada
anjir intro legend lgi kwkwkkwkwkwkwkwkwk,-1,kasar,anjir,ada
anjir intro legend wkwkwkwkw,-1,kasar,anjir,ada
anjir qorygore,-1,kasar,anjir,ada
anjir lipetan,-1,kasar,anjir,ada
anjir lol,-1,kasar,anjir,ada
anjir nonton channelkamuwajib make headset bang hahaha,-1,kasar,anjir,ada
anjir opening bkn ngakakmong serius suka motivasi anjing,-1,kasar,anjir anjing,ada
anjir terakiran iklan anjir wkwkw,-1,kasar,anjir anjir,ada
anjir tertawa,-1,kasar,anjir,ada
anjirr muka warpath daylen jahahhahahahahaha tertawa,1,tidak kasar,,tidak ada
anjirr baper yg komentar ten doang,1,tidak kasar,,tidak ada
anjirr parahh,1,tidak kasar,,tidak ada
anjir gilaa nihh benci ericko lim,1,kasar,anjir,ada
anjir intro,1,kasar,anjir,ada
anjng dah wkwkwkkw ken benci erick mantaaapp,1,tidak kasar,,tidak ada
ankuu gaming teladan,1,tidak kasar,,tidak ada
ankuu gaming yogs cok,1,tidak kasar,,tidak ada
golden ama silvier,1,tidak kasar,,tidak ada
anti anti baper clubanya suka samakamutapi nonton videokamubuat hibur doang inget bang pohon buah yg lempari batu kayu tai jembut hate ah tau baca eric kontol,-1,kasar,tai jembut kontol,ada
anti anti haters club,1,tidak kasar,,tidak ada
anti anti skip clun hd in,1,tidak kasar,,tidak ada
anti pantad typyd si erick mah,1,tidak kasar,,tidak ada
anti sekip kleb,1,tidak kasar,,tidak ada
anti sekip sekip club,1,tidak kasar,,tidak ada
anti sensor sensor club bilang kinthil sensor,1,tidak kasar,,tidak ada
anti skip bangoooott,1,tidak kasar,,tidak ada
anti skip club,1,tidak kasar,,tidak ada
anti skip iklan,1,tidak kasar,,tidak ada
anti skip iklan biar nambah dana yt rewind k wkwkkw,1,tidak kasar,,tidak ada
anti skip iklan club like wkwk,1,tidak kasar,,tidak ada
anti skip klub,1,tidak kasar,,tidak ada
anti skip skip club,1,tidak kasar,,tidak ada
anti skip skip club biarkamubisa makan tod,1,tidak kasar,,tidak ada
anti skip skip club indonesia,1,tidak kasar,,tidak ada
anti skip skip club tapikamubanyak lemak lemak gendut,-1,kasar,gendut,ada
anti skip skip,1,tidak kasar,,tidak ada
anti skip skip iklan,1,tidak kasar,,tidak ada
anti skip skip iklan club dapet nihh rickk,1,tidak kasar,,tidak ada
anti skip skip iklan club stay anjing by the way suka chanel anjing,-1,kasar,anjing anjing,ada
anti skip skip sabun eh iklan,1,tidak kasar,,tidak ada
anti skipp skipp iklan gantiin,1,tidak kasar,,tidak ada
anukamukecil,1,tidak kasar,,tidak ada
anjing opening nyolong jesnolumutan eeeeeh maksutnya jesnolimit,1,kasar,anjing,ada
aowkaowk kotor x tertawa asu,-1,tidak kasar,,tidak ada
,1,tidak kasar,,tidak ada
kesini sg obby g prnh wkwkwk,1,tidak kasar,,tidak ada
an hatter bawa berkah,1,tidak kasar,,tidak ada
arti toxic bro erickolim,1,tidak kasar,,tidak ada
arti like,1,tidak kasar,,tidak ada
gan saia menaburkam rumah ular usir garam,1,tidak kasar,,tidak ada
cmn yg anti skip club,1,tidak kasar,,tidak ada
doank yg ngerasa,1,tidak kasar,,tidak ada
yg hibur nonton bang eriko tertawa hahaha,1,tidak kasar,,tidak ada
yg nonton videoerico lim iklan skip,1,tidak kasar,,tidak ada
yg kali liat erickolim curhatt,1,tidak kasar,,tidak ada
videoini birah kim hime,-1,tidak kasar,,tidak ada
pikir ni youtuber youtuber tau,1,tidak kasar,,tidak ada
yg nnton chanel ni makhluk slalu pke headset,1,tidak kasar,,tidak ada
yg pause pas gambar motong jembud,-1,kasar,jembud,ada
yg kalok nontn chanelnya eric pakai henset biar kedengeran org yg wkwkk kesel buka channel langsung ketawa tertawa gara toxic bang,1,tidak kasar,,tidak ada
yg skip,1,tidak kasar,,tidak ada
nntn bareng emak,1,tidak kasar,,tidak ada
subscribe eriko murni hati nurani,1,tidak kasar,,tidak ada
yg ngerasa ericko lim turun cina,1,tidak kasar,,tidak ada
asa edit si eric niru pewdiepie iya brrti si eric kreatif,1,tidak kasar,,tidak ada
cuman yg benci akmj,1,tidak kasar,,tidak ada
cuman nonton videoelu rick kagak subscribe,1,tidak kasar,,tidak ada
cuman video erik jarang dapet iklan,1,tidak kasar,,tidak ada
cuman berani skip iklan laen masuk benci,1,tidak kasar,,tidak ada
fans tunda,1,tidak kasar,,tidak ada
terima,1,tidak kasar,,tidak ada
benci komentar baca eaa,1,tidak kasar,,tidak ada
tertawa dup asi gore conten gemar,1,tidak kasar,,tidak ada
benci biar koment baca,1,tidak kasar,,tidak ada
hak baca komentar,1,tidak kasar,,tidak ada
hak,1,tidak kasar,,tidak ada
hubung ama pantat,-1,kasar,pantat,ada
ngomong kasar,1,tidak kasar,,tidak ada
enakx haters,1,tidak kasar,,tidak ada
faedah hatersin karya orangik wik wik wik wik wik oh oh oh oh oh,1,tidak kasar,,tidak ada
takut contoh g salah bang bukannyakamuyang nyontoh filthy prank,1,tidak kasar,,tidak ada
tangan mu tato,1,tidak kasar,,tidak ada
yg benci bilang peduli bang support karya bang,1,tidak kasar,,tidak ada
apaapaan iklan menit skip setan video faedah knp cpet sukses njiirrrr eneg liat juta subscribe salip atta yg jdiin teladan,-1,kasar,setan,ada
benci mu bang biar baca,1,tidak kasar,,tidak ada
apalu smp sma anak remaja woy udah bedain buruk inget banget smp ajar hadap globalisasi salah sifat selektif anak smp arti udah diajarin sma gaush dibilangin lg tiru anak goblok,-1,kasar,goblok,ada
apas,1,tidak kasar,,tidak ada
apas kotor ngntod,-1,tidak kasar,,tidak ada
apasiii sampah,-1,kasar,sampah,ada
apip pekan,1,tidak kasar,,tidak ada
arap,1,tidak kasar,,tidak ada
arap tato,1,tidak kasar,,tidak ada
arap fans botjah,1,tidak kasar,,tidak ada
arap goblok,-1,kasar,goblok,ada
ari jr,1,tidak kasar,,tidak ada
arifin gt hahha iya bnr,1,tidak kasar,,tidak ada
arti luh gx butuh subscribe donk,1,tidak kasar,,tidak ada
arti posisi jd pas liat org yg senasip ama ngerasain yg ketawa sadar,1,tidak kasar,,tidak ada
as well as make me happy is oke,1,tidak kasar,,tidak ada
muasal benci iblis,1,tidak kasar,,tidak ada
asbi poci hai nak,1,tidak kasar,,tidak ada
asddaadxjsjansb,1,tidak kasar,,tidak ada
asekkkk opening legend asu wkwkw,1,tidak kasar,,tidak ada
ashaduallahila hail waashaduana muhammadrasullah,1,tidak kasar,,tidak ada
ashiaap,1,tidak kasar,,tidak ada
ashu iklan,1,tidak kasar,,tidak ada
ashyhadu allaa ilaaha illallah wa ashyhadu anna muhammadar rasuulullah,1,tidak kasar,,tidak ada
asik konten kkkk,1,tidak kasar,,tidak ada
asik mantaf,1,tidak kasar,,tidak ada
asik upload cari pundi duid,1,tidak kasar,,tidak ada
asikk gaya low kon ska gya low,1,tidak kasar,,tidak ada
asin asin keremes coy,1,tidak kasar,,tidak ada
asin kremes,1,tidak kasar,,tidak ada
asin kremes wkwkwkwk ngangkang,1,tidak kasar,,tidak ada
asin kyak memekab heaters mutiara coy,1,tidak kasar,,tidak ada
asli bijak wkwk,1,tidak kasar,,tidak ada
asli benci otak tertawa,1,tidak kasar,,tidak ada
asli tertawa,1,tidak kasar,,tidak ada
asli semenjak subscribe chanelkamumulut bonbin bully negara,1,tidak kasar,,tidak ada
asli tertawa pas baca komentar haternyapalagi yg beli subscribe juta anjrit hahahaha,1,tidak kasar,,tidak ada
asssu,1,tidak kasar,,tidak ada
