,stemmed,sentiment,labeling
278,anjing ngaka rick liatkoment haterskamuwkwkwk,1,kasar
279,anjing nonton erick jari slalu teken volume takut jumscare ape yg gin wkwk channel ngapain emang situ gedein chanellnya liat proses bro hasil fuck the benci,1,kasar
280,anjenk bang erick wkwkwk,1,tidak kasar
281,anjenk mukekamuudh kaya uya kuya bangsat,1,kasar
282,anjerr iklan skip xd,1,tidak kasar
283,anjerrr nonton iklan mulu bangsat wkwk ngesubs arti goblok banhg orang orang ngehate pikir video pake otak ngeditnya blom ngedukung bang moga jaya fokus to karir,1,kasar
284,anjing g berani ngebesarin volume bcs pake headset takut tuli,1,kasar
285,anjing like videokamuteruskamuga like comment like komentar skali by the way qorygore g ytb rewind,1,kasar
286,anjiiing kangen pas elu main pb,1,tidak kasar
287,anjiiirrrr ngakak toll,1,tidak kasar
288,anjiingg fans berat ama bg eric moga lancar y ganbatte,1,tidak kasar
289,anjing qorygaaaahhhhh bro bro wkwkwkwk mantap rick,-1,kasar
290,anjing minum pindah hidung air bangsaattt wkwkwk,-1,kasar
291,anjing jujur suka channel elu upload tonton ape kelar,-1,kasar
292,anjingkamugoblok suka videokamujadi subscribe,-1,tidak kasar
293,anjing nasehat anjay bnr terusin suka i love you erickontolim,-1,kasar
294,anjing tertawa bangsad hahaahaha,1,kasar
295,anjing ending dilamain biar adsens ngalir ber toxic lu,1,kasar
296,anjing iklan skipp,1,kasar
297,anjing iklan skipp,1,kasar
298,anjing intro jmn old is back,1,kasar
299,anjing lo,1,kasar
300,anjing ngukuk bang,1,kasar
301,anjing tertawa liat adi kenal gara gara penasaran ericko t,1,kasar
302,anjing wlau gemar kq neng liat nyampah peppek mantap kontol kau vagina kentod,-1,kasar
303,anjinnkk tertawa,1,tidak kasar
304,anjir bang qory,-1,kasar
305,anjir dewa gemah qorygore,-1,kasar
306,anjir bando wkwkw,-1,kasar
307,anjir efek instagramnya wkwkwk,-1,kasar
308,anjir nang kucing mati liat video langsung ketawa,-1,kasar
309,anjir tertawa,-1,kasar
310,anjir dapet iklan bangsat,-1,kasar
311,anjir intro legend lgi kwkwkkwkwkwkwkwkwk,-1,kasar
312,anjir intro legend wkwkwkwkw,-1,kasar
313,anjir qorygore,-1,kasar
314,anjir lipetan,-1,kasar
315,anjir lol,-1,kasar
316,anjir nonton channelkamuwajib make headset bang hahaha,-1,kasar
317,anjir opening bkn ngakakmong serius suka motivasi anjing,-1,kasar
318,anjir terakiran iklan anjir wkwkw,-1,kasar
319,anjir tertawa,-1,kasar
320,anjirr muka warpath daylen jahahhahahahahaha tertawa,1,tidak kasar
321,anjirr baper yg komentar ten doang,1,tidak kasar
322,anjirr parahh,1,tidak kasar
323,anjir gilaa nihh benci ericko lim,1,kasar
324,anjir intro,1,kasar
325,anjng dah wkwkwkkw ken benci erick mantaaapp,1,tidak kasar
326,ankuu gaming teladan,1,tidak kasar
327,ankuu gaming yogs cok,1,tidak kasar
328,golden ama silvier,1,tidak kasar
329,anti anti baper clubanya suka samakamutapi nonton videokamubuat hibur doang inget bang pohon buah yg lempari batu kayu tai jembut hate ah tau baca eric kontol,-1,kasar
330,anti anti haters club,1,tidak kasar
331,anti anti skip clun hd in,1,tidak kasar
332,anti pantad typyd si erick mah,1,tidak kasar
333,anti sekip kleb,1,tidak kasar
334,anti sekip sekip club,1,tidak kasar
335,anti sensor sensor club bilang kinthil sensor,1,tidak kasar
336,anti skip bangoooott,1,tidak kasar
337,anti skip club,1,tidak kasar
338,anti skip iklan,1,tidak kasar
339,anti skip iklan biar nambah dana yt rewind k wkwkkw,1,tidak kasar
340,anti skip iklan club like wkwk,1,tidak kasar
341,anti skip klub,1,tidak kasar
342,anti skip skip club,1,tidak kasar
343,anti skip skip club biarkamubisa makan tod,1,tidak kasar
344,anti skip skip club indonesia,1,tidak kasar
345,anti skip skip club tapikamubanyak lemak lemak gendut,-1,kasar
346,anti skip skip,1,tidak kasar
347,anti skip skip iklan,1,tidak kasar
348,anti skip skip iklan club dapet nihh rickk,1,tidak kasar
349,anti skip skip iklan club stay anjing by the way suka chanel anjing,-1,kasar
350,anti skip skip sabun eh iklan,1,tidak kasar
351,anti skipp skipp iklan gantiin,1,tidak kasar
352,anukamukecil,1,tidak kasar
353,anjing opening nyolong jesnolumutan eeeeeh maksutnya jesnolimit,1,kasar
354,aowkaowk kotor x tertawa asu,-1,tidak kasar
355,,1,tidak kasar
356,kesini sg obby g prnh wkwkwk,1,tidak kasar
357,an hatter bawa berkah,1,tidak kasar
358,arti toxic bro erickolim,1,tidak kasar
359,arti like,1,tidak kasar
360,gan saia menaburkam rumah ular usir garam,1,tidak kasar
361,cmn yg anti skip club,1,tidak kasar
362,doank yg ngerasa,1,tidak kasar
363,yg hibur nonton bang eriko tertawa hahaha,1,tidak kasar
364,yg nonton videoerico lim iklan skip,1,tidak kasar
365,yg kali liat erickolim curhatt,1,tidak kasar
366,videoini birah kim hime,-1,tidak kasar
367,pikir ni youtuber youtuber tau,1,tidak kasar
368,yg nnton chanel ni makhluk slalu pke headset,1,tidak kasar
369,yg pause pas gambar motong jembud,-1,kasar
370,yg kalok nontn chanelnya eric pakai henset biar kedengeran org yg wkwkk kesel buka channel langsung ketawa tertawa gara toxic bang,1,tidak kasar
371,yg skip,1,tidak kasar
372,nntn bareng emak,1,tidak kasar
373,subscribe eriko murni hati nurani,1,tidak kasar
374,yg ngerasa ericko lim turun cina,1,tidak kasar
375,asa edit si eric niru pewdiepie iya brrti si eric kreatif,1,tidak kasar
376,cuman yg benci akmj,1,tidak kasar
377,cuman nonton videoelu rick kagak subscribe,1,tidak kasar
378,cuman video erik jarang dapet iklan,1,tidak kasar
379,cuman berani skip iklan laen masuk benci,1,tidak kasar
380,fans tunda,1,tidak kasar
381,terima,1,tidak kasar
382,benci komentar baca eaa,1,tidak kasar
383,tertawa dup asi gore conten gemar,1,tidak kasar
384,benci biar koment baca,1,tidak kasar
385,hak baca komentar,1,tidak kasar
386,hak,1,tidak kasar
387,hubung ama pantat,-1,kasar
388,ngomong kasar,1,tidak kasar
389,enakx haters,1,tidak kasar
390,faedah hatersin karya orangik wik wik wik wik wik oh oh oh oh oh,1,tidak kasar
391,takut contoh g salah bang bukannyakamuyang nyontoh filthy prank,1,tidak kasar
392,tangan mu tato,1,tidak kasar
393,yg benci bilang peduli bang support karya bang,1,tidak kasar
394,apaapaan iklan menit skip setan video faedah knp cpet sukses njiirrrr eneg liat juta subscribe salip atta yg jdiin teladan,-1,kasar
395,benci mu bang biar baca,1,tidak kasar
396,apalu smp sma anak remaja woy udah bedain buruk inget banget smp ajar hadap globalisasi salah sifat selektif anak smp arti udah diajarin sma gaush dibilangin lg tiru anak goblok,-1,kasar
397,apas,1,tidak kasar
398,apas kotor ngntod,-1,tidak kasar
399,apasiii sampah,-1,kasar
400,apip pekan,1,tidak kasar
401,arap,1,tidak kasar
402,arap tato,1,tidak kasar
403,arap fans botjah,1,tidak kasar
404,arap goblok,-1,kasar
405,ari jr,1,tidak kasar
406,arifin gt hahha iya bnr,1,tidak kasar
407,arti luh gx butuh subscribe donk,1,tidak kasar
408,arti posisi jd pas liat org yg senasip ama ngerasain yg ketawa sadar,1,tidak kasar
409,as well as make me happy is oke,1,tidak kasar
410,muasal benci iblis,1,tidak kasar
411,asbi poci hai nak,1,tidak kasar
412,asddaadxjsjansb,1,tidak kasar
413,asekkkk opening legend asu wkwkw,1,tidak kasar
414,ashaduallahila hail waashaduana muhammadrasullah,1,tidak kasar
415,ashiaap,1,tidak kasar
416,ashu iklan,1,tidak kasar
417,ashyhadu allaa ilaaha illallah wa ashyhadu anna muhammadar rasuulullah,1,tidak kasar
418,asik konten kkkk,1,tidak kasar
419,asik mantaf,1,tidak kasar
420,asik upload cari pundi duid,1,tidak kasar
421,asikk gaya low kon ska gya low,1,tidak kasar
422,asin asin keremes coy,1,tidak kasar
423,asin kremes,1,tidak kasar
424,asin kremes wkwkwkwk ngangkang,1,tidak kasar
425,asin kyak memekab heaters mutiara coy,1,tidak kasar
426,asli bijak wkwk,1,tidak kasar
427,asli benci otak tertawa,1,tidak kasar
428,asli tertawa,1,tidak kasar
429,asli semenjak subscribe chanelkamumulut bonbin bully negara,1,tidak kasar
430,asli tertawa pas baca komentar haternyapalagi yg beli subscribe juta anjrit hahahaha,1,tidak kasar
431,asssu,1,tidak kasar
432,astafirloh halazim,1,tidak kasar
433,astaga jebak channel autis,-1,kasar
434,astagfirullah,1,tidak kasar
435,astaqfirullah tobat bro tobat manusia cipta bully orang luu sadar bro dunia sempurna please stop hina erickolim pliss,-1,kasar
436,asu first cok,1,tidak kasar
437,asu haterskamumakin panas neh liat,1,tidak kasar
438,asu i need pussy wkwkwk bang,1,tidak kasar
439,asu iklan kondom,1,tidak kasar
440,asu ngerusakin nama,1,tidak kasar
441,asupan wkwkwk,1,tidak kasar
442,asw iklan tik tod,1,tidak kasar
443,asw kaget opening,1,tidak kasar
444,asw tertawa ajg,1,tidak kasar
445,asw,1,tidak kasar
446,at konten love benci biar seru wkwk,1,tidak kasar
447,at least ericko laurentius rand,1,tidak kasar
448,yg ngebacotin rapstrounot,1,tidak kasar
449,ateam subscribe yah,1,tidak kasar
450,ati erick kaum yara ngumpul klokamununjukin pentilkamubalik maen pb lol ric,1,tidak kasar
451,au ah tot,1,tidak kasar
452,au utus teroris isis men takedown chanel agama family friendly dunia is this konspirasi iluminati,1,tidak kasar
453,auto counter njing wkwkwk,1,tidak kasar
454,auto dislike,1,tidak kasar
455,auto kaya,1,tidak kasar
456,auto kecilin volume,1,tidak kasar
457,auto kecilin volume rick nonton videokamuya sih,-1,tidak kasar
458,auto tertawa anjing channel didik h liat yutub,1,kasar
459,auto tertawa g,1,tidak kasar
460,auto tertawa hahah,1,tidak kasar
461,auto toxic anjrr,1,tidak kasar
462,auto unlike,1,tidak kasar
463,sempet muak liat muka nongol rick nonton video dadak jd respect up channel agama terfamily friendly,1,tidak kasar
464,subscribe unsub pusing real coba buka video lucu yt ketemu ama ni channel anjing nonton ketawa orang gila mayan ngilangin stress tingkah gila ni anjing thanks dah pokok auto subscribe n like,-1,kasar
465,awang kece artis bocin,1,tidak kasar
466,awang kece b ngeliatnya,1,tidak kasar
467,awas adegan,1,tidak kasar
468,awas kime ku segan segan,1,tidak kasar
469,awas nantikamumalah giveaway akun wkwk,1,tidak kasar
470,awas musryik,1,tidak kasar
471,awekwekwek sindir mampos ea,1,tidak kasar
472,awkawkakwkawk,1,tidak kasar
473,awkawkawkawkaw,1,tidak kasar
474,awkwkwkw tertawa tampan bang sexy hahaha,1,tidak kasar
475,awkwwkwkowkw,1,tidak kasar
476,awoakwoakwoak nangid,1,tidak kasar
477,awokawok,1,tidak kasar
478,awokawokawok,1,tidak kasar
479,awoke,1,tidak kasar
480,awokokokokokoko wtf greged,1,tidak kasar
481,awokwokwokwk gunawan sate,1,tidak kasar
482,awto kena take down yt,1,tidak kasar
483,ayam goreng sedap,1,tidak kasar
484,ayo bang dukung challenge ter gila kontoru memekosik wik wik,-1,kasar
485,ayo gaes channel ericko limmm musnakan hatter benci peler konntoll laknant,1,tidak kasar
486,ayo hateess komentar terosss,1,tidak kasar
487,ayo benci drpd sibuk komentar cr duit beli bmw orng yg u hina cocok u ush liat yg erico cm hibur lucu an baperan,-1,kasar
488,ayo main coc,1,tidak kasar
489,ayo mampir channel subscribe subsback comment video,1,tidak kasar
490,ayo rame rame unsubcribe chanel,1,tidak kasar
491,ayo rame report konten seksual,1,tidak kasar
492,ayo semangat erik bantu erick,1,tidak kasar
493,ayo unsuscribe,1,tidak kasar
494,ayok gera ubsubs erikolim,1,tidak kasar
495,azam kazama yg salah,1,tidak kasar
496,azek intro,1,tidak kasar
497,aziz zidhan,1,tidak kasar
498,b a u m m k,1,tidak kasar
499,b,1,tidak kasar
500,baaaaaaaccccoooottttt,1,tidak kasar
501,baca jeng,1,tidak kasar
502,baca kontol,1,kasar
503,baca komentar plz wkwj ngebacot,1,tidak kasar
504,baca komentar dengar triak hantu edit awto lempar hp,1,tidak kasar
505,baca komentar promotin ig maaqinthara muah,1,tidak kasar
506,baca komentar benci pacar,1,tidak kasar
507,baca komentar benci part kontol yg tujuh likean tiru,1,kasar
508,baca komentar orang goblok nyata seru,-1,kasar
509,baca komentar please,1,tidak kasar
510,baca komentar w,1,tidak kasar
511,baca koment,1,tidak kasar
512,baca kontl nice content,1,tidak kasar
513,baca tod kapankamutobat toxic,1,tidak kasar
514,baca coli bangsat,1,kasar
515,baca,1,tidak kasar
516,baca hate comment video no smile zone tod,1,tidak kasar
517,baca komentar bang erick,1,tidak kasar
518,back soundkamukegedean bang suara trlalu kedengeran suara lu,1,tidak kasar
519,backsoundnya iklan hago enak ad yg tau lagu,1,tidak kasar
