,text,sentiment
107,ah monyet ericko lim ajg muka produk lokal pesawat roket bencong toket muka luh kntlll jelek,negatif
108,ah ngentod lu rik,negatif
109,ah pernah makan upil belom cok,negatif
110,ahaaa tapi bo ong v,positif
111,ahaha haters maha benarrrr  erickolim auto kayaaang gw yakin deh ,positif
112,ahahaha bang aku nungguin konten anjing nya bukan game nya salam soapers,negatif
113,ahahahah haters kamu nonton video ericko lim siapa lebih untung wahahah makin banyak haters makin banyak viewers iya,negatif
114,ahahahaha memek ngilu ngakak,negatif
115,ahahahahha ahahahahha ahahahahahahahhahaahhahahahahahahahahahahhaahhahahahahhahahaahhahaahahhaahhaahhaahahahahhahahahahahahahahhawhahahahhah ahahahahahahhaahhahahahahahahahahhahahahahahahahahahahahahahahahahahahahaha ahahahahahahahhahahahahhahahahahahahahahahahahahahhahahahahahahahahhahahahhhahahhahahahaahahahahhahahhahahahahahahahahahahaahahahahahahhaahhahahahahahahahahahahahahhahahahahahahahahahahhahahhahahahahhahahhahahhhahahahahahahahahhahahahahahahhhahahahahahahahahahahahahahahahahahahahahahahahahahahahhahahahahhahahahahahahahahhahahahahahahahahahahahahahahahahahahahhahahahahahhahahahaahahahhaahhaahhahahhahaahhhahahahahahahahhahhahahahahahahahahahahahahahahahahhahahahahhahahahhhahahahahahahahahahahahhahahhahahahhahahahahahahahahahahahahaahha,netral
116,ahahhaha ke triger si anjing wwkwk,negatif
117,ahh channelnya gk family friendly lagi udh ada sensornya,negatif
118,ahh ga jadi disslike pertama lahh,negatif
119,ahh gue hate elu deh biar elu lebih semangat  iklan clubwk,negatif
120,ahh jancuk mana lope lope nya kontoli ini,negatif
121,ahh kontol haters tiap ericko ngeupload lu nonton juga kan anjeng,negatif
122,ahh ku suka intro nya,positif
123,ahhahahaah,netral
124,ahhh haters kontol,negatif
125,ahhhh baumemek,negatif
126,ahhhhhh ahhhh aku ngecrot bang ngeliat kamu melet tanggung jawab,negatif
127,ahkirnya intro erickonolimitpros usa di lihat,netral
128,ahkirnya intro nya,netral
129,ahmad hambali kontol,negatif
130,ahmad nuh bocah dikatain lgsung bisa bales wkakakkaka,positif
131,ai pus asil duit wkwkwkwkw,negatif
132,aihh sedih amat tukang numpang promosi v tolol bego g guna bangsat,negatif
133,aink zeeber mhank pantad ainx di lapisin baja ea anti triggred,netral
134,aja kamu bang nyimpen intro intro lama,netral
135,ajajajajaj di katain kontol,negatif
136,ajak berantemmangat coli,netral
137,ajak ketemu arap dong lim injek injek pala nya abis jadiin konten haha makin kaya kamu,netral
138,ajakin ai tompel rik kan bacot nya warbyasah,netral
139,ajaran lu juga kok rik,netral
140,ajarin cara bait and jelasin aja xd bair orang orang tidak makan bait,netral
141,ajarin toxic rick,netral
142,ajg fans yg tunda apa ajg najis,netral
143,ajg gaje kontol,negatif
144,ajg gua koment apa aswww,netral
145,ajg gua tertawa awal receh guaaaaa astaga,netral
146,ajg gwe dah lama liat erick teriak teriak kaya detik anjir aowkwowkw,netral
147,ajg katanya kalau jt subscribe lu pengen botak ajg boong mulu lu kontol,negatif
148,ajg kocak sumpah erik v,netral
149,ajg ngakakak erikolim,netral
150,ajg opening eno benningg,netral
151,ajg tertawa,netral
152,ajg tu kepala besar banyak peju diotaq,netral
153,ajg v,netral
154,ajglah bcksoundnya doang yg kenceng suara kamu kedengeran,netral
155,ajglah bcksoundnya doang yg kenceng suara lu gk kedengeran,netral
156,akal sehat awak udah hilang kahh,positif
157,akew kece iy,netral
158,akhir anj bikin video macem gin lgi yg kmrn boring kntl,negatif
159,akhir erickolim no limit pros,netral
160,akhir intro ericko no limit pros dipake,netral
161,akhir keluar itu intro,netral
162,akhir kenal kaya bowo,netral
163,akhir nya farrah nya ni vidio cuma dikit,netral
164,akhir pideo dapat manjadi sad erickolim curhat cuk,negatif
165,akhir taun jt kok malah mentok di jt v,netral
166,akhir vidio nya faedah,netral
167,akhirny,netral
168,akhirnya ericko lim buat q a juga v,netral
169,akhirnya gua bisa dislike ke di channel ini ya tapi bener juga sih tapi tapi,netral
170,akhirnya intro ericko no limit pros ada lagiam hati,netral
171,akhirnya intro erickontol no limit pros is backkkkk,negatif
172,akhirnya intro ini yg gue tunggu,netral
173,akhirnya intro itu balik juga,netral
174,akhirnya intro legend di kembalikan,netral
175,akhirnya intro legend keluar,netral
176,akhirnya intro legend v,netral
177,akhirnya intro legendnya erickolim balik lagi vu ngak lengkap jadi manusia v,netral
178,akhirnya intro legends nya ada lagig lu gerebek rumah pamela ,netral
179,akhirnya intro legendz,netral
180,akhirnya intro yang di tunggu tunggu,netral
181,akhirnya intronya ada lagi,netral
182,akhirnya intronya balik lagi haha,netral
183,akhirnya intronya muncul juga,netral
184,akhirnya intronya v,netral
185,akhirnya komen gw masuk youtube erickolim aja hahahaha,netral
186,akhirnya lo toxic lagi sekian lama gua tungggu yesssssss,netral
187,akhirnya opening ini xd,netral
188,akhirnya opening jess is back,netral
189,akhirnya opening legend hadir lagi,netral
190,akhirnya opening yang terlupakan come back,netral
191,akhirnya opening yg sangat gw tunggu,netral
192,akhirnya pake intro ini lagi v,netral
193,akhirnya pake intro lama lagi,netral
194,akhirnya pake intro legend lagi ea,netral
195,akhirnya pke intro itu lagi,netral
196,akhirnya rindu ku terbalaskan,netral
197,akhirnya setelah sekian lama intronya gw tonton sampai habis ya tolol terus kok tombol gw abu yak gak ad tombol merahnya,negatif
198,akmj,netral
199,akoskwkaowkwlwoa haters sumber duit,netral
200,aku aja subscribe pertama kali di gift sultan macam apa niih,netral
201,aku akan terus berdoa agar pertikaian ini ada sesi baku hantamnya dan saling lempar benda tajam menyenangkan sekali bukan,negatif
202,aku always support kamu bang,netral
203,aku bangga sama kamu bang,netral
204,aku bela ericko lim mantap kali,positif
205,aku benci,negatif
206,aku benci elu aku skip iklan kamu mampuss kamu rick,negatif
207,aku benci ericko lim ,negatif
208,aku benci kamu emang knp kymakkk,negatif
209,aku benci kamu ini video nya lucu anjong hahaha,negatif
210,aku benci kamu udah cukup haters,negatif
211,aku bocah aku suka erickolim knp dia buat bahagia ambil positif aja,positif
212,aku bocah bang,netral
213,aku boleh ga jadi haters,netral
214,aku bukan haters aku cuma suka konten toxic ginian,positif
215,aku channel bikin mood coli aku gairah,negatif
216,aku cinta chanel erickolim,positif
217,aku cinta channel erickolim kalo channel lain pamer kekayaan,positif
218,aku cinta ericko lim,positif
219,aku cuma ketawa njir nice buat erickolim,netral
220,aku cuma mo ngomong,netral
221,aku cuman kasih tau kak rik,netral
222,aku cuman nonton kamu bukan subscribe and like kamu kntl,negatif
223,aku dari malaysia bang rick aku saport kamu bang haters kagak paham cenel loo bang,netral
224,aku dislike ah,netral
225,aku dlu benci kamu skrg aku tobat krna kamu udah wakil indonesia asi games,negatif
226,aku doain moga kamu dapet jt subscribe minggu kemudian turun amin,netral
227,aku dukung bang,netral
228,aku dukung bang cenel youtube kamu yarin apa kta haters jangan kamu dengerin bang jangan patah semangat terus bkin conten youtube aku suka cenel youtube kamu bang kamu orng nya lucu boyot gtu wkwk inti semangat bang erick lim,positif
229,aku dukung bang erick,netral
230,aku dukung channel kamu rik,netral
231,aku dukung erick,netral
232,aku dukung erick aku bocah tahun ngebuly erick ngaca dulu,netral
233,aku dukung ericko liem tiap org beda beda selalu sama bila org yg suka ericko mending jangan bacot hargain persepsi orang,negatif
234,aku dukung erik,netral
235,aku dukung gitu bang tetap gaya luh gitu tetap omong luh bang aku suka gaya luh aku suka gaya omong luh manfaat bisa jadi wawas,positif
236,aku dukung kamu bang erik semangat bang kalau jangan banyak toxic bocah bocah niru toxic kamu bang,netral
237,aku dukung kamu bang sat,netral
238,aku dukung kamu bg,netral
239,aku dukung kamu erikkontolim,negatif
240,aku dukung kamu kok bang sans ajh ngadepin haters stres mereka,netral
241,aku dukung kamu kok rick kamu punya cara yg cukup unik aku ekspres mantab d,netral
242,aku dukung kamu rick,netral
243,aku dukung kamu rick walaupun banyak haters aku dukung,netral
244,aku dukung kamu rik aku suka konten konten kamu rik,positif
245,aku dukung kamu rik haters emang gitu haters tolol goblok alas benci kamu karena tahu kamu orang sok keren sok dan kamu lucu mendidick,negatif
246,aku dukung kamu terus bang,netral
247,aku dukung kok,netral
248,aku dulung kamu ric walaupun kamu geser dikit kamu buat ketawa gua sedih,negatif
249,aku fans berat eriko lim arap mah kw,netral
250,aku fans dead pool,netral
251,aku fans eriko lim ka cba bikin vidio yg banyak biar gua liat vdeo kk,netral
252,aku fans kamu bangsat maju terus,negatif
253,aku fans kamu kalau kamu mau ngentod live streaming canda,negatif
254,aku gak suka bacot bacotan aja,negatif
255,aku gapeduli benci kok bikin lagu,negatif
256,aku harap ericko lim toxic,negatif
257,aku haters aku haters bang,negatif
258,aku haters baik,positif
259,aku haters baik tottttt,negatif
260,aku haters kamu bang at ide vidio baru epick,negatif
261,aku haters lebih sampah lho cuman comentar tidak karya,negatif
262,aku haters skrg kaga wkwkkwk,negatif
263,aku hatters eric,netral
264,aku hatters kamu dasar ericko lim bulu malu dasar malu laki anak musuh kucing malu wanita,negatif
265,aku hatters yg komen terus tiap video kok bacain di video,netral
266,aku heartes bukan haters,netral
267,aku heran di youtube di facebook neng ngomong memek kontol temen fb aku skarang masuk cewek udah ngebadword pake kata kontol memek,negatif
268,aku heran fans erik colim liat betah liat video muka macam biji karat,negatif
269,aku heran ni sapa haters klau kalian ngak suka sama konten nya eric ngapain kalian buka ngak punya otak para haters kerja nya tau bacot terus emang nya ngak kerja sih ngebacot terus memang haters orang indonesia banyak tolol klau kalian iri ngmong lah jangan tau bacot aja anak kecil ngak tau diri udah dewasa mas aja bacot aja kaya anak kecil,negatif
270,aku hetters sekaligus fans,negatif
271,aku hibur pas di atas ngomong kontol jembut bangsat yang lain aku jyjyk ea padahal aku sering ngomong gtu apa arti aku anak kontol,negatif
272,aku ikut ngehate ah masuk you tube,negatif
273,aku islam slma aku g trsinggung bg erick banyak yg bilang ericko lim g pantes ngomong gitu kamu g pantes idup jls cara ngomongnya bg erick gitu gestur ny dasar fans tunda,netral
274,aku jadi sakid abis nonton video,netral
275,aku jdi ikut sedih rick tanggung jawab,negatif
276,aku jijik tapi aku ngakak setiap nengok video nya ku subscribe jd aku gk tau jadi haterss atau fans tp setiap aku nonton selalu ada tantangan gitu toxic gilaa jd was pas kedengaran sama boskus,negatif
277,aku jonton channel selaku ketawa wkwkwkwk aku sangat hibur ads negatif nya dikit,netral
278,aku kalau banyak orng yg bilang konten guna ini ya itu mikir erik sudah bilang jangan tonton aja gampang,netral
279,aku kalau bilang kontol memek depan guru malah suruh bilang,negatif
280,aku kamu jangan hirau hatersnya kamu mending kamu ttp karya biar banyak subscribe,netral
281,aku kangen filty rick,netral
282,aku kangen intro erick yg dulu akhir pake good lah,netral
283,aku ken jadi soaper bang aku ken jadi soapers,netral
284,aku ken jadi soapers bang aku ken jadi soapers bang,netral
285,aku kmarin ngestalk hlaman fb kamu rick aku ktemu caption kamu yg lgi curhat ntuh aku dpat motivasi kontol thanks erick kontol limun aku fans kamu sejak video kamu video yg didik aku prcaya stiap prbuatan ada hikmah lah kontol haters ericko itu seperti kontol kadal zimbabwe baca rick komen aku aku doain jt subscribe taun depan taun jga gapapa kalau brhasil jt subscribe cukur jembut livestream,negatif
286,aku ko ada hatres,netral
287,aku kok kalo liat ini ketawanya feet nangis teruskan ketololan mu bang banrikonto,negatif
288,aku komen pertama,netral
289,aku kwkw m cakep suer guelaporin aja biar mampus,negatif
290,aku lebih suka erikolim orang munafik ky mr o,positif
291,aku lebih suka kamu yg dulu kamu yg youtuber gaming,positif
292,aku liat aku unsubs dah cenel kamu kentod,negatif
293,aku liat idung kamu gede ancur,negatif
294,aku liat nya lucu hate kamu nonton komentar video kamu,negatif
295,aku liat sama ortu w ortu w pernah marah su l sini kamu bocah yg bilang kalau ortu dimarahin,negatif
296,aku like njink,negatif
297,aku lumayan suka sama bang ericko dia agama sama aku sebenernya bang ericko orang baik cuma tampil layar aja gitu,positif
298,aku mah gabakal mau unsub channe kalau suka ngapain tonton bangsat,negatif
299,aku mah liat aj suka suka penting liat aj kalau suka ush comennt langsung liat biasa aj serah punya channel mau ngapain emang situ gedein chanellnya liat proses bro jangan hasil fuck the haters,positif
300,aku mah subscribe kamu cuma buat nonton video kamu doang,negatif
301,aku mah suka sama chenel lucu,positif
302,aku mah suport aja ama kamu bang kamu motivasi buat aku,netral
303,aku makan indomie terus eh pas kamu nunjukin kesexsian kamu indomie yg aku makan keluar semua anjing,negatif
304,aku malah anggep sama temen aku adeknya ericko bgst,negatif
305,aku manggil kamu erickkontol,negatif
306,aku mau jadi haters ah biar komen gw msk ytil,negatif
307,aku mau jadi heaters ah aku jadi heatersnya heaters kamu,negatif
308,aku mau komentar nge hate,netral
309,aku mau tau pokok kamu colab sama bg qory,netral
310,aku muslim aku suka erick bagaimana,positif
311,aku ngakakakak ulang,netral
312,aku nge fans sama kamu fuck bangsat kamu anjing aku udah subribre kamu kamu sama anjing,negatif
313,aku nge subscribe kali anjing,negatif
314,aku ngedukung walaupun ngomongnya anjing bangsat kontol memek ngentot fuck shit,negatif
315,aku ngefans ama kamu anjing aku mau lihat video kamu tatto makna tatto kamu salam shoapers,negatif
316,aku ngikutin kamu lama konten konten kamu hilang stres aku tysm,netral
317,aku ngkak nonton gnian wkwkwk,netral
318,aku nguquq njir,negatif
319,aku nntn iklan hampir menit kaga gua skip,netral
320,aku nnton smbil makan wktu hampir muncrat nasi urik,netral
321,aku nonton fak,netral
322,aku nonton kok iklan bola,netral
323,aku nonton nya,netral
324,aku nonton penasaran taikkk wkwkw,netral
325,aku nonton video kamu gua skip iklan anjing,negatif
326,aku nonton video nonton komenya,netral
327,aku nonton yotub kamu lucu aja gitu,netral
328,aku nontonin ericko aku ken tau tipe tipe manusia aneh cipta tuhan walaupun liat salah mata aku yaaa manusia punya pilih hidup masing masuk haters kalau tuhan ciptain manusia se tipe hape pc alat kamu gunain sama speknya kalau semua sama asek kali sungai got garing idup tjoy wasalal lah,netral
329,aku nyariin tombol subscriber nemu wkwk,netral
330,aku paling benci ni chanel,negatif
331,aku paling suka kaya gin,positif
332,aku paling suka liat orang yg suka ngemis like anjingg yg tuju sama koment aku like bangsat,negatif
333,aku pengen komen hate biar dibacain dijadiin part sama erik,netral
334,aku percaya kamu adalah salah satu contoh internet personality,netral
335,aku pikir subscribers kamu bilang gitu cuman komen kalau ketemu langsung minta poto,netral
336,aku pribadi masalah mau se toxic apa elu aku fine fine aja mau elu bikin konten upnormal,netral
337,aku pribadi tidak masalah aku punya otak baik jadi aku pilih mana baik buat aku mana buruk diri aku,netral
338,aku punya kapten bilang gua punya sayap mirip malaikat sekarang sudah pergi hidup moga kapten sana bahagia hidup baru i love capt,positif
339,aku pura pura ngehate yak erikontol kamu bacot memek kamu udah perjaka,negatif
340,aku salut sama kamu erick aku ambil postifnya kamu yg aku contoh walaupun kamu banyak haters kamu tak henti karya ericko lim,netral
341,aku selalu setia like vidio luh bang meski aku tau kontent luh kurang faedah aku tau luh butuh duit bang makan luh aku fakir like sama subscribe,netral
342,aku selalu untuk bang,netral
343,aku semenjak nonton erickontoru jujur hidup aku ubah parah aku jd toxic karuan temen sekolah aku kadang aku iseng teriak jalan temen aku tetep fun fun aja sama gua memang omong hitam percaya buat ku suci,netral
344,aku senang nonton pideo kamu aku anggap kamu sakit bg akakakakakakaka jdi kamu ngomong bner aku malah ketawa akakak,netral
345,aku sering nonton video kamu aku kaga subscribe nonton pas video lewat branda aku vvvv,netral
346,aku skip iklan biar kamu jadi kaya kasi aku sama kamu,netral
347,aku soapers rick santai yg suka ush nonton ajg,positif
348,aku soapking jateng,netral
349,aku soapperzzzz,netral
350,aku sopport kamu bang sukses selalu,netral
351,aku subscribe buat ngebully kamu rik hehehe gpp like,netral
352,aku subscribe chanel kamu x bang,netral
353,aku subscribe dia di garena anjing,negatif
354,aku subscribe kamu kamu kocak sayang bahasa kasar kamu takut nya bikin anak orok salah cerna,netral
355,aku subscribe kamu kamu sikap kaya orgil bang wkwkw,netral
356,aku subscribe kamu subscriber kamu tapi sampe sekarang aku pernah like ericko lim,netral
357,aku subscribe kamu video kamu yang bikin aku ketawa,netral
358,aku subscribe permanen bang channel didik hehehe,netral
359,aku subscribe x bang akhir paidahnya jg ni chenel ujung video anjyaaayyy,netral
360,aku suka banget konyol nya gitu,positif
361,aku suka banget ni channel kreator kreatif hattets emg bego jelas channel keren,positif
362,aku suka bingung bang sama orang maksa kamu bikin content didik padahal tv udah banyak aku heran orang kya kamu kya youtube padahal yg didik tentu kya,positif
363,aku suka channel kamu bang kamu bikin aku hilang stress doank kerna channel kamu bagi aku hibur iya udah semua channel ada haters doank jdi sabar aja bang btw keep it up bang erick,positif
364,aku suka coli kamu mending aku coli pake apa,negatif
365,aku suka ericko lim lucu,positif
366,aku suka ericko roti jembut kratos jembutos,negatif
367,aku suka eriko kalau tonton tambah makin goblook n channel nya tolol,netral
368,aku suka gaya kamu absurb parah being normal is so bored,positif
369,aku suka gaya kamu anjing haha hibur bedd wkwkwkw kontol ahaha,negatif
370,aku suka gaya kamu anjink manusia jaman now usah peduliin benci kamu jink,netral
371,aku suka gaya kamu bang gua ngerti kamu seperti gitu cuman buat ngehibur doang,positif
372,aku suka gaya kamu rick,positif
373,aku suka gayalo baby awto subscribe,positif
374,aku suka gayalu cuk mntaplah,positif
375,aku suka intro kamu doang buat jam ntar aku nonton full,positif
376,aku suka jadi aku nonton,positif
377,aku suka kamu aku suka cara kamu nanggepin haters,positif
378,aku suka kamu bang kamu toxic aku suka kamu aneh emang hak kamu aku tau kamu orang nya asik lanjut ya bang,positif
379,aku suka kamu erick kontol,netral
380,aku suka kamu ericko lim kk komen aku masuk hate comment ini uda pake capslock bangsat tertawa anjing,negatif
381,aku suka kamu jadi baik,positif
382,aku suka kamu toxic bang,positif
383,aku suka kata kata akhir maera emng gin aku denger kopex kamu baik bet orang nya,positif
384,aku suka kau,positif
385,aku suka konten kamu kok,positif
386,aku suka kontes kamu gara lucu rik santai aja yg haters pd bocah ngentod smua,negatif
387,aku suka ni channel konten gni,positif
388,aku suka sam si erick tertawa anjir,positif
389,aku suka sama konten kamu bang sangat hibur tetap semangat bikin konten bang,positif
390,aku suka sama ngemis like,positif
391,aku suka suka aja sama channel meski toxic hibur aku haters bilang channel guna goblok banget kimak,negatif
392,aku suka susunya,positif
393,aku suka toxic kamu korick lanjut,positif
394,aku suka yang bedah,positif
395,aku sukaa sama gaya lo jadi diri sendiri aja rick jangan ngikutin omongan orang stay soapers,positif
396,aku sukaaa sama konten luuuuu hibur mau kamu toxic laku yg unfaeda hibur bangt kamu tampil beda luar negeri banyak kok yg buat konten unfaeda kamu satu nya orng indo yg beda hahaha but i like that,positif
397,aku sukak sama kamu bang,positif
398,aku suport kamu bang kamu keren kamu ganteng kece parah semangat bang,positif
399,aku suport kamu terus bang kamu tu inspirasi hidup aku bang aku dlu subscribe kamu,netral
400,aku support kamu,netral
401,aku support kamu rick,netral
402,aku support kamu terus rik,netral
403,aku tantang kamu colab sama rando berani,netral
404,aku tanya kamu haters mau di ledekin ngatain kaya kontol nyadar bego,negatif
405,aku tau kamu kenal kamu usah ngeledek bikin lagu jelas semua manusia saudara bro,netral
406,aku tekan tombol subscribe kali bang,netral
407,aku telusur nyata dia komposisi coment video erick,netral
408,aku tertawa kontol wwkwkwkwkwkwk walaupun kamu tolol idiot aku suka banget sama kamu bikin aku tertawa anjing,negatif
409,aku tertawa nonton ericko lim walaupun toxic mantap dah rik,positif
410,aku tetep dukung kamu bang walaupun kamu kaya bangsat aku nonton video kamu no skip club stay soapers,negatif
411,aku tetep dukung kamu ther jangan dengerin omngan yg enakin mungkin begitu dia cuma tau video sifat kamu smbng petakilan bgtu dia gatau hari kamu hati kamu kaya gmna jadi no komen bang,netral
412,aku tetep soapers dong wkwkwkwkkw,netral
413,aku tetep suport kamu channel donasi donasi sombong ngakuin youtubers indonesia,netral
414,aku tetep tonton bang soal lawa garing wkwkwkwk,netral
415,aku toxic wkwk aku bisa toxic au paling cuman ama emak doang toxic wkwk,netral
416,aku ttp dukung u bang rik,netral
417,aku tuju ama kamu bang erico,netral
418,aku tuju kamu bg ericko lim,netral
419,aku tuju sama kamu bang,netral
420,aku udah unsub kamu kapan,netral
421,aku ulang ulang terus anjay,netral
422,aku vans,netral
423,aku viwerlu bang i love you,netral
424,aku yakin walaupun yang bilang channel tidak mutu didik dia tetap nonton,netral
425,akua ganteng,netral
426,akun fake asu,netral
427,akun w subscribe kamu smua kontol,negatif
428,akwkwk intro ngentod,netral
429,akwoakwoakaoakakk terbaikkk bangsattttt tertawa,netral
430,akwowkwow kolo ga suka ga usah di tonton anjinkkk v,negatif
431,alah hatters akmj kalian belum tau sifat asli erickolim padahal udh ada di channel nya si daylen bang erickolim toxic itu buat para subscriber alias buat konten adsens v gk percaya liat aja channel nya saints daylen,netral
432,alah kenapa harus haters ,netral
433,alah kontol kamu botak rik,negatif
434,alahk jancok,netral
435,alas aku nonton ni channel cuman,netral
436,alasan gue jdi soapers karna sering nonton nih si erickontol hehe,negatif
437,alay,netral
438,albar turnama tm gelud lah haters miskin babi,netral
439,aldyan fitrah pratama woy kontol suka lah babi kalau suka ericko lim pergi sana kamu ngentot bocah anjing kamu,negatif
440,alhamdulillah intronya kembali wkwk,netral
441,alhasil yg ngebully lo t e r d y a m v,netral
442,allah dajjal,netral
443,alphiandi yak wkwkw,netral
444,always absen bg eric,netral
445,always sad,netral
446,always soapers,netral
447,alwi isra lu blm tau sejarah erick cuk,netral
448,alya toxic kamu ngentod,netral
449,alya toxic omong kasar,netral
450,aman antum kalo ga manfaat dan ga menghibur jangan maksain jadi youtuber,netral
451,aman mhank,netral
452,ambil baik nya jgn gblknya netizen selalu benar,negatif
