stemmed,sentiment,labeling,filtered
ahahahahha ahahahahha ahahahahahahahhahaahhahahahahahahahahahahhaahhahahahahhahahaahhahaahahhaahhaahhaahahahahhahahahahahahahahhawhahahahhah ahahahahahahhaahhahahahahahahahahhahahahahahahahahahahahahahahahahahahahaha ahahahahahahahhahahahahhahahahahahahahahahahahahahhahahahahahahahahhahahahhhahahhahahahaahahahahhahahhahahahahahahahahahahaahahahahahahhaahhahahahahahahahahahahahahhahahahahahahahahahahhahahhahahahahhahahhahahhhahahahahahahahahhahahahahahahhhahahahahahahahahahahahahahahahahahahahahahahahahahahahhahahahahhahahahahahahahahhahahahahahahahahahahahahahahahahahahahhahahahahahhahahahaahahahhaahhaahhahahhahaahhhahahahahahahahhahhahahahahahahahahahahahahahahahahhahahahahhahahahhhahahahahahahahahahahahhahahhahahahhahahahahahahahahahahahahaahha,1,tidak kasar,
ahhahahaah,1,tidak kasar,
ahkirnya intro erickonolimitpros usa lihat,1,tidak kasar,
ahkirnya intro,1,tidak kasar,
aink zeeber mhank pantad ainx lapisin baja ea anti triggred,1,tidak kasar,
bang nyimpen intro intro,1,tidak kasar,
ajak berantemmangat coli,1,tidak kasar,
ajak ketemu arap lim injek injek pala selesai jadiin konten haha kaya,1,tidak kasar,
ajakin ai tompel erick bacot warbyasah,-1,kasar,bacot
ajarankamujuga erick,1,tidak kasar,
ajarin bait and jelasin xd bair orang orang makan bait,1,tidak kasar,
ajarin toxic rick,1,tidak kasar,
ajg fans yg tunda ajg najis,-1,kasar,najis
ajg koment aswww,1,tidak kasar,
ajg tertawa receh guaaaaa astaga,1,tidak kasar,
ajg gwe dah liat erick teriak teriak kaya detik anjir aowkwowkw,-1,kasar,anjir
ajg kocak sumpah erik,1,tidak kasar,
ajg ngakakak erikolim,1,tidak kasar,
ajg opening eno benningg,1,tidak kasar,
ajg tertawa,1,tidak kasar,
ajg tu kepala peju diotaq,1,tidak kasar,
ajg,1,tidak kasar,
ajglah bcksoundnya doang yg kenceng suara kedengeran,1,tidak kasar,
ajglah bcksoundnya doang yg kenceng suarakamugk kedengeran,1,tidak kasar,
akew kece iy,1,tidak kasar,
erickolim no limit pros,1,tidak kasar,
intro ericko no limit pros dipake,1,tidak kasar,
intro,1,tidak kasar,
kenal kaya bowo,1,tidak kasar,
farrah ni videocuma dikit,1,tidak kasar,
taun juta mentok juta,1,tidak kasar,
video faedah,1,tidak kasar,
akhirny,1,tidak kasar,
ericko lim q a v,1,tidak kasar,
dislike channel ya sih,-1,tidak kasar,
intro ericko no limit pros lagiam hati,1,tidak kasar,
intro yg tunggu,-1,kasar,tunggu
intro,1,tidak kasar,
intro legend,1,tidak kasar,
intro legend,1,tidak kasar,
intro legend,1,tidak kasar,
intro legendnya erickolim vu ngak lengkap manusia,1,tidak kasar,
intro legends lagigkamugerebek rumah pamela,1,tidak kasar,
intro legendz,1,tidak kasar,
intro tunggu tunggu,-1,kasar,tunggu tunggu
intro,1,tidak kasar,
intro haha,1,tidak kasar,
intro muncul,1,tidak kasar,
intro,1,tidak kasar,
komentar masuk youtube erickolim hahahaha,1,tidak kasar,
akhirnyakamutoxic sekian tungggu yesssssss,1,tidak kasar,
opening xd,1,tidak kasar,
opening jess is back,1,tidak kasar,
opening legend hadir,1,tidak kasar,
opening lupa come back,1,tidak kasar,
opening yg tunggu,-1,kasar,tunggu
pake intro,1,tidak kasar,
pake intro,1,tidak kasar,
pake intro legend ea,1,tidak kasar,
pke intro,1,tidak kasar,
rindu ku balas,1,tidak kasar,
akmj,1,tidak kasar,
akoskwkaowkwlwoa benci sumber duit,1,tidak kasar,
subscribe kali gift sultan niih,1,tidak kasar,
always support bang,1,tidak kasar,
bangga bang,1,tidak kasar,
bocah bang,1,tidak kasar,
benci,1,tidak kasar,
ketawa njir nice erickolim,1,tidak kasar,
mo ngomong,1,tidak kasar,
cuman kasih tau kak erick,1,tidak kasar,
malaysia bang rick saport bang benci kagak paham cenel loo bang,1,tidak kasar,
dislike ah,1,tidak kasar,
doain moga dapet juta subscribe minggu turun amin,1,tidak kasar,
dukung bang,1,tidak kasar,
dukung bang erick,1,tidak kasar,
dukung channel erick,1,tidak kasar,
dukung erick,1,tidak kasar,
dukung erick bocah ngebuly erick ngaca,1,tidak kasar,
dukung erik,1,tidak kasar,
dukung bang erik semangat bang toxic bocah bocah niru toxic bang,1,tidak kasar,
dukung bang sat,1,tidak kasar,
dukung bg,1,tidak kasar,
dukung bang sans ajh ngadepin benci stres,1,tidak kasar,
dukung rick yg unik ekspres mantab d,1,tidak kasar,
dukung rick,1,tidak kasar,
dukung rick benci dukung,1,tidak kasar,
dukung bang,1,tidak kasar,
dukung,1,tidak kasar,
fans berat eriko lim arap mah kw,1,tidak kasar,
fans dead pool,1,tidak kasar,
fans eriko lim ka cba videoyg biar liat vdeo kakak,1,tidak kasar,
haters eric,1,tidak kasar,
haters yg komentar video baca video,1,tidak kasar,
heartes benci,1,tidak kasar,
islam slma g trsinggung bg erick yg bilang ericko lim g pantes ngomong gitu g pantes idup jls ngomongnya bg erick gitu gestur ny dasar fans tunda,1,tidak kasar,
sakid selesai nonton video,1,tidak kasar,
jonton channel ketawa wkwkwkwk hibur ads negatif dikit,1,tidak kasar,
orng yg bilang konten pikir erik bilang tonton gampang,1,tidak kasar,
hirau hatersnya ttp karya biar subscribe,1,tidak kasar,
kangen filty rick,1,tidak kasar,
kangen intro erick yg pake good,1,tidak kasar,
ken soaper bang ken gemar,1,tidak kasar,
ken gemar bang ken gemar bang,1,tidak kasar,
hatres,1,tidak kasar,
komentar,1,tidak kasar,
mah suport ama bang motivasi,1,tidak kasar,
komentar hate,1,tidak kasar,
tau pokok colab bg qory,1,tidak kasar,
ngakakakak ulang,1,tidak kasar,
ngikutin konten konten hilang stres tysm,1,tidak kasar,
ngkak nonton gnian wkwkwk,1,tidak kasar,
nntn iklan menit skip,1,tidak kasar,
nnton smbil makan wktu muncrat nasi urik,1,tidak kasar,
nonton fak,1,tidak kasar,
nonton iklan bola,1,tidak kasar,
nonton,1,tidak kasar,
nonton penasaran taikkk wkwkw,1,tidak kasar,
nonton video nonton komenya,1,tidak kasar,
nonton yotub lucu gitu,1,tidak kasar,
nontonin ericko ken tau tipe tipe manusia aneh cipta tuhan liat salah mata yaaa manusia pilih hidup masuk benci tuhan ciptain manusia tipe hape pc alat gunain speknya asek kali sungai got garing idup tjoy wasalal,-1,kasar,aneh
nyariin tombol subscriber nemu wkwk,1,tidak kasar,
ken komentar hate biar dibacain dijadiin part erik,1,tidak kasar,
percaya salah contoh internet personality,1,tidak kasar,
pikir subscribers bilang gitu cuman komentar ketemu langsung poto,1,tidak kasar,
pribadi toxic elu fine fine elu konten upnormal,1,tidak kasar,
pribadi otak pilih buruk,1,tidak kasar,
salut erick ambil postifnya yg contoh benci henti karya ericko lim,1,tidak kasar,
setia like videoluh bang tau kontent luh faedah tau luh butuh duit bang makan luh fakir like subscribe,1,tidak kasar,
bang,1,tidak kasar,
semenjak nonton erickontoru jujur hidup ubah parah jd toxic karuan temen sekolah kadang iseng teriak jalan temen tetep fun fun omong hitam percaya ku suci,1,tidak kasar,
senang nonton pideo anggap sakit bg akakakakakakaka jdi ngomong bner ketawa akakak,1,tidak kasar,
nonton video subscribe nonton pas video branda vvvv,1,tidak kasar,
skip iklan biar kaya kasi,1,tidak kasar,
soapking jateng,1,tidak kasar,
soapperzzzz,1,tidak kasar,
sopport bang sukses,1,tidak kasar,
subscribe ngebully erick hehehe gpp like,1,tidak kasar,
subscribe chanel x bang,1,tidak kasar,
subscribe kocak sayang bahasa kasar takut anak orok salah cerna,1,tidak kasar,
subscribe sikap kaya orgil bang wkwkw,1,tidak kasar,
subscribe subscriber sampe like ericko lim,-1,tidak kasar,
subscribe video ketawa,1,tidak kasar,
subscribe permanen bang channel didik hehehe,1,tidak kasar,
subscribe x bang paidahnya jg ni chenel ujung video anjyaaayyy,1,tidak kasar,
suka eriko tonton goblook n channel tolol,-1,kasar,tolol
suka gaya anjing manusia jaman now peduliin benci jink,1,kasar,anjing
suka erick kontol,-1,kasar,kontol
suport bang tu inspirasi hidup bang dlu subscribe,1,tidak kasar,
support,1,tidak kasar,
support rick,1,tidak kasar,
support erick,1,tidak kasar,
tantang colab rando berani,1,tidak kasar,
tau kenal ngeledek lagu manusia saudara bro,1,tidak kasar,
tekan tombol subscribe kali bang,1,tidak kasar,
telusur nyata komposisi komentar video erick,1,tidak kasar,
tetep dukung ther dengerin omngan yg enakin tau video sifat smbng petakilan bgtu gatau hati kaya gmna no komentar bang,1,tidak kasar,
tetep gemar wkwkwkwkkw,1,tidak kasar,
tetep suport channel donasi donasi sombong ngakuin youtubers indonesia,1,tidak kasar,
tetep tonton bang lawa garing wkwkwkwk,1,tidak kasar,
toxic wkwk toxic au cuman ama emak doang toxic wkwk,1,tidak kasar,
ttp dukung u bang erick,1,tidak kasar,
tujuh ama bang erico,1,tidak kasar,
tujuh bg ericko lim,1,tidak kasar,
tujuh bang,1,tidak kasar,
udah unsub,1,tidak kasar,
ulang ulang anjay,1,tidak kasar,
vans,1,tidak kasar,
viwerlu bang i love you,1,tidak kasar,
bilang channel mutu didik nonton,1,tidak kasar,
akua tampan,1,tidak kasar,
akun fake asu,1,tidak kasar,
akwkwk intro kentot,1,tidak kasar,
akwoakwoakaoakakk terbaikkk bangsattttt tertawa,1,tidak kasar,
alah haters akmj tau sifat asli erickolim channel si daylen bang erickolim toxic subscriber alias konten adsens percaya liat channel saints daylen,1,tidak kasar,
alah benci,1,tidak kasar,
alahk jancok,1,tidak kasar,
alas nonton ni channel cuman,1,tidak kasar,
alay,-1,kasar,alay
albar turnama tm gelud benci miskin kotor,-1,kasar,miskin
alhamdulillah intro wkwk,1,tidak kasar,
alhasil yg ngebullykamut e r d y a m,1,tidak kasar,
allah dajjal,1,tidak kasar,
alphiandi yak wkwkw,1,tidak kasar,
always absen bg eric,1,tidak kasar,
always sad,1,tidak kasar,
always gemar,1,tidak kasar,
alwi israkamublm tau sejarah erick,1,tidak kasar,
alya toxic kentot,1,tidak kasar,
alya toxic omong kasar,1,tidak kasar,
aman antum manfaat hibur maksain youtuber,1,tidak kasar,
aman mhank,1,tidak kasar,
ambil hikmah goblok,-1,kasar,goblok
ambil hikmah stiap orang tujuh isi vidionya orang trtentu yg erti,1,tidak kasar,
ambil lucu,1,tidak kasar,
ambil buang buruk yah sih manusia akal pikir buruk contoh bego orang content creatornya bangsaaat kasi emakkamungentot malem keringetan sampe lecet orang otak bedain sma salah,-1,kasar,bego
ambil yg abai yg buruk cuk yg hepyyy kwkekw,1,tidak kasar,
amin,1,tidak kasar,
ammin,1,tidak kasar,
an dika by the way poto,1,tidak kasar,
anak haram,1,tidak kasar,
anak haram orang,1,tidak kasar,
anak hasil ngelonte orang,1,tidak kasar,
anak jahannam,1,tidak kasar,
anak doang ni,1,tidak kasar,
anak kentot ah,1,tidak kasar,
anak muda nerima erik nerima arti muda,1,tidak kasar,
anak pinter yg uda tau isi konten faedah ttep tonton ngomen asa,-1,tidak kasar,
anak sule,1,tidak kasar,
anak yg dibwh th kasih hp ajg umur segitu sekolah dlu yg,1,tidak kasar,
anan masyarakat menghiburrr wkwkkw,1,tidak kasar,
anang burhan erick kuat bawa qorygore,1,tidak kasar,
vagina buka google bangsat pake vpn bangsat sorry ngegas erickolim account bangsat hiya hiya hiya,-1,kasar,bangsat bangsat bangsat
orang jawa ajar lestari budaya jawa,1,tidak kasar,
andi fajar katakamucari subciriber murah nyuru nyuruh orang hapus chanel,1,tidak kasar,
ane dukung ric,1,tidak kasar,
ane lapar bang,1,tidak kasar,
ane netral,1,tidak kasar,
anggap ajah benci jemboeut muncul,1,tidak kasar,
anggep bencong toket,-1,kasar,bencong
anggita rumah mu ketemu a cok,1,tidak kasar,
anime campur bagikamubagi orang hah,1,tidak kasar,
anime campur kalok ngomong pikir mas langsung nyerobot jalan raya wkwkwkwkwk otak teri otak teti,1,tidak kasar,
anime campur tanyak orang kalok ketemu ericko lim fotbar berat udah kenal udah penjuru udah kenal berat istilah udah kenal jg artis orang coli gin,1,tidak kasar,
anjingkok my lord qorygore,1,tidak kasar,
anjingnk buncit tampan nenen gede kim hidung pesek jepit toket,1,tidak kasar,
anjaay gmna gitu kontol,1,kasar,kontol
anja auto tertawa ru l,1,tidak kasar,
anjay,1,tidak kasar,
anjay intro ericko lim tobat intro yg wkkwkw tw dosa rupaya el,-1,kasar,dosa
anjay intro legend,1,tidak kasar,
anjay intro,1,tidak kasar,
anjaykamulim,1,tidak kasar,
anjay,1,tidak kasar,
anjay kses bang salam shoapers bal fans eriko like,1,tidak kasar,
anjay komentar kaya benci ahhh,1,tidak kasar,
anjay seksi banget pentil anjayyyyyyyy,1,tidak kasar,
anjing bau gore haha,1,kasar,anjing
anjing ngaka rick liatkoment haterskamuwkwkwk,1,kasar,anjing
anjing nonton erick jari slalu teken volume takut jumscare ape yg gin wkwk channel ngapain emang situ gedein chanellnya liat proses bro hasil fuck the benci,1,kasar,anjing
anjenk bang erick wkwkwk,1,tidak kasar,
anjenk mukekamuudh kaya uya kuya bangsat,1,kasar,bangsat
anjerr iklan skip xd,1,tidak kasar,
anjerrr nonton iklan mulu bangsat wkwk ngesubs arti goblok banhg orang orang ngehate pikir video pake otak ngeditnya blom ngedukung bang moga jaya fokus to karir,1,kasar,bangsat goblok
anjing g berani ngebesarin volume bcs pake headset takut tuli,1,kasar,anjing
anjing like videokamuteruskamuga like comment like komentar skali by the way qorygore g ytb rewind,1,kasar,anjing
anjiiing kangen pas elu main pb,1,tidak kasar,
anjiiirrrr ngakak toll,1,tidak kasar,
anjiingg fans berat ama bg eric moga lancar y ganbatte,1,tidak kasar,
anjing qorygaaaahhhhh bro bro wkwkwkwk mantap rick,-1,kasar,anjing
anjing minum pindah hidung air bangsaattt wkwkwk,-1,kasar,anjing
anjing jujur suka channel elu upload tonton ape kelar,-1,kasar,anjing
anjingkamugoblok suka videokamujadi subscribe,-1,tidak kasar,
anjing nasehat anjay bnr terusin suka i love you erickontolim,-1,kasar,anjing
anjing tertawa bangsad hahaahaha,1,kasar,anjing
anjing ending dilamain biar adsens ngalir ber toxic lu,1,kasar,anjing
anjing iklan skipp,1,kasar,anjing
anjing iklan skipp,1,kasar,anjing
anjing intro jmn old is back,1,kasar,anjing
anjing lo,1,kasar,anjing
anjing ngukuk bang,1,kasar,anjing
anjing tertawa liat adi kenal gara gara penasaran ericko t,1,kasar,anjing
anjing wlau gemar kq neng liat nyampah peppek mantap kontol kau vagina kentod,-1,kasar,anjing kontol
anjinnkk tertawa,1,tidak kasar,
anjir bang qory,-1,kasar,anjir
anjir dewa gemah qorygore,-1,kasar,anjir
anjir bando wkwkw,-1,kasar,anjir
anjir efek instagramnya wkwkwk,-1,kasar,anjir
anjir nang kucing mati liat video langsung ketawa,-1,kasar,anjir
anjir tertawa,-1,kasar,anjir
anjir dapet iklan bangsat,-1,kasar,anjir bangsat
anjir intro legend lgi kwkwkkwkwkwkwkwkwk,-1,kasar,anjir
anjir intro legend wkwkwkwkw,-1,kasar,anjir
anjir qorygore,-1,kasar,anjir
anjir lipetan,-1,kasar,anjir
anjir lol,-1,kasar,anjir
anjir nonton channelkamuwajib make headset bang hahaha,-1,kasar,anjir
anjir opening bkn ngakakmong serius suka motivasi anjing,-1,kasar,anjir anjing
anjir terakiran iklan anjir wkwkw,-1,kasar,anjir anjir
anjir tertawa,-1,kasar,anjir
anjirr muka warpath daylen jahahhahahahahaha tertawa,1,tidak kasar,
anjirr baper yg komentar ten doang,1,tidak kasar,
anjirr parahh,1,tidak kasar,
anjir gilaa nihh benci ericko lim,1,kasar,anjir
anjir intro,1,kasar,anjir
anjng dah wkwkwkkw ken benci erick mantaaapp,1,tidak kasar,
ankuu gaming teladan,1,tidak kasar,
ankuu gaming yogs cok,1,tidak kasar,
golden ama silvier,1,tidak kasar,
anti anti baper clubanya suka samakamutapi nonton videokamubuat hibur doang inget bang pohon buah yg lempari batu kayu tai jembut hate ah tau baca eric kontol,-1,kasar,tai jembut kontol
anti anti haters club,1,tidak kasar,
anti anti skip clun hd in,1,tidak kasar,
anti pantad typyd si erick mah,1,tidak kasar,
anti sekip kleb,1,tidak kasar,
anti sekip sekip club,1,tidak kasar,
anti sensor sensor club bilang kinthil sensor,1,tidak kasar,
anti skip bangoooott,1,tidak kasar,
anti skip club,1,tidak kasar,
anti skip iklan,1,tidak kasar,
anti skip iklan biar nambah dana yt rewind k wkwkkw,1,tidak kasar,
anti skip iklan club like wkwk,1,tidak kasar,
anti skip klub,1,tidak kasar,
anti skip skip club,1,tidak kasar,
anti skip skip club biarkamubisa makan tod,1,tidak kasar,
anti skip skip club indonesia,1,tidak kasar,
anti skip skip club tapikamubanyak lemak lemak gendut,-1,kasar,gendut
anti skip skip,1,tidak kasar,
anti skip skip iklan,1,tidak kasar,
anti skip skip iklan club dapet nihh rickk,1,tidak kasar,
anti skip skip iklan club stay anjing by the way suka chanel anjing,-1,kasar,anjing anjing
anti skip skip sabun eh iklan,1,tidak kasar,
anti skipp skipp iklan gantiin,1,tidak kasar,
anukamukecil,1,tidak kasar,
anjing opening nyolong jesnolumutan eeeeeh maksutnya jesnolimit,1,kasar,anjing
aowkaowk kotor x tertawa asu,-1,tidak kasar,
,1,tidak kasar,
kesini sg obby g prnh wkwkwk,1,tidak kasar,
an hatter bawa berkah,1,tidak kasar,
arti toxic bro erickolim,1,tidak kasar,
arti like,1,tidak kasar,
gan saia menaburkam rumah ular usir garam,1,tidak kasar,
cmn yg anti skip club,1,tidak kasar,
doank yg ngerasa,1,tidak kasar,
yg hibur nonton bang eriko tertawa hahaha,1,tidak kasar,
yg nonton videoerico lim iklan skip,1,tidak kasar,
yg kali liat erickolim curhatt,1,tidak kasar,
videoini birah kim hime,-1,tidak kasar,
pikir ni youtuber youtuber tau,1,tidak kasar,
yg nnton chanel ni makhluk slalu pke headset,1,tidak kasar,
yg pause pas gambar motong jembud,-1,kasar,jembud
yg kalok nontn chanelnya eric pakai henset biar kedengeran org yg wkwkk kesel buka channel langsung ketawa tertawa gara toxic bang,1,tidak kasar,
yg skip,1,tidak kasar,
nntn bareng emak,1,tidak kasar,
subscribe eriko murni hati nurani,1,tidak kasar,
yg ngerasa ericko lim turun cina,1,tidak kasar,
asa edit si eric niru pewdiepie iya brrti si eric kreatif,1,tidak kasar,
cuman yg benci akmj,1,tidak kasar,
cuman nonton videoelu rick kagak subscribe,1,tidak kasar,
cuman video erik jarang dapet iklan,1,tidak kasar,
cuman berani skip iklan laen masuk benci,1,tidak kasar,
fans tunda,1,tidak kasar,
terima,1,tidak kasar,
benci komentar baca eaa,1,tidak kasar,
tertawa dup asi gore conten gemar,1,tidak kasar,
benci biar koment baca,1,tidak kasar,
hak baca komentar,1,tidak kasar,
hak,1,tidak kasar,
hubung ama pantat,-1,kasar,pantat
ngomong kasar,1,tidak kasar,
enakx haters,1,tidak kasar,
faedah hatersin karya orangik wik wik wik wik wik oh oh oh oh oh,1,tidak kasar,
takut contoh g salah bang bukannyakamuyang nyontoh filthy prank,1,tidak kasar,
tangan mu tato,1,tidak kasar,
yg benci bilang peduli bang support karya bang,1,tidak kasar,
apaapaan iklan menit skip setan video faedah knp cpet sukses njiirrrr eneg liat juta subscribe salip atta yg jdiin teladan,-1,kasar,setan
benci mu bang biar baca,1,tidak kasar,
apalu smp sma anak remaja woy udah bedain buruk inget banget smp ajar hadap globalisasi salah sifat selektif anak smp arti udah diajarin sma gaush dibilangin lg tiru anak goblok,-1,kasar,goblok
apas,1,tidak kasar,
apas kotor ngntod,-1,tidak kasar,
apasiii sampah,-1,kasar,sampah
apip pekan,1,tidak kasar,
arap,1,tidak kasar,
arap tato,1,tidak kasar,
arap fans botjah,1,tidak kasar,
arap goblok,-1,kasar,goblok
ari jr,1,tidak kasar,
arifin gt hahha iya bnr,1,tidak kasar,
arti luh gx butuh subscribe donk,1,tidak kasar,
arti posisi jd pas liat org yg senasip ama ngerasain yg ketawa sadar,1,tidak kasar,
as well as make me happy is oke,1,tidak kasar,
muasal benci iblis,1,tidak kasar,
asbi poci hai nak,1,tidak kasar,
asddaadxjsjansb,1,tidak kasar,
asekkkk opening legend asu wkwkw,1,tidak kasar,
ashaduallahila hail waashaduana muhammadrasullah,1,tidak kasar,
ashiaap,1,tidak kasar,
ashu iklan,1,tidak kasar,
ashyhadu allaa ilaaha illallah wa ashyhadu anna muhammadar rasuulullah,1,tidak kasar,
asik konten kkkk,1,tidak kasar,
asik mantaf,1,tidak kasar,
asik upload cari pundi duid,1,tidak kasar,
asikk gaya low kon ska gya low,1,tidak kasar,
asin asin keremes coy,1,tidak kasar,
asin kremes,1,tidak kasar,
asin kremes wkwkwkwk ngangkang,1,tidak kasar,
asin kyak memekab heaters mutiara coy,1,tidak kasar,
asli bijak wkwk,1,tidak kasar,
asli benci otak tertawa,1,tidak kasar,
asli tertawa,1,tidak kasar,
asli semenjak subscribe chanelkamumulut bonbin bully negara,1,tidak kasar,
asli tertawa pas baca komentar haternyapalagi yg beli subscribe juta anjrit hahahaha,1,tidak kasar,
asssu,1,tidak kasar,
astafirloh halazim,1,tidak kasar,
astaga jebak channel autis,-1,kasar,autis
astagfirullah,1,tidak kasar,
astaqfirullah tobat bro tobat manusia cipta bully orang luu sadar bro dunia sempurna please stop hina erickolim pliss,-1,kasar,hina
asu first cok,1,tidak kasar,
asu haterskamumakin panas neh liat,1,tidak kasar,
asu i need pussy wkwkwk bang,1,tidak kasar,
asu iklan kondom,1,tidak kasar,
asu ngerusakin nama,1,tidak kasar,
asupan wkwkwk,1,tidak kasar,
asw iklan tik tod,1,tidak kasar,
asw kaget opening,1,tidak kasar,
asw tertawa ajg,1,tidak kasar,
asw,1,tidak kasar,
at konten love benci biar seru wkwk,1,tidak kasar,
at least ericko laurentius rand,1,tidak kasar,
yg ngebacotin rapstrounot,1,tidak kasar,
ateam subscribe yah,1,tidak kasar,
ati erick kaum yara ngumpul klokamununjukin pentilkamubalik maen pb lol ric,1,tidak kasar,
au ah tot,1,tidak kasar,
au utus teroris isis men takedown chanel agama family friendly dunia is this konspirasi iluminati,1,tidak kasar,
auto counter njing wkwkwk,1,tidak kasar,
auto dislike,1,tidak kasar,
auto kaya,1,tidak kasar,
auto kecilin volume,1,tidak kasar,
auto kecilin volume rick nonton videokamuya sih,-1,tidak kasar,
auto tertawa anjing channel didik h liat yutub,1,kasar,anjing
auto tertawa g,1,tidak kasar,
auto tertawa hahah,1,tidak kasar,
auto toxic anjrr,1,tidak kasar,
auto unlike,1,tidak kasar,
sempet muak liat muka nongol rick nonton video dadak jd respect up channel agama terfamily friendly,1,tidak kasar,
subscribe unsub pusing real coba buka video lucu yt ketemu ama ni channel anjing nonton ketawa orang gila mayan ngilangin stress tingkah gila ni anjing thanks dah pokok auto subscribe n like,-1,kasar,anjing gila gila anjing
awang kece artis bocin,1,tidak kasar,
awang kece b ngeliatnya,1,tidak kasar,
awas adegan,1,tidak kasar,
awas kime ku segan segan,1,tidak kasar,
awas nantikamumalah giveaway akun wkwk,1,tidak kasar,
awas musryik,1,tidak kasar,
awekwekwek sindir mampos ea,1,tidak kasar,
awkawkakwkawk,1,tidak kasar,
awkawkawkawkaw,1,tidak kasar,
awkwkwkw tertawa tampan bang sexy hahaha,1,tidak kasar,
awkwwkwkowkw,1,tidak kasar,
awoakwoakwoak nangid,1,tidak kasar,
awokawok,1,tidak kasar,
awokawokawok,1,tidak kasar,
awoke,1,tidak kasar,
awokokokokokoko wtf greged,1,tidak kasar,
awokwokwokwk gunawan sate,1,tidak kasar,
awto kena take down yt,1,tidak kasar,
ayam goreng sedap,1,tidak kasar,
ayo bang dukung challenge ter gila kontoru memekosik wik wik,-1,kasar,gila
ayo gaes channel ericko limmm musnakan hatter benci peler konntoll laknant,1,tidak kasar,
ayo hateess komentar terosss,1,tidak kasar,
ayo benci drpd sibuk komentar cr duit beli bmw orng yg u hina cocok u ush liat yg erico cm hibur lucu an baperan,-1,kasar,hina
ayo main coc,1,tidak kasar,
ayo mampir channel subscribe subsback comment video,1,tidak kasar,
ayo rame rame unsubcribe chanel,1,tidak kasar,
ayo rame report konten seksual,1,tidak kasar,
ayo semangat erik bantu erick,1,tidak kasar,
ayo unsuscribe,1,tidak kasar,
ayok gera ubsubs erikolim,1,tidak kasar,
azam kazama yg salah,1,tidak kasar,
azek intro,1,tidak kasar,
aziz zidhan,1,tidak kasar,
b a u m m k,1,tidak kasar,
b,1,tidak kasar,
baaaaaaaccccoooottttt,1,tidak kasar,
baca jeng,1,tidak kasar,
baca kontol,1,kasar,kontol
baca komentar plz wkwj ngebacot,1,tidak kasar,
baca komentar dengar triak hantu edit awto lempar hp,1,tidak kasar,
baca komentar promotin ig maaqinthara muah,1,tidak kasar,
baca komentar benci pacar,1,tidak kasar,
baca komentar benci part kontol yg tujuh likean tiru,1,kasar,kontol
baca komentar orang goblok nyata seru,-1,kasar,goblok
baca komentar please,1,tidak kasar,
baca komentar w,1,tidak kasar,
baca koment,1,tidak kasar,
baca kontl nice content,1,tidak kasar,
baca tod kapankamutobat toxic,1,tidak kasar,
baca coli bangsat,1,kasar,bangsat
baca,1,tidak kasar,
baca hate comment video no smile zone tod,1,tidak kasar,
baca komentar bang erick,1,tidak kasar,
back soundkamukegedean bang suara trlalu kedengeran suara lu,1,tidak kasar,
backsoundnya iklan hago enak ad yg tau lagu,1,tidak kasar,
bacot skip iklan,1,kasar,bacot
bacot lho,1,kasar,bacot
bacodddd luuu,1,tidak kasar,
bacooooooot ngentooooott,1,tidak kasar,
bacooot anjing,1,kasar,anjing
bacooottttttt aaaaaannnnnnnjjjjjjiiiiiinnnngggg,1,tidak kasar,
bacoot kontoool,1,tidak kasar,
bacoottt wkwkwk,1,tidak kasar,
bacot anjing buang konten gaada iklan,-1,kasar,bacot anjing
