,text,sentiment
316,bang erickolim tetap di jalan setan aje bang jangan peduli orang orang idiot,negatif
328,bang erik tu kaya anjing gua suka e sama like aja,negatif
329,bang erik yang gila di youtube lu lu pada yang ngehate dia boi please lah dia butuh duit bukan cuman elu doang ngntot dia yang kerja elu yang bacot tingkat slb,negatif
331,bang eriko lim lo bego cuman banyak subscribe nye salud sama lo bang,negatif
354,bang gua mau nanya sama lu tolong jawab gua kepo banget ni lu sering ngomong anak kampang itu kan ciri khas orang lampung apa lu ada turun orang lampung,negatif
372,bang gw bukan haters lu tapi gw ken bilang memek,negatif
373,bang gw cewe bukan hode ya babi,negatif
380,bang gw nonton video lu sambil boker alhasil tai gw keluar lancar,negatif
381,bang gw sange,negatif
383,bang gw sering nonton elu kalo bisa buat konten jgn yg mabok kan atau segala macem bang tapi kalo konten yg gila goblk tolol gpp bang seru bikin ketawa and bikin semangat buat akhir hidup wkkwkwk canda,negatif
402,bang jadi kagak makan spageti campur tai kalau gua tunggu,negatif
403,bang jadi kagak makan spageti campur tai kalo ada gua tunggu ya,negatif
426,bang kalo berak bismillah dulu gak,positif
429,bang kalo memek itu bau ga,negatif
430,bang kamu ada niat buat bikin pidio potong titit apa,negatif
431,bang kamu bangsat aku suka sama kamu tetap semangat bang,negatif
438,bang kamu kaya tai yg baru keluar wkwkw kamu jijik,negatif
442,bang kamu kok kayak kontol ang foto lu smaa bowokntl rik pasti mantapppp,negatif
488,bang konten makan jembut bang please,negatif
491,bang lain kali bikin konten yang bayank bacot nya,negatif
543,bang ngentot,negatif
544,bang ngewe yu aku homo,negatif
553,bang pada minta video ngewe tuh subscribers lu semua wkwkwkwk,negatif
555,bang pernah mikir ga kalo tanya anak papa dulu papa makan jembut aku boleh coba ga,negatif
556,bang pernah sange sama hewan,positif
567,bang rick kamu pernah ngentot,negatif
569,bang riection lagu tai tai tai tai tai tai tai thailand dong yg lagi virall lagu lumayan toxic juga tuh hahahah yang tuju like dong,negatif
579,bang saran gua jngn sombong ya dengan ada lo sekarang inget waktu lo miskin truss lo jadi sekarang karena siapa,positif
594,bang subscribe makan torpedo ama jembut tompel,negatif
597,bang suruh kondisi kontol sam memek suka ngina kamu bang,negatif
602,bang tiap gua liat vidio kamu gua suka tertawa anjir jangan ambil pusing orang ngomong apa bang gua tau kamu bikin chanel cuma buat hibur doang soal orang suka sama chanel kamu faedah urus masing masing kalau suka pasti tidak tonton tidak ambil pusing tentu kamu bang lebih buruk orang yg suka ngomen buruk hidup kamu so sukses terus bang makin rajin bikin vidio konyol nya ak kecil belum cukup umur di kasih gadget tetek,negatif
608,bang toxic bacot ome tv dong bang yg stuju like,negatif
625,bangke pas ngomong isis pake iklan anjir wkwkkw,negatif
630,bangsad memek ngiluu,negatif
645,banyak bacot lu pukimak,negatif
646,banyak bacot luh goblok,negatif
654,banyak haters banyak duit btw ngentot d,negatif
670,banyak iklan tai,negatif
683,bapaklu ngentot sama ibu kamu,negatif
709,bau memek,negatif
721,bau memek anjir v,negatif
722,bau memek erserah mau caci maki kamu itu jadi motivasi erick bersabargas negatif apa mau kamu gblok haters,negatif
723,bau memek in bang bukan,negatif
724,bau memek kim hime,negatif
725,bau memek ns,negatif
727,bau memek wkwkwkwk,negatif
731,bau tai entar anak nya,negatif
749,bego,negatif
750,bego dna,negatif
751,bego goblok,negatif
752,bego hatersnya kalau ngomong,negatif
755,beli mulut mulut heaters pakai bulu jembut lu rik hahahaha enk kali ya,negatif
764,benar ericko orang baik elu aja tidak tau aku subscribe ericko k anjing,negatif
769,bener bang semua itu gantung lingkung dan orang tua lingkung dia kalo kek jembut yah anak pada kek jembuttttt,negatif
788,berani makan tai kalau jt subscriber bos,negatif
816,betul bang jgn peduli nih para botol yg bacot minta ampun,negatif
829,bg rekrut agung hapsah jadi sodaro lo mirip bgt dah lo nonton lu lim buat haters kalau ga suka ya ga usah nontong anjing ribet banget lu kek kadal mesir enghibur cuma bahasa gapantes,negatif
832,bgitu bodoh nya haters coment lo bikin ericko tambah kembang,negatif
837,bgst lo gw gak suka ing bits kontol by haters ngentot haterss fuck fuck,negatif
864,big dream work hard and make it happen kata motivasi yg aku dari erik emng konten erik emng kbnykn kontol tapi balik ada jg faedah sepenuh konten shitpost beri manfaat cara yg beda sih kalau kata aku si erik aku yakin kok erik orgnya baik,negatif
866,bijak tulang anjing keren,positif
892,bikin part nya lahh anjing aku mau tau berapa baik haters kamu,negatif
893,bikin part nya lahh anjing gw mau tau berapa baik haters lu,negatif
904,bilang aja mau di like ericko memek lu,negatif
908,bilang sama orang mukak orang seperti jembut kucing,negatif
928,bnyk bacot,negatif
934,bocah kntl pada bego komen nya bocah sabunnn,negatif
941,bocah sabun lo kampang,negatif
946,bodo amat bang gwe buka suka sama lu tapi gua nonton video lo buat hibur doang inget aja lah bang hanya pohon buah yg di lempari batu kayu tai jembut hate ah mana tau baca eric kontol,negatif
948,bodo amat lah bang konten lo kan cuma untuk hibur jadi kalo ada yang mau niru tiru lah yang baik kalo mau niru yang salah ya serah kalian itu udah besar anjing,negatif
961,bodoh itu bang,negatif
962,bodoh karakter usak anakbangsa buat yt rewind buat citra sponsor kaum elitglobal,negatif
963,bodoh njinggg sama eriko lebih bodo heter kamu njingg,negatif
1001,btw ada yg tau rando mana biasa beranda yt gw di penuhin bacot motivasi dia,negatif
1010,btw lo ngentot,negatif
1023,buat apa nge bully org pantat tebel ginian wkwk,negatif
1024,buat apa si jadi haters hah yg jadi banyak duit bang erick bukan kamu bang erick jadi kaya kamu jadi miskin bro,negatif
1030,buat ericko kontol gw suka chanel lu udh gw subscribe like gapernah tinggal iklan selalu gw tonton moga bisa terus karya erickontol,negatif
1032,buat haters anjing klo ga suka y jgn nge gas ngentot,negatif
1034,buat haters ericko ush rendahin dong mau buat kamu kalau kamu suka usah liat bangsat,negatif
1064,budek kuping aku ajg,negatif
1081,bukti ada bego,negatif
1093,c h a n n e l k e l u a r g a t a p i n g o m o n g n y a m m k k n t l ment lucu anjir,negatif
1094,cacat,negatif
1099,cara ngentot bagaimana,negatif
1143,chanel kontol tapi bagus,negatif
1156,channel ericko mungkin memang didik isi hibur asu kalau kamu haters hibur mending usah liat asu gua suka nonton karena hibur kontol,negatif
1157,channel ericko tuh mungkin memang nggak didik tapi isi hibur asu kalo lo haters nggak hibur mending nggak usah liat asu gua suka nonton ini karena hibur kontol,negatif
1167,channel hibur gk bisa ngedit gk punya otak buat konten noob,negatif
1171,channel kok plagiat pink guy hehehe joji ada alas kenapa toxic dll lu apa autis beneran ya gan,negatif
1209,coba bikin video kamu ngentot sama ody peler kamu kecil,negatif
1210,coba kalian pause di si eric search di youtube makan jembut wkwkwkw btw jemb t nya eric lebat,negatif
1214,coba main game lah ngentot,negatif
1219,colab sama titis dewa qory gore ajak dia mkn jembad sekali si jadi ya ga lewat memek keluar bg lewat anus kali ya kayak pantat muka v,negatif
1252,cuma hibur kontol kamu suka usah mampir kesini goblok save erikontolim,negatif
1254,cuma internet personality asli ini dia baik sekali anjing,negatif
1259,cuwekin aja bayangin aja setan,negatif
1271,dah tau chanel bego tonton aja,negatif
1284,darel davin bacot jing,negatif
1288,dari pada lu baca komen haters mending lu liat banci tailand bacol rik,negatif
1290,dari semua yg lu bacain lihat bahwa ga satu komen nya bobot dan nampak idiot tu org pada yg ngehinalu otivasi bang hhe gw tau lu itu orang baik,negatif
1298,dasar haters otak tai babi,negatif
1301,dasar idiot,negatif
1304,dasar makan jembut,negatif
1306,dasar penyembh jembut assu,negatif
1307,dasar umat goblok koment pedes lo ke si ericko lim itu gk ngaruh ke hidup bodo jadi ya inti lo ank gk guna tolol hehe,negatif
1310,dasar yg komen jahat kaum pantat tipis upgrade pantat sana,negatif
1311,dasssaar haters haterrrs laknat miskinn bajingannnn cuma bisa ngomong di sosmed memek konnntoll nih hatters hatters miskin idioot konntoll mati aja kaliaannn hatttterss konntol,negatif
1319,dear haters suka gausah nonton anjing,negatif
1320,dear haters usah nonton channel ericko lim usaha buat hibur orang so please stop bully noob bitch i like ericko lim,negatif
1322,dear hatters maknye erickontol kagak ngilu nglahirin die pling jijik doang goblok wkwkwkk kontol bajing tp benar dia di dunia nyata adalah orang yg sama aja first time gua komen lo moga baca lu mau dengerin saran gua yabagus kalo engga yakontol,negatif
1328,dengerin kalau suka usah nonton anjing hahahahaah,negatif
1329,depan kamera dan personal itu beda coy dia memang hobi buat video kaya tai tapi hibur tp personal beda banget dari apa yg kalian pikir,negatif
1344,di paksain banget anjg menit memek pantek gua enttot ibuk kau,negatif
1350,di video ini jujur gk ada iklan yg gua skip anjing,negatif
1365,dickyahm mampus lu wkwk,negatif
1366,didik banged yutub chenel ni buat aku jadi anak kontol bagus,negatif
1415,dri pertama gw nonton ngakak ajr memek ngilu,negatif
1424,dukung si toxic pd bangga sama makan tai papa dl makan tai wkwkkwk fuck kaya gin bnyak subscribe ny,negatif
1426,dulu ane subsr lau semenjak kamu makan jemboet auto unsub jijik sumpah liat bego,negatif
1451,eee ngentot,negatif
1454,eehhh kamu malu ngejilat ludah sendiri ngatain moba kok analog maen ml wkwk hamba edsen cuk duit ngartis sampe makan jembut bikin malu aja,negatif
1466,eh manusia makan jembut hahahahah,negatif
1471,eh pokok subscriber ericko lim orang orang nonton video sangat sebal usah tiru orang bego yang enngak punya otak ericko lim kamu mending tidak usah seperti gin,negatif
1474,eh sorry ya gays aku tadi liat memek,negatif
1482,ekkekw kok hatters idiot gitu,negatif
1486,elo cuma bisa ngentot aj,negatif
1492,elu yg bacot ank lonte,negatif
1502,emang kamu kya bangsat buat lagu suka nyindirin orang wkwk,negatif
1505,emang lu ngentot goblok awas tu di ss pas lu meggang memek lu sendiri viral nnti,negatif
1529,entah memek ngilu,negatif
1530,entah mengapa memek bisa ngilu v,negatif
1533,er bang semua itu gantung lingkung dan orang tua lingkung dia kalo kek jembut yah anak pada kek jembuttttt,negatif
1543,eric pantat tebal,negatif
1552,erick di hina apa juga slow aja kontol haters udah tau gasuka masih juga nonton sekarang yg bego elo haters kontol orang sana mungkin tidak pernah bayang dapat uang besar juta rupiah untuk belanja saya mr money saya akan jalan mana arah mata angin jalan untuk cari siapa yg untung dapat uang besar juta rupiah dari saya dalam uang kaget,negatif
1554,erick emang gitu kalo dia kagak ngetoxic ya beda lagi karna cirikhasnya kntl tapi emang ngehibur ea so kalian semua kontol udh gede lu pada gak suka jan bct kek bocah aja cihhh,negatif
1573,erick kolim kaya tai,negatif
1575,erick kontol hahahaha canda bang maaf gua suka video kamu bang udah gua subscribe chanel kamu terus karya bang,negatif
1581,erick pantat nya udah tebel sma komen macam itu,negatif
1584,erick sama reza bagus erick tolol dasar hater kntl beda nya erick sma arap erick kalo serius itu bijak sedang arap kntl,negatif
1588,erick the best tidak suka sama erick sini aku bantai semua nya anjing sini,negatif
1601,ericko bangkai,negatif
1602,ericko bikin challenge cukur jembut dong,negatif
1608,ericko jancuk,negatif
1613,ericko lim ajig lu seru walaupun konten unfaedah tpi ngehibur rik hibur lk v di sini bukan buat kaum pantat tipis wkkwkw welcome to internet kids lu gk kasih makan trus orang harus tampil kek apa yang lu mau gitu mikir wkkwkwk kenal juga gk goblok,negatif
1626,ericko lim itu keren kontol,negatif
1632,ericko lim kok ngentot,negatif
1634,ericko lim makan jembut this is haram bukan golong kami tobat ericko lim mumpung masih ada waktu,negatif
1646,ericko lim tai sekarang mending dulu gw rindu pas subscribernya masih kan,negatif
1665,ericko baik yng komen jelek tolol,negatif
1683,erickolim toxic anjeng auto unsubs aja babi tuju like,negatif
1696,erico elu gendeng bnget,negatif
1711,erik ngentod gua suka lu toxic anjing gudd entoddd,negatif
1720,eriko lo bacot main pung mobile di hp kentang sampe chiken kata pro celeng,negatif
1722,eriko my inspirasi gokiltapi ngomong nya aja jaga kin kali makan jembut pacar kamu njing,negatif
1723,erikolim is the best tapi dia noob v,negatif
1756,family friendly banget anjing moga sukses lu anjing,negatif
1778,fernanda achmad gw dateng cuman buat dialike ama balesin komen para soapers sang puja manusia makan jembut kalo gw ngga nonton entar siap yg jadi hatersanya lord kalian,negatif
1788,firman gar hormat mamak mu ga ada memek jadi tu youtuber baru rick gua mau bilang ati ati aja sama bro bro gore,negatif
1820,fuad dany ngentot lo,negatif
1838,fzmaq gaming babi lw,negatif
1853,ga ngewe sama kim himie,negatif
1857,ga suka cabut kalau suka ya tetap stay anjing btw gw suka chanel ini anjing,negatif
1858,ga suka channelnya tpi lu subs sma tonton anjing munafik fuck,negatif
1859,ga suka sama channel ericko lim tapi lu tonton juga anjing,negatif
1860,ga usah bawa bawa agama ke komen kalo lo sendiri aja munapik lo ngocok abis tu sabun lo nonton bokep ngocok sendiri,negatif
1865,gacha starlite syirik apa kamu idiot y wkokwokwok,negatif
1881,gak suka karya orang tapi masih suka pantengin orang goblok tu sampai ke sum sum tulang anjing,negatif
1883,gak usah di pikir bacot org lanjutin aja sini soapers dukung loe erickolim,negatif
1886,galang anak babi cina,negatif
1894,ganteng bapak kau tampang kurang perut lebih gitu ganteng ouww yeaahhh wakakak bego tu yg komen,negatif
1896,ganteng bgt ericko lim ini sumpah gagah bgt perkasa bgt anjir wkasti horny itu cewe lagi gw udah subs kak ody ama erickolim,negatif
1899,ganteng ganteng bego,negatif
1909,ganteng mana ktl mukak kamu aj kaya memek bekurik,negatif
1923,gara gara aku nge subscribe kamu masa lucu anjir,negatif
1924,gara gara elu reza delete channel babi,negatif
1945,geblek lu bang masih nonton dasar haters,negatif
1947,gege intro back ngentot,negatif
1949,gembel lu goblok ericko lim,negatif
1992,gin ni kalau lahir lubang pantat bukan lubang memek,negatif
2020,goblok lo kalo gak dari komentar dari mana lagi dari lobang memek emak luua mau bilang ati ati aja sama bro bro gore,negatif
2062,gua akuin gua suka gaya kamu bang kamu pinter nyari duit makin kamu buat kacawan konten jelas malah banyak yg poin kamu itu ngasilin duit pada kamu jadi bangsat kampung luntang lantung jelas mending gin hasil nya wkwkwkwk,negatif
2075,gua bukan supkriber lu tapi gua suka nonton lu anjing babi ngentot bangcad taiiiiii hhh,negatif
2083,gua dukung kamu bang erick kontol gua paling suka video challenge jelas yg kamu buat saking suka gua ama kamu tiap iklan selalu gua liat in s sampe sekarang gua subscribe semangat bang kontrol salam memexxxx,negatif
2091,gua erickolim cakep suer guelaporin aja biar mampus,negatif
2095,gua gemar kamu bangti jembut kratos jembutos,negatif
2096,gua gila muka aku tai,negatif
2097,gua gk habis pikir sm heters kek mereka org stress cupu dungu idiot yg cmn bisa kata di dumay tp pada knyataan merka adalah org terbully dan sisih yg butuh teman dan perhati,negatif
2108,gua kasih bokep,negatif
2117,gua lebih suka kamu yg kya gitu bang diemin aja kata haters mah emang haters kontol idiot sampah,negatif
2123,gua like karna menghibung anjing baik p,negatif
2152,gua bagai soapers bnr bnr ngefans abis sama ni org walopun slengean kan kek kontol tpi yaa balik itu gua liat pribadi yg baik sih ntap maju terus kontoru v,negatif
2155,gua selalu dukung lo bang dari lo main pb guq dqh subcribe lo kren lo mantap ini baru chanel yang ga suka koment gua sini gelud anjing send alamat kontol,negatif
2160,gua tuju sama lo lim kapan bikin video makan tai biar buming,negatif
2172,gua soapres kntl bacot lu bangsat haters ppq lu gak karya lu gak ada guna coba colab sama lucinta luna booom,negatif
2179,gua suka anjing yg unfaedah ke gin v,negatif
2180,gua suka banget ama konten kamu bangkarna semua vidio kamu lucu bang tetap ngebuat vidio tiap hari bang gua suka banget kalau kamu bilang yg jelek bang you is the best bangdiem aja like lebih banyak dislike memek,negatif
2181,gua suka gaya bicara lo kontol wkwkwk,negatif
2182,gua suka konten lu rik meng hibur bangnget buat guave away ke anjing,negatif
2184,gua suka sama kamu kamu ngeres gua haha suka bilang memek kontol bagai,negatif
2194,gua udah subs trus suruh erick pencet tombol subs lagi gua pencet lagi laa gitu terus gua kalau nonton vidionya erick sampek jembut gua rontok,negatif
2200,guaa sukaa gaya kamu kontol,negatif
2216,gue haters tapi gue kok baik yein biar dapet adsence kontol emang lu rik xd,negatif
2221,gue ngikutin erick dari tahun waktu pertama kali gw nonton video nya yang judul putusin urat malu cfd klo kg salah gue hibur rasa gw ketemu idola yang paling bodoh wkwk tapi hibur ya inti itu sih kata dia kalo nggak suka ya gausah di tonton tetap semangat rick gue soapers loh tapi gue rasa sedikit sedih kali ini karna cok pardede sama tretan muslim out dari mli hiyaaa hiyaaa hiyaaaaa,negatif
2225,gue sange dan akhir coli,negatif
2228,gue suka gaya lo kali kali makan kontol lah jgn jembut mulu,negatif
2229,gue suka goblok lu anjing,negatif
2230,gue suka rik komen komen haters lu tolol nya beri tuhan langsung,negatif
2231,gue suka sifat lo bang tetap karya trus bang klo bikin video dalem waktu deket aja anjing jangan lama asw,negatif
2268,gw lebih suka konten yg kek gin dripada gaming cuma gerakin analog apa anjing bosen,negatif
2278,gw nonton chennel ini dari pas erick maen lol yg bahas item seperma gw ketawa ketawa turut gw yg nyontoh laku nya orang tolol kan bener kata erick mana yg baik di contoh mana yg gak baik di contoh kalo orang tau itu gak baik di contoh tapi mas di contoh arti dia anak slb,negatif
2279,gw nonton ini asa hibur njir selalu ngakak gw kalo nonton lu lim buat haters kalau ga suka ya ga usah nontong anjing ribet banget lu kek kadal mesir enghibur cuma bahasa gapantes,negatif
2289,gw tuju sama lu bang walaupun emang ini konten bangsat semua dan gak didik tidak lucu dan cukup senang di banting konten bokep di youtube yang cuma ngerusak otak dan pikir gak papa kuota habis buat nonton chanel goblok yang lumayan lucu daripada buat yang aneh aneh sukses ya,negatif
2291,gw slalu nonton video anjg dan kami dsini bukan haters lu kntl ini channel keluarga yg family friendly super anjing keren panjang masa v,negatif
2307,gw yakin channel dia bakal jdi kyk kubur stlh kena bacot ny vngnc,negatif
2310,gw yg gk suka dari tiap video lu itu iklan nya tiap menit kontol anjinnkkkk,negatif
2322,h mandi lu bang kmaren kucel v,positif
2324,haahaah tertawa aku dengernya memek ngilu hahahaahah,negatif
2337,haha anjing emang nonton mereka yg suka nonton,positif
2339,haha benci bego udah tau gasuka mas nonton ya gpp si makin banyak benci makin banyak uang lol,negatif
2340,haha biar saja eric cuman komen hidup kamu haha whaai hartes ericolim kamu tau kamu sama lucinta luna masih mending dari kamu tidak hidup cuman komen hidup orang aduh kasi mak kamu coli tiap malem dapet anak kaya bangsat,negatif
2347,haha kalau kata org kamu bego yah,negatif
2368,hahaha hatters goblok hahaha suka ni chanel gausah buka chanel bangsat haha,negatif
2371,hahaha jembut,negatif
2373,hahaha tai kamu ericko lim,negatif
2384,hahahaha betul the rick yang komen bacot belum bisa paham,negatif
2391,hahahahaha anjir kocak,negatif
2401,hahha anjir org,negatif
2404,hahha udh gk kuat hati pas menit ke brapa itu tapi tetap senyum a kontol mata juling pepek,negatif
2417,halah tai ga botak unsub aja bro,negatif
2418,halah tai mending makan jembut lagi pasion lu situ,negatif
2435,hanya di sini ada orang tato makan jembut gimana di daerah kalian apakah ada rugi tato tapi ga berani makan jembudner aja,negatif
2455,harus nulis sambung wkwkwk tai lu,negatif
2463,hate eriko kya x lahir dari mulut ga dari memek,negatif
2473,hater hater memek ngilu v,negatif
2504,haters autis otak digade buat beli diamond mobile legend wkwkwk,negatif
2505,haters auto kesel ke trigger mampus kau haters,negatif
2509,haters bacot masih nonton,negatif
2510,haters bacot suruh tutup akun channel kamu,negatif
2512,haters bacot tapi masih nonton,netral
2518,haters bego asli,negatif
2519,haters bego auto kayaaa kamu bangtetep kamu ngomong teriak gitu,negatif
2520,haters bego bang,negatif
2529,haters bodoh kalo ngk suka kenapa di tontong anjingg,negatif
2570,haters gaada kerja bisa cuma ngehina karya bisa baru tolol goblok gan dengar mereka terlalu rendah kamu dilakuin bakal baik ato kaga kalau yg dewasa ngerti lah mksd komen aku apa,negatif
2577,haters goblok kalo ga suka gausah nonton ini canel emang kaya begini cenel freni femeli di dunia orang baper mati aja kontol,negatif
2589,haters haters amat lah mending gw nonton biar dapet hibur ya kan yoi gak bang udel mendem lanjutin lah kontol ehh bego anjing ngentot wehh seru uga ya untuk para haters bang udel mendem gw kasih nih saran ke lu semua heters jadi orang mikir lu jadi heters apa faidahnya ngotak dikit ngapa komenin yang gakjelas doang gitu udah tau bang udel mendem kan emang baik ngasih tau bang udel mendem ya nama juga hibur lu kalo mau liat vidio yang baik baik nonton tv aja untuk lu bang udel mendem chanel yanv bahagia dari gw belum gw mau ngatain lu dulu biar lu tambah semangat fuckkk ngentot kuda anak udeh gitu aja dah untuk lu project yang lu bikin lancar biar biariin,negatif
2598,haters itu baik bang tanpa haters lo pasti miskin sampek sekarang dan sekarang haters lo banyak makan sekarang lo kaya kontol,negatif
2614,haters jangan denger bang channel kamu yh serah kamu lah penting nguntungin buat abang buat haters kalau suka jangan tonton kntl anak anjing,negatif
2621,haters kamu bego rik blom tau nikmat sarap jembut campur saos tomat kkk,negatif
2626,haters kayk kontol faxx pencintraan mending jangan nonton channel eric kalau luh suka ngentoddd,negatif
2646,haters kontol kalau suka erickolim usah tonton,negatif
2647,haters kontol kalo gak suka jangan nonton anjinkk sesimple itu anjinkk,negatif
2651,haters lo dari kalang org miskin semua rik cari haters yg agak kaya dikit napa wakakakak,negatif
2665,haters mah gitu rik sinting kwkw cem pantat,negatif
2676,haters makhluk munafik gasuka tapi di tonton tau ga didik tpi penasaran ken liat ya kalo emang ga faedah kata dan perilaku gausah di cerna pake otak tolol dasar biji hylos,negatif
2683,haters mending ngentot sama tembok gih sana wkwk,negatif
2687,haters miskin erick kayazxuan celaka sama tutorial fanny kabel noclickbait,negatif
2688,haters miskin erick kayazxuan celaka sama tutorial fanny kabel noclickbait,negatif
2695,haters ngeroast ericko kebal pantek gak bakal bakar ngentod,negatif
2700,haters nya bodoh orang kaya gin jangan di gituin di doain waras aja,negatif
2713,haters pada goblog anjig tenang rick gua bain gua jg kaya lu malah punya komunitas wkkwk idiot,negatif
2721,haters pupuk jadi makin banyak haters makin subur btw pupuk hhmmm tai yes tai yg manfaat,negatif
2723,haters baik nya diam aja gak usah urusin orang lah kalau kalian nonton sub like dulu v baru nge bully ngentot anak kontol,negatif
2725,haters seperti kontol bisa auto kaya ngentot sini channel susu kental manis suka jangan nonton goblok bantu aja lihat iklan ngentot,negatif
2726,haters setan,negatif
2727,haters sok motivasi anjing kalau gak sukak jangan tonton aja,negatif
2728,haters suka emang gitu bacot sana sini kaya bner sendiri haters bangsat,negatif
2730,haters sumber uang anjir,negatif
2734,haters tai kambingangm gift sultan macam apa niih,negatif
2735,haters tai lu ganteng njir,negatif
2738,haters tolol kalau suka eriko lim ngapain kamu terus nonton channel nya tolol,negatif
2746,haters yg bacot gua yg kaya,negatif
2754,hatersnya lu pada nampilin kebodohnnya anjir kwkwk,negatif
2756,hatersnya mulut pedis yg sabar yaa terus semangat beryoutube jembut pacar kamu njing,negatif
2766,hatter banyak kata kontol punyak kontol hatter sangkin kontol tau lg aku apa bilanginnya hattee sibok kali ngurusin hidup org hidup urus kontol hidup tu bagus kali jadi kamu yg kontol hatter,negatif
2775,hatters kamu bisa buat video bagus erico hatters anjing bacot aja,negatif
2804,heaterskontol kalau kamu suka y usah nonton goblok kontol,negatif
2807,heeei wattsapp broo youtube riwend gimana lo bilang gak bakall ada karna lo gak sana rasa paling penting lu kira gogle sinting muncul jadi jago saat sutuasi genting ahh ini kah idola anak yang ngefans dg gaya gaming lu yang paling bobrok,negatif
2812,hello anak slb itu tidak idiot mereka adalah orang orang yg paling istimewa,negatif
2821,heran padahal channel sudah beri ingat bukan kaum pantat tipis masih ada nonton aneh emang,negatif
2824,heter kontol atta halilintar baik di buly ericko lim suka cakap kotor lo buly lu pilih aja klok lu anak baik ikut atta klok lo mau neng ketawa y lo ikut ini orang yg lucu itu karena bahasa bro jdi lo gk usah sok paling bener,negatif
2837,heters otak lu isi tai primitiv,negatif
2861,hhhmmmm bau memek banyak sekali gua cape nyekip ads nya ngentot t channel bgst,negatif
2875,hibur kimak sma kamu rik terus maju dah sukses bwt kamu erickohimehime,negatif
2896,hirup bau hpppppppp bau memek,negatif
2900,hiya hiya hiya wkwkkwkwkwkwk anjir tertawa,positif
2926,hmmmmm buat bang erik terus lah karya karena masa muda buat karya cari pengahasilan sendiri jangan dengerin kata si cebong,positif
2944,homo asw v,negatif
2945,homo bngst,negatif
2949,htters nya emng kea anjing kalau suka gausah nonton la babi gausah sok an ngomong komen so keras datengin aja nyimeng kntl,negatif
2956,hy haters hatersnya ericko lim jadi orang jangan suka nyinyir doang dasar manusia manusia kontol,negatif
2993,i love you bro bekose only u the next fuckin idiot pink guy and can feel my hart with a good love fuck yeah,negatif
3018,ibarat naruto lu itu madara arap hashirama sama kuat ga asal bacot doang ada karya msing jdi mo hate jg tpi lu ada karya buat youtube nah yotuber yg ceban sama salah beli tu ibarat tonton,negatif
3020,idola aku kwkw m cakep suer guelaporin aja biar mampus,positif
