,text,sentiment
303,bang erick iklan chanel kamu aplikasi goblok terus,netral
304,bang erick jt subscribe potong rambut botak dong awkwk gua bikin yutub gua subscribe semua kamu bang kalian ketemu minta foto rumh kamu,netral
307,bang erick ngelakuin semua konyol dia punya malu gais beda sama yaudah jadi nikmat aja mayan buat bahan colmek ceue ceue,netral
309,bang ericko agama pa y aaa,netral
310,bang ericko ak fans abang,netral
311,bang ericko kalo boleh tau warnain rambut abis berapa duit aku mw warna abu gtu,netral
312,bang ericko lim biar hatersmu tetap rim berkah bang wkwkw mantab ngakak gue liat vidio ini semngat trus bang,netral
313,bang ericko lim gue minta iphone,netral
314,bang ericko tetep ngefans sama abang ndak usah ndengerin haters yg terlalu sadis tuju abang mnghibur moga tambah sukses,netral
317,bang erico lim kapan buat video,netral
318,bang erico paling kocak,netral
319,bang ericolim gua salah satu subscriber kamu fans kamu bang,netral
320,bang ericontolim makan pejuh kim himme dong kwkwkw,netral
321,bang erik ayo mabar pubg,netral
322,bang erik cuma mau bikin kamu asik gituuu goblok kamu hatters,netral
323,bang erik dia iri ama melet lu,netral
324,bang erik gantenng,netral
325,bang erik haters mh diemin ae yg penting semangat bang youtube,netral
326,bang erik main pb dong bang soapers lama juga kangen bang,netral
327,bang erik main pb dong bang soapers lama pasti juga kangen bang,netral
330,bang eriko kapan ngomong toxic gw kangen sama toxic an lu bangin,netral
332,bang g react tik tod lg,netral
333,bang ga bikin lagu diss haters,netral
334,bang ga usah mikirin heters banyak yg suport lu bang,netral
335,bang gampang banget jawab haters lu,netral
336,bang ganti semir rambut elu donk msk terus x aja yg lh,netral
337,bang gara gara kamu teman aku dulu toxic sekarang banyan toxic,netral
338,bang gara loh satu sekolah w jadi,netral
339,bang gebetan gw pacar ama temen gw gimana ni,netral
340,bang gua bantu lu bikin konten riding komen heter,netral
341,bang gua dukung kamu gua lahir sampe surga,netral
342,bang gua fans lo,netral
343,bang gua haterslu,netral
344,bang gua jilat sepatu makan daun tapi di bully,netral
345,bang gua kan dh subscibe kok gk ada tanda merah wah lu boong lu bang v,netral
346,bang gua kangen kamu main pb lgi,netral
347,bang gua kemaren makan sumpit pake bubur,netral
348,bang gua kilk subscribe x,netral
349,bang gua klik subscribenya kali,netral
350,bang gua mau indomaret mau nitip,netral
351,bang gua mau jadi haters lu tapi gua bingung gmn cara,netral
352,bang gua mau jdi murid didik lo njing,netral
353,bang gua mau kasih kata rahasia,netral
355,bang gua mencet tombol subscribe malah pause vidionya,netral
356,bang gua muslim jdi jangan pake toxic bales jwabah tdi kalo mau antem sini goblok,netral
357,bang gua ngak pernah skip iklan lu,netral
358,bang gua nntonnya iklan mlu bngst wkwkw,netral
359,bang gua nungguin lo bkin konten milf,netral
360,bang gua saranin ni chenel khusus biar anak kecil ngeliat,netral
361,bang gua selau dukung lu,netral
362,bang gua suka ngejek kamu erickontolim bang gua tetep suka ama kamu bang,netral
363,bang gua masuk haters elu tapi aku nge pens sama lo bang terus aja karya ya bang,netral
364,bang gua tetep jadi soapers donk,netral
365,bang gua udah lewat detik gabisa subscribe nih tambahin dong waktu menit kek gitu,netral
366,bang gua udah unsubcribe,netral
367,bang gue ada challenge yaitu,netral
368,bang gue bocah ni bolah hate coment gx biar gue yg di buly subsciber lu wkwkw,netral
369,bang gue cuma mao bilang tdi ada adsense gua gak skip gua nonton ampe habis,netral
370,bang gue laper,netral
371,bang gue suport lu cuma yang perlu di koreksi dari lu cuma kata lu aja perlu di halus dikit,netral
374,bang gw dh tahun subscribe channel lu tapi x aja gk pernah lu like kasi emot kek di comment gw u ga banyak kek sekarang but its ok,netral
375,bang gw mau buat chanel youtube,netral
376,bang gw mau nanya kok lu ngebet banget tahun ini untuk juta subs emnk knp bang,netral
377,bang gw mau nanya lu nge fans gk sama bang arap,netral
378,bang gw mau nanyak,netral
379,bang gw nonton nya mlm nggak cerah,netral
382,bang gw saranin lu hapus channel aj wkwkwq nyindir yaa,netral
384,bang gw soapers sampai tulang,netral
385,bang gw udah klik subcribe abis itu gw klik lagi,netral
386,bang gw udah sub lu tapi lu suruh gw sub lagi terus gimana,netral
387,bang hapus dong chanel kamu bang,netral
388,bang hapus dong tato plzzz,netral
389,bang harus kamu kasih lagu kamu yg hipokrit bang l jir,netral
390,bang hate comment,netral
391,bang haters gue kok baik mungkin yang tahu cara bikin haters jd jahat,netral
392,bang haters kamu kok goblok semua apalagi yg byk duit byk haters mending hapus cenel tertawa,netral
393,bang i love youu,netral
394,bang iklan goha dtk skip,netral
395,bang iklan kamu ada yg aku skiip,netral
396,bang inget arjun sanjaya,netral
397,bang intro pake wik wik wiknitin gitun bayak dong views abang icko makin masuk trending,netral
398,bang isis bukan teroris jangan salah paham,netral
399,bang itu orang ngechat hate karena mereka ngak punya modal buat bikin video jadi mereka ngatain,netral
400,bang jadi hatters kamu kbanyakan nonton kgak pke mkir ujung nya kamu buat konten jga nonton,netral
401,bang jadi islam,netral
404,bang jadi sasuke lagi laah rambut udah panjang tu,netral
405,bang janagn laden haters terus aja karya,netral
406,bang jangan banyak toxic kena azab di sinetron mnctv,netral
407,bang jangan dengerin haters,netral
408,bang jangan lama lama upload youtube rewindnya,netral
409,bang jangan nang bang,netral
410,bang jangan ngomong jorok aku jadi jijik,netral
411,bang jangan terlalu toxic bang banyak anak kecil yang nonton kalo hatdehhh,netral
412,bang jngan toxic bukankah kamu dh janji buat toxic,netral
413,bang jt live coli wkkw,netral
414,bang jt sub lu co pake balsem geliga dong,netral
415,bang jt subscriber grebek rumah johnny sins biar rame gitu sensasi,netral
416,bang jt subscriber minum p ju,netral
417,bang juta subcriber give way lonte hehe,netral
418,bang kak audy knpa jarang bikin vidio bang,netral
419,bang kakak kelas aku,netral
420,bang kalau dah jt donasiin,netral
421,bang kalau haters balas gin kamu bngsd gua tampol kamu,netral
422,bang kalau kamu makan kadal hidup aku subscribe,netral
423,bang kalau nnton semua video kamu skip iklan tidak subscribe masuk fans haters,netral
424,bang kalau saranin tulis mulai video,netral
425,bang kalau sering bikin video yg nyangkut haters dong bang wkwk,netral
427,bang kalo boleh tau cita cita lu itu apa yak,netral
428,bang kalo mau jt bikin challenge kayak orang lain jess no limit juga botak,netral
432,bang kamu bikin collab sama kim hime viewrs nya banyak,netral
433,bang kamu bikin dong vlog gaming free fire biar pesona gitu wkwkaters,netral
434,bang kamu coli pake tangan kiri,netral
435,bang kamu dekil bener jadi ane klik subscribe x semangat ngegasnya,netral
436,bang kamu diss pliss kasih balas buat orang gila ini link nya,netral
437,bang kamu jadi motivasi,netral
439,bang kamu kok edit kamu gila rando bang wkwkwk,netral
440,bang kamu kok goblog,netral
441,bang kamu kok iklan,netral
443,bang kamu kok toxic nya cuman yutup,netral
444,bang kamu papa apa tamper pas gbk,netral
445,bang kamu pinter asli,netral
446,bang kamu sekali bikin video yg faedah bang biar subscriber kamu banyak dannnn kamu jomblo,netral
447,bang kamu subsback w,netral
448,bang kamu terus si joji,netral
449,bang kamu tidak pacar sama kim hime aja haha,netral
450,bang kan mereka suruh un sub kalo sub abang kayak mana abang makan teman abang makan yg bilang pikir kali bos,netral
451,bang kangen opening dora bang,netral
452,bang kapan botak,netral
453,bang kapan challenge makan jemb t,netral
454,bang kapan kapan vlog mars,netral
455,bang kapan ke bandung,netral
456,bang kapan kentot sama kimmy him him,netral
457,bang kapan kolab ama nyokap,netral
458,bang kapan maen pb lg bang,netral
459,bang kapan main pb nya bang,netral
460,bang kapan mau di botak nyaaa,netral
461,bang kapan nih live streaming udah pingin liat live nya lagi,netral
462,bang kapan nikah,netral
463,bang kapan verified,netral
464,bang kasih tau bocor youtube rewind dong bang,netral
465,bang kata mau botak kalau jt subscribe,netral
466,bang kata renti toxic masih ngomong kotor,netral
467,bang kayak nya subs lu heters dan,netral
468,bang ke jimat tahun ya,netral
469,bang keep it up orang cuma ngeliat sisi buruk doang sebner nya tidak tau baik kamu,netral
470,bang kembang cenel nya bang,netral
471,bang kenapa sering upload,netral
472,bang klo mau jadi haters lu daftar berapa duit,netral
473,bang knp youtuber ngomong jangan lupa subribe kalau lupa napa,netral
474,bang ko lu ganteng v,netral
475,bang ko muka lu kae kntlonk erikontoruu,netral
476,bang kok chandra liow nggk ad di youtube rewind,netral
477,bang kok di youtube rewind gak ada skinny,netral
478,bang kok gak ada cewek gak asik,netral
479,bang kok gk ad ody gk asikk hard pray hard lim dong,netral
480,bang kok gk ada iklan bang,netral
481,bang kok hati kamu kuat sih aku kalau dikatain rasa putus hati aku,netral
482,bang kok iklan kondom,netral
483,bang kok lidah nya panjang amat,netral
484,bang kok lu rad amat yak,netral
485,bang kok subcriber lo goblok ya,netral
486,bang kok youtube rewind nggak ajak qorygore bang,netral
487,bang kolab lagi bang sama pacar lu maen teken,netral
489,bang ktanya jt subscribe,netral
490,bang rangin toxic kamu supaya subscribe nya naik,netral
492,bang laurentius rando ada di youtube rewind,netral
493,bang lebih milih jess no limit dleyn pross lebih jago siapa mohon jawab,netral
494,bang lianteey mana,netral
495,bang liat tetek kak kim hime please,netral
496,bang like baaaaaaaaaang,netral
497,bang like komen aku napa,netral
498,bang lo ubah dong soal banyak anak kecil yg nonton,netral
499,bang lo ganteng parah sbb itu kak ody mau lo owhh iya package cm pasti horny itu cewe lagi gw udah subs kak ody ama erickolim,netral
500,bang lo kg punya kursi gaming,netral
501,bang lo orang palembang ya,netral
502,bang lo terus si joji,netral
503,bang love bang,netral
504,bang lu coli hari berapa kali,netral
505,bang lu gans bed,netral
506,bang lu ganteng,netral
507,bang lu itu ganteng banget kek joni gua ada yg sensor emang gausah dipikirin omong si botak bikin gak seru aja coeg,netral
508,bang lu kok toxic nya cuman di yutup,netral
509,bang lu lucu v,netral
510,bang lu ngefans youtuber luar siapa bang maka fans lu juga bakal jdi kyak lu,netral
511,bang lu ngikutin gaya filthyfrank ya,netral
512,bang lu siapa kok gw gak kenal anyingggg,netral
513,bang maap ni ya tapi kan ada bagus abang ngasih yg ngk faedah terus kayak gin indonesia kapan maju kalau terus terus kayak gin bang abg bilang cakap kotor lah kan ngk bagus ank bawah umur nonton lu nanti ngikut bang bukan maksud ala ya saya cuma bilangin kalau terus san kayak gin indonesia kapan maju yg nonton jgn ngikutin hal yg ngk faedah ya,netral
514,bang mabar ml ama kim hime,netral
515,bang mabar yo pubg,netral
516,bang main ff,netral
517,bang main fortnite bang biar kaya ra your e,netral
518,bang main getting over it dong,netral
519,bang main pb bang,netral
520,bang main point blank lagi,netral
521,bang main pubg mobile lagi,netral
522,bang maju terus yaa kadang content lo aga jiji sih bnr omong lo kalo tiap orang punya otak sama fikiran us,netral
523,bang makan kondom dong,netral
524,bang makin lama kamu makin gila,netral
525,bang mana intro,netral
526,bang mana tembak awkarin janji k subs,netral
527,bang mantan luh berapa,netral
528,bang masak masak lagi dong,netral
529,bang masukin komenan gua you tube kamu wkwkwk,netral
530,bang matiin ads cent kamu,netral
531,bang mending lu sispackin tuh badan pasti lebih ganteng gw yakin deh,netral
532,bang minta duit,netral
533,bang minta psn id nya,netral
534,bang mpl surabaya datang nggak,netral
535,bang muka eluuu hasil poto kopi dari uya kuya kan soal mirip hhh,netral
536,bang muka kamu ganteng gua ajak ketemu kicep haters jaman sekarang lemah,netral
537,bang muka lu ganteng,netral
538,bang mukalu kok biasa aja dari dulu pas gua liat lu masih main pb sampe skrng masih gitu baee tamnah kaya kntl,netral
539,bang mukbang bulu ketek dong bang wkwkwk,netral
540,bang napa upload lgi we kangen,netral
541,bang nge react meme dong di kirim soapers,netral
542,bang ngentod ama gua,netral
545,bang ngomong kntl jam,netral
546,bang ngomong ngomong yt riwand kapan keluar,netral
547,bang nikah aja sama kim himi,netral
548,bang nonton kocak parah,netral
549,bang ome tv lg bng yg tuju like njing,netral
550,bang omong jorok nya rangin,netral
551,bang open meet and greet di alun alun kota serang donk,netral
552,bang otongmu panjang berapa cm,netral
554,bang permisi,netral
557,bang please bantu channel saya,netral
558,bang plis jangan kau grepe si ody,netral
559,bang ps bgt gw lagi bahas globalisasi,netral
560,bang pubg kamu pro,netral
561,bang qory masuk yt rewind,netral
562,bang qorygore dewa non human,netral
563,bang rando gak ikut yutub riwen bang,netral
564,bang rando lu ajak ytrewind kaga,netral
565,bang review vidio mli,netral
566,bang rewind kok ada gazell,netral
568,bang rick kamu teriak ngomong kotor kedengeran ama yg ruang belah,netral
570,bang rik,netral
571,bang rik sama victory xd dong video,netral
572,bang riko ngapain pikir heatres yg penting abng udah jadi youtuber buat kerja tetap makin banyak yg bulu makin naik karir abng,netral
573,bang roy kioshi sm bando mana,netral
574,bang sabar,netral
575,bang sabar aku dukung lho,netral
576,bang sabar bang sabar v sakit sakit dahulu senang senang kemudian,netral
577,bang sabun gw habis tolong,netral
578,bang saran aku kalau mau toxic sensor aja bang banyak subscriber kamu yg kecil kecil,netral
580,bang saran gw mending lu bikin buah brand bang jamin banyak yg beli dah,netral
581,bang sebenrnya gw gamau komen tapi gw mau lu kaya jadi gw mau komen hate,netral
582,bang sebrapa greget kamu sama arap,netral
583,bang sekali kali ajak haters lo libur,netral
584,bang selalu semangat buat video gua dukung lohh kok bangg kemudian,netral
585,bang semangat bang biarin aja heters ajg itu lo ngejek dia dia makin kaya ajg like soapers,netral
586,bang semangat bikin pideo ya,netral
587,bang semangat buat youtube rewind semangataturanmahhlusirikamabanggerickolimm makanyakerjadherr,netral
588,bang semangat yg penting he,netral
589,bang minggu gk toxic cobak bang,netral
590,bang sensor yg jorok nya donkkkkk,netral
591,bang senyum kamu manis,netral
592,bang telah yg rewaind selesai kasih gue ipad bang buat main pubgm,netral
593,bang skin ml bang,netral
595,bang subscribers,netral
596,bang sumpah gua tertawa bat anjis liat video luu wkwkwk terus berkaryaa bngg wkwkwkek guaa dah subscribe kamu pas mas k,netral
598,bang tdi gw nonton youtube sama keluarga gw ketik di youtube channel keluarga eh yg muncul channel lu hadeeeh v,netral
599,bang terus karya jangan pernah denger omong haters moga sukses selalu bangrang belakang kamera seger,netral
600,bang terus pake intro erickonolimitpros kocak,netral
601,bang tetap semangat dalam mebuat video bang dan tetap dalam prinsip loh yang apa ada bang salam wtf dari gbelinya,netral
603,bang tidak kasar,netral
604,bang tindik mulut lo knapa ga di pasang,netral
605,bang tobat yuk,netral
606,bang toblatlah indonesia tanpa coli,netral
607,bang tonti kamu mana gua mau liat,netral
609,bang toypotography,netral
610,bang unbox iron man mark bang,netral
611,bang yakult nya donk,netral
612,bang yg nghate lu,netral
613,bang yg sabar rejeki tuhan yg ngasih,netral
614,bang yg sabar ya gw tetep suport lo kok wkwkwkwk lu gua putus v,netral
615,bang youtube rewind kapan bang jadi nya,netral
616,bangat kau,netral
617,bangg haters goblok gitu jangan dipeduliin aku video nya bang erick niat hibur semangat bang buat bikin video toxic nya buat para subscriberau enggk,netral
618,bangg mohon bca,netral
619,bangg youtube rewind gaming sekali dahh,netral
620,bangga jika loe kena komen hatters,netral
621,bangggg woiiiii eluu emanggg berfaeedaaahhh baggiii moodddd guaaaaaa buat konten lagi yg ga faedah bang dari pada yang lain lain,netral
622,bangke iklan hago x vidio kamu aku skip u bngst good luck erick,netral
623,bangke kamu,netral
624,bangke kamu rick anj woy ngeteh sruputtt ah seger bau me k,netral
626,bangke rik gw pake headset,netral
