,text,sentiment
66,ada woy haters yang beri uang kepada milik channel nya dengan dibikinin konten kan lumayan itu nama haters yang baik broo u,positif
67,ada yang bikin ericko lim ngomong onichan menit nih wkwk v,netral
68,ada yang bisa download vidio di youjizz bz ga kalo ada komen,netral
69,ada yang ngiri viewer yotobe nya turun,netral
70,ada yang nunggu yt rewind ga v,netral
71,ada yg nyuruh kamu nonton ajg kalau emang didik gausah nonton dasar haters gblk erick obat buat ngilangin stres tertawa liat muka konyol si erick,netral
72,ada yg tau backsound ericko judul apa,netral
73,ada yg tau kabar lord randog,netral
74,adaa iklannn menit gua skip demi kamu,netral
75,ada disubscribe rik,netral
76,adik gwe baru lahir kemarin langsung gwe tontonin vidio lu bang,netral
77,aditya chandra serah dah yg penting aku udah nyampein sen aku,netral
78,aditya hercules gak usah nge gas,netral
79,adolf hitler ma lord v,netral
80,adolf hitler my fuhrer,netral
81,adsense adsense adsense bodoamat video gak kualitas yang penting adsenseeeeeeee,netral
82,adsense for life,netral
83,adsense naikk,netral
84,adsense ny bnyak nih haha,netral
85,adsense yang sangat mantap,positif
86,adug tertawa asli dah emnk padahal sini cuma butuh hiburrannya doank hatters mah biasa biar kenal aja lewat channel,netral
87,aduh lu buat micin tlol ga mikir banyak bocah yg nonton tolol gin dah lu batesin usia di chennel lu biar bocah ga pd pengaruh,negatif
88,aduh tepok jidat gua,netral
89,aduh udah tertawa dluan anjg sama intro nya jess awpokwaeopkawepokawepokwapok,netral
90,aduhh gvlx gvlxxx,netral
91,aduuh gua telat ngesubscribe nihh mas subscribe tidak ni,netral
92,aduuuhhh ngakak parah gw,netral
93,ady putra ribut lo asu,netral
94,afriz studios kontrol bukan kontol,negatif
95,age restricted lah goblok,netral
96,ah aku ngehate ah biar masuk youtube,netral
97,ah bangsat lo anjing hahaha ngakak ada iklan qory gore lagih hahahahaha gue suka gaya lo,negatif
98,ah banyak iklan kontol,negatif
99,ah dasar kontol kontol kontol kontol sama kamu semua ngentot ngentot ngentot sama kamu semua,negatif
100,ah dasar makan jembut uya kuya atta halilintar dua,netral
101,ah gila memek ngilu wkwkwk,netral
102,ah goblok lu bangsat cuman tau toxic aja bodoh coba tobat kah,negatif
103,ah kontol dasar anak lonte,negatif
104,ah kontol gabakal masuk surga kamu ajg bgst,negatif
105,ah lu ganteng bgt rick,netral
106,ah monyet ericko lim ajg muka produk lokal pesawat roket bencong toket muka luh kntlll jelek,negatif
107,ah ngentod lu rik,netral
108,ah pernah makan upil bom cok,netral
109,ahaaa tapi bo ong v,netral
110,ahaha haters maha benarrrr erickolim auto kayaaang gw yakin deh,netral
111,ahahaha bang aku nungguin konten anjing nya bukan game nya salam soapers,negatif
112,ahahahah haters kamu nonton video ericko lim siapa lebih untung wahahah makin banyak haters makin banyak viewers iya,netral
113,ahahahaha memek ngilu ngakak,netral
114,ahahahahha ahahahahha ahahahahahahahhahaahhahahahahahahahahahahhaahhahahahahhahahaahhahaahahhaahhaahhaahahahahhahahahahahahahahhawhahahahhah ahahahahahahhaahhahahahahahahahahhahahahahahahahahahahahahahahahahahahahaha ahahahahahahahhahahahahhahahahahahahahahahahahahahhahahahahahahahahhahahahhhahahhahahahaahahahahhahahhahahahahahahahahahahaahahahahahahhaahhahahahahahahahahahahahahhahahahahahahahahahahhahahhahahahahhahahhahahhhahahahahahahahahhahahahahahahhhahahahahahahahahahahahahahahahahahahahahahahahahahahahhahahahahhahahahahahahahahhahahahahahahahahahahahahahahahahahahahhahahahahahhahahahaahahahhaahhaahhahahhahaahhhahahahahahahahhahhahahahahahahahahahahahahahahahahhahahahahhahahahhhahahahahahahahahahahahhahahhahahahhahahahahahahahahahahahahaahha,netral
115,ahahhaha ke triger si anjing wwkwk,negatif
116,ahh channelnya gk family friendly lagi udh ada sensor,netral
117,ahh ga jadi disslike pertama lahh,netral
118,ahh gue hate elu deh biar elu lebih semangat iklan clubwk,netral
119,ahh jancuk mana lope lope nya kontol ini,negatif
120,ahh kontol haters tiap ericko ngeupload lu nonton juga kan anjeng,negatif
121,ahh ku suka intro nya,positif
122,ahhahahaah,netral
123,ahhh haters kontol,negatif
124,ahhhh baumemek,netral
125,ahhhhhh ahhhh aku ngecrot bang ngeliat kamu melet tanggung jawab,netral
126,ahkirnya intro erickonolimitpros usa di lihat,netral
127,ahkirnya intro nya,netral
128,ahmad hambali kontol,negatif
129,ahmad nuh bocah dikatain lgsung bisa bales wkakakkaka,netral
130,ai pus asil duit wkwkwkwkw,netral
131,aihh sedih amat tukang numpang promosi v tolol bego g guna bangsat,negatif
132,aink zeeber mhank pantad ainx di lapisin baja ea anti triggred,netral
133,aja kamu bang nyimpen intro intro lama,netral
134,ajajajajaj di katain kontol,negatif
135,ajak berantemmangat coli,netral
136,ajak ketemu arap dong lim injek injek pala nya abis jadiin konten haha makin kaya kamu,netral
137,ajakin ai tompel rik kan bacot nya warbyasah,netral
138,ajar lu juga kok rik,netral
139,ajarin cara bait and jelasin aja xd bair orang orang tidak makan bait,netral
140,ajarin toxic rick,netral
141,ajg fans yg tunda apa ajg najis,netral
142,ajg gaje kontol,negatif
143,ajg gua koment apa aswww,netral
144,ajg gua tertawa awal receh guaaaaa astaga,netral
145,ajg gwe dah lama liat erick teriak teriak kaya detik anjir aowkwowkw,netral
146,ajg kata kalau jt subscribe lu ken botak ajg boong mulu lu kontol,negatif
147,ajg kocak sumpah erik v,netral
148,ajg ngakakak erikolim,netral
149,ajg opening eno benningg,netral
150,ajg tertawa,netral
151,ajg tu kepala besar banyak peju diotaq,netral
152,ajg v,netral
153,ajglah bcksoundnya doang yg kenceng suara kamu kedengeran,netral
154,ajglah bcksoundnya doang yg kenceng suara lu gk kedengeran,netral
155,akal sehat awak udah hilang kahh,positif
156,akew kece iy,netral
157,akhir anj bikin video macem gin lgi yg kmrn boring kntl,netral
158,akhir erickolim no limit pros,netral
159,akhir intro ericko no limit pros dipake,netral
160,akhir keluar itu intro,netral
161,akhir kenal kaya bowo,netral
162,akhir nya farrah nya ni vidio cuma dikit,netral
163,akhir pideo dapat manjadi sad erickolim curhat cuk,netral
164,akhir taun jt kok malah mentok di jt v,netral
165,akhir vidio nya faedah,netral
166,akhirny,netral
167,akhir ericko lim buat q a juga v,netral
168,akhir gua bisa dislike ke di channel ini ya tapi bener juga sih tapi tapi,netral
169,akhir intro ericko no limit pros ada lagiam hati,netral
170,akhir intro erickontol no limit pros is backkkkk,negatif
171,akhir intro ini yg gue tunggu,netral
172,akhir intro itu balik juga,netral
173,akhir intro legend di kembali,netral
174,akhir intro legend keluar,netral
175,akhir intro legend v,netral
176,akhir intro legendnya erickolim balik lagi vu ngak lengkap jadi manusia v,netral
177,akhir intro legends nya ada lagig lu gerebek rumah pamela,netral
178,akhir intro legendz,netral
179,akhir intro yang di tunggu tunggu,netral
180,akhir intro ada lagi,netral
181,akhir intro balik lagi haha,netral
182,akhir intro muncul juga,netral
183,akhir intro v,netral
184,akhir komen gw masuk youtube erickolim aja hahahaha,netral
185,akhir lo toxic lagi sekian lama gua tungggu yesssssss,netral
186,akhir opening ini xd,netral
187,akhir opening jess is back,netral
188,akhir opening legend hadir lagi,netral
189,akhir opening yang lupa come back,netral
190,akhir opening yg sangat gw tunggu,netral
191,akhir pake intro ini lagi v,netral
192,akhir pake intro lama lagi,netral
193,akhir pake intro legend lagi ea,netral
194,akhir pke intro itu lagi,netral
195,akhir rindu ku balas,netral
196,akhir telah sekian lama intro gw tonton sampai habis ya tolol terus kok tombol gw abu yak gak ad tombol merah,negatif
197,akmj,netral
198,akoskwkaowkwlwoa haters sumber duit,netral
199,aku aja subscribe pertama kali di gift sultan macam apa niih,netral
200,aku akan terus doa agar tikai ini ada sesi baku hantam dan saling lempar benda tajam senang sekali bukan,negatif
201,aku always support kamu bang,netral
202,aku bangga sama kamu bang,netral
203,aku bela ericko lim mantap kali,positif
204,aku benci,negatif
205,aku benci elu aku skip iklan kamu mampuss kamu rick,negatif
206,aku benci ericko lim,negatif
207,aku benci kamu emang knp kymakkk,negatif
208,aku benci kamu ini video nya lucu anjong hahaha,negatif
209,aku benci kamu udah cukup haters,negatif
210,aku bocah aku suka erickolim knp dia buat bahagia ambil positif aja,positif
211,aku bocah bang,netral
212,aku boleh ga jadi haters,netral
213,aku bukan haters aku cuma suka konten toxic ginian,positif
214,aku channel bikin mood coli aku gairah,netral
215,aku cinta chanel erickolim,positif
216,aku cinta channel erickolim kalo channel lain pamer kaya,positif
217,aku cinta ericko lim,positif
218,aku cuma ketawa njir nice buat erickolim,netral
219,aku cuma mo ngomong,netral
220,aku cuman kasih tau kak rik,netral
221,aku cuman nonton kamu bukan subscribe and like kamu kntl,netral
222,aku dari malaysia bang rick aku saport kamu bang haters kagak paham cenel loo bang,netral
223,aku dislike ah,netral
224,aku dlu benci kamu skrg aku tobat krna kamu udah wakil indonesia asi games,negatif
225,aku doain moga kamu dapet jt subscribe minggu kemudian turun amin,netral
226,aku dukung bang,netral
227,aku dukung bang cenel youtube kamu yarin apa kta haters jangan kamu dengerin bang jangan patah semangat terus bkin conten youtube aku suka cenel youtube kamu bang kamu orng nya lucu boyot gtu wkwk inti semangat bang erick lim,positif
228,aku dukung bang erick,netral
229,aku dukung channel kamu rik,netral
230,aku dukung erick,netral
231,aku dukung erick aku bocah tahun ngebuly erick ngaca dulu,netral
232,aku dukung ericko liem tiap org beda beda selalu sama bila org yg suka ericko mending jangan bacot hargain persepsi orang,negatif
233,aku dukung erik,netral
234,aku dukung gitu bang tetap gaya luh gitu tetap omong luh bang aku suka gaya luh aku suka gaya omong luh manfaat bisa jadi wawas,positif
235,aku dukung kamu bang erik semangat bang kalau jangan banyak toxic bocah bocah niru toxic kamu bang,netral
236,aku dukung kamu bang sat,netral
237,aku dukung kamu bg,netral
238,aku dukung kamu erikkontolim,negatif
239,aku dukung kamu kok bang sans ajh ngadepin haters stres mereka,netral
240,aku dukung kamu kok rick kamu punya cara yg cukup unik aku ekspres mantab d,netral
241,aku dukung kamu rick,netral
242,aku dukung kamu rick walaupun banyak haters aku dukung,netral
243,aku dukung kamu rik aku suka konten konten kamu rik,positif
244,aku dukung kamu rik haters emang gitu haters tolol goblok alas benci kamu karena tahu kamu orang sok keren sok dan kamu lucu mendidick,negatif
245,aku dukung kamu terus bang,netral
246,aku dukung kok,netral
247,aku dulung kamu ric walaupun kamu geser dikit kamu buat ketawa gua sedih,negatif
248,aku fans berat eriko lim arap mah kw,netral
249,aku fans dead pool,netral
250,aku fans eriko lim ka cba bikin vidio yg banyak biar gua liat vdeo kk,netral
251,aku fans kamu bangsat maju terus,negatif
252,aku fans kamu kalau kamu mau ngentod live streaming canda,netral
253,aku gak suka bacot bacot aja,negatif
254,aku gapeduli benci kok bikin lagu,negatif
255,aku harap ericko lim toxic,netral
256,aku haters aku haters bang,netral
257,aku haters baik,positif
258,aku haters baik tottttt,negatif
259,aku haters kamu bang at ide vidio baru epick,netral
260,aku haters lebih sampah lho cuman comentar tidak karya,netral
261,aku haters skrg kaga wkwkkwk,netral
262,aku hatters eric,netral
263,aku hatters kamu dasar ericko lim bulu malu dasar malu laki anak musuh kucing malu wanita,netral
264,aku hatters yg komen terus tiap video kok bacain di video,netral
265,aku heartes bukan haters,netral
266,aku heran di youtube di facebook neng ngomong memek kontol temen fb aku skarang masuk cewek udah ngebadword pake kata kontol memek,negatif
267,aku heran fans erik colim liat betah liat video muka macam biji karat,netral
268,aku heran ni sapa haters klau kalian ngak suka sama konten nya eric ngapain kalian buka ngak punya otak para haters kerja nya tau bacot terus emang nya ngak kerja sih ngebacot terus memang haters orang indonesia banyak tolol klau kalian iri ngmong lah jangan tau bacot aja anak kecil ngak tau diri udah dewasa mas aja bacot aja kaya anak kecil,netral
269,aku hetters sekaligus fans,netral
270,aku hibur pas di atas ngomong kontol jembut bangsat yang lain aku jyjyk ea padahal aku sering ngomong gtu apa arti aku anak kontol,negatif
271,aku ikut ngehate ah masuk you tube,netral
272,aku islam slma aku g trsinggung bg erick banyak yg bilang ericko lim g pantes ngomong gitu kamu g pantes idup jls cara ngomongnya bg erick gitu gestur ny dasar fans tunda,netral
273,aku jadi sakid abis nonton video,netral
274,aku jdi ikut sedih rick tanggung jawab,negatif
275,aku jijik tapi aku ngakak tiap nengok video nya ku subscribe jd aku gk tau jadi haterss atau fans tp tiap aku nonton selalu ada tantang gitu toxic gilaa jd was pas dengar sama boskus,netral
276,aku jonton channel selaku ketawa wkwkwkwk aku sangat hibur ads negatif nya dikit,netral
277,aku kalau banyak orng yg bilang konten guna ini ya itu mikir erik sudah bilang jangan tonton aja gampang,netral
278,aku kalau bilang kontol memek depan guru malah suruh bilang,negatif
279,aku kamu jangan hirau hatersnya kamu mending kamu ttp karya biar banyak subscribe,netral
280,aku kangen filty rick,netral
281,aku kangen intro erick yg dulu akhir pake good lah,netral
282,aku ken jadi soaper bang aku ken jadi soapers,netral
283,aku ken jadi soapers bang aku ken jadi soapers bang,netral
284,aku kmarin ngestalk hlaman fb kamu rick aku ktemu caption kamu yg lgi curhat ntuh aku dpat motivasi kontol thanks erick kontol limun aku fans kamu sejak video kamu video yg didik aku prcaya stiap prbuatan ada hikmah lah kontol haters ericko itu seperti kontol kadal zimbabwe baca rick komen aku aku doain jt subscribe taun depan taun jga gapapa kalau brhasil jt subscribe cukur jembut livestream,negatif
285,aku ko ada hatres,netral
286,aku kok kalo liat ini ketawa feet nang terus tolol mu bang banrikonto,negatif
287,aku komen pertama,netral
288,aku kwkw m cakep suer guelaporin aja biar mampus,netral
289,aku lebih suka erikolim orang munafik ky mr o,positif
290,aku lebih suka kamu yg dulu kamu yg youtuber gaming,positif
291,aku liat aku unsubs dah cenel kamu kentod,netral
292,aku liat idung kamu gede ancur,netral
293,aku liat nya lucu hate kamu nonton komentar video kamu,netral
294,aku liat sama ortu w ortu w pernah marah su l sini kamu bocah yg bilang kalau ortu dimarahin,negatif
295,aku like njink,netral
296,aku lumayan suka sama bang ericko dia agama sama aku sebenernya bang ericko orang baik cuma tampil layar aja gitu,positif
297,aku mah gabakal mau unsub channe kalau suka ngapain tonton bangsat,netral
298,aku mah liat aj suka suka penting liat aj kalau suka ush comennt langsung liat biasa aj serah punya channel mau ngapain emang situ gedein chanellnya liat proses bro jangan hasil fuck the haters,positif
299,aku mah subscribe kamu cuma buat nonton video kamu doang,netral
300,aku mah suka sama chenel lucu,positif
301,aku mah suport aja ama kamu bang kamu motivasi buat aku,netral
302,aku makan indomie terus eh pas kamu nunjukin kesexsian kamu indomie yg aku makan keluar semua anjing,negatif
303,aku malah anggep sama temen aku adeknya ericko bgst,netral
304,aku manggil kamu erickkontol,negatif
305,aku mau jadi haters ah biar komen gw msk ytil,netral
306,aku mau jadi heaters ah aku jadi heatersnya heaters kamu,netral
307,aku mau komentar nge hate,netral
308,aku mau tau pokok kamu colab sama bg qory,netral
309,aku muslim aku suka erick bagaimana,positif
310,aku ngakakakak ulang,netral
311,aku nge fans sama kamu fuck bangsat kamu anjing aku udah subribre kamu kamu sama anjing,negatif
312,aku nge subscribe kali anjing,negatif
313,aku ngedukung walaupun ngomongnya anjing bangsat kontol memek ngentot fuck shit,negatif
314,aku ngefans ama kamu anjing aku mau lihat video kamu tatto makna tatto kamu salam shoapers,negatif
315,aku ngikutin kamu lama konten konten kamu hilang stres aku tysm,netral
316,aku ngkak nonton gnian wkwkwk,netral
317,aku nguquq njir,netral
318,aku nntn iklan hampir menit kaga gua skip,netral
319,aku nnton smbil makan wktu hampir muncrat nasi urik,netral
320,aku nonton fak,netral
321,aku nonton kok iklan bola,netral
322,aku nonton nya,netral
323,aku nonton penasaran taikkk wkwkw,netral
324,aku nonton video kamu gua skip iklan anjing,negatif
325,aku nonton video nonton komenya,netral
326,aku nonton yotub kamu lucu aja gitu,netral
327,aku nontonin ericko aku ken tau tipe tipe manusia aneh cipta tuhan walaupun liat salah mata aku yaaa manusia punya pilih hidup masing masuk haters kalau tuhan ciptain manusia se tipe hape pc alat kamu gunain sama speknya kalau semua sama asek kali sungai got garing idup tjoy wasalal lah,netral
328,aku nyariin tombol subscriber nemu wkwk,netral
329,aku paling benci ni chanel,negatif
330,aku paling suka kaya gin,positif
331,aku paling suka liat orang yg suka ngemis like anjingg yg tuju sama koment aku like bangsat,negatif
332,aku ken komen hate biar dibacain dijadiin part sama erik,netral
333,aku percaya kamu adalah salah satu contoh internet personality,netral
334,aku pikir subscribers kamu bilang gitu cuman komen kalau ketemu langsung minta poto,netral
335,aku pribadi masalah mau se toxic apa elu aku fine fine aja mau elu bikin konten upnormal,netral
336,aku pribadi tidak masalah aku punya otak baik jadi aku pilih mana baik buat aku mana buruk diri aku,netral
337,aku punya kapten bilang gua punya sayap mirip malaikat sekarang sudah pergi hidup moga kapten sana bahagia hidup baru i love capt,positif
338,aku pura pura ngehate yak erikontol kamu bacot memek kamu udah perjaka,negatif
339,aku salut sama kamu erick aku ambil postifnya kamu yg aku contoh walaupun kamu banyak haters kamu tak henti karya ericko lim,netral
340,aku selalu setia like vidio luh bang meski aku tau kontent luh kurang faedah aku tau luh butuh duit bang makan luh aku fakir like sama subscribe,netral
341,aku selalu untuk bang,netral
342,aku semenjak nonton erickontoru jujur hidup aku ubah parah aku jd toxic karuan temen sekolah aku kadang aku iseng teriak jalan temen aku tetep fun fun aja sama gua memang omong hitam percaya buat ku suci,netral
343,aku senang nonton pideo kamu aku anggap kamu sakit bg akakakakakakaka jdi kamu ngomong bner aku malah ketawa akakak,netral
344,aku sering nonton video kamu aku kaga subscribe nonton pas video lewat branda aku vvvv,netral
345,aku skip iklan biar kamu jadi kaya kasi aku sama kamu,netral
346,aku soapers rick santai yg suka ush nonton ajg,positif
347,aku soapking jateng,netral
348,aku soapperzzzz,netral
349,aku sopport kamu bang sukses selalu,netral
350,aku subscribe buat ngebully kamu rik hehehe gpp like,netral
351,aku subscribe chanel kamu x bang,netral
352,aku subscribe dia di garena anjing,negatif
353,aku subscribe kamu kamu kocak sayang bahasa kasar kamu takut nya bikin anak orok salah cerna,netral
354,aku subscribe kamu kamu sikap kaya orgil bang wkwkw,netral
355,aku subscribe kamu subscriber kamu tapi sampe sekarang aku pernah like ericko lim,netral
356,aku subscribe kamu video kamu yang bikin aku ketawa,netral
357,aku subscribe permanen bang channel didik hehehe,netral
358,aku subscribe x bang akhir paidahnya jg ni chenel ujung video anjyaaayyy,netral
359,aku suka banget konyol nya gitu,positif
360,aku suka banget ni channel kreator kreatif hattets emg bego jelas channel keren,positif
361,aku suka bingung bang sama orang maksa kamu bikin content didik padahal tv udah banyak aku heran orang kya kamu kya youtube padahal yg didik tentu kya,positif
362,aku suka channel kamu bang kamu bikin aku hilang stress doank kerna channel kamu bagi aku hibur iya udah semua channel ada haters doank jdi sabar aja bang btw keep it up bang erick,positif
363,aku suka coli kamu mending aku coli pake apa,negatif
364,aku suka ericko lim lucu,positif
365,aku suka ericko roti jembut kratos jembutos,negatif
366,aku suka eriko kalau tonton tambah makin goblook n channel nya tolol,netral
367,aku suka gaya kamu absurb parah being normal is so bored,positif
368,aku suka gaya kamu anjing haha hibur bedd wkwkwkw kontol ahaha,negatif
369,aku suka gaya kamu anjink manusia jaman now usah peduliin benci kamu jink,netral
370,aku suka gaya kamu bang gua ngerti kamu seperti gitu cuman buat ngehibur doang,positif
371,aku suka gaya kamu rick,positif
372,aku suka gayalo baby awto subscribe,positif
373,aku suka gayalu cuk mntaplah,positif
374,aku suka intro kamu doang buat jam ntar aku nonton full,positif
375,aku suka jadi aku nonton,positif
376,aku suka kamu aku suka cara kamu nanggepin haters,positif
377,aku suka kamu bang kamu toxic aku suka kamu aneh emang hak kamu aku tau kamu orang nya asik lanjut ya bang,positif
378,aku suka kamu erick kontol,netral
379,aku suka kamu ericko lim kk komen aku masuk hate comment ini uda pake capslock bangsat tertawa anjing,negatif
380,aku suka kamu jadi baik,positif
381,aku suka kamu toxic bang,positif
382,aku suka kata kata akhir maera emng gin aku denger kopex kamu baik bet orang nya,positif
383,aku suka kau,positif
384,aku suka konten kamu kok,positif
385,aku suka kontes kamu gara lucu rik santai aja yg haters pd bocah ngentod smua,negatif
386,aku suka ni channel konten gni,positif
387,aku suka sam si erick tertawa anjir,positif
388,aku suka sama konten kamu bang sangat hibur tetap semangat bikin konten bang,positif
389,aku suka sama ngemis like,positif
390,aku suka suka aja sama channel meski toxic hibur aku haters bilang channel guna goblok banget kimak,negatif
391,aku suka susu,positif
392,aku suka toxic kamu korick lanjut,positif
393,aku suka yang bedah,positif
394,aku sukaa sama gaya lo jadi diri sendiri aja rick jangan ngikutin omong orang stay soapers,positif
395,aku sukaaa sama konten luuuuu hibur mau kamu toxic laku yg unfaeda hibur bangt kamu tampil beda luar negeri banyak kok yg buat konten unfaeda kamu satu nya orng indo yg beda hahaha but i like that,positif
396,aku sukak sama kamu bang,positif
397,aku suport kamu bang kamu keren kamu ganteng kece parah semangat bang,positif
398,aku suport kamu terus bang kamu tu inspirasi hidup aku bang aku dlu subscribe kamu,netral
399,aku support kamu,netral
400,aku support kamu rick,netral
401,aku support kamu terus rik,netral
402,aku tantang kamu colab sama rando berani,netral
403,aku tanya kamu haters mau di ledekin ngatain kaya kontol nyadar bego,negatif
404,aku tau kamu kenal kamu usah ngeledek bikin lagu jelas semua manusia saudara bro,netral
405,aku tekan tombol subscribe kali bang,netral
406,aku telusur nyata dia komposisi coment video erick,netral
407,aku tertawa kontol wwkwkwkwkwkwk walaupun kamu tolol idiot aku suka banget sama kamu bikin aku tertawa anjing,negatif
408,aku tertawa nonton ericko lim walaupun toxic mantap dah rik,positif
409,aku tetep dukung kamu bang walaupun kamu kaya bangsat aku nonton video kamu no skip club stay soapers,negatif
410,aku tetep dukung kamu ther jangan dengerin omngan yg enakin mungkin begitu dia cuma tau video sifat kamu smbng petakilan bgtu dia gatau hari kamu hati kamu kaya gmna jadi no komen bang,netral
411,aku tetep soapers dong wkwkwkwkkw,netral
412,aku tetep suport kamu channel donasi donasi sombong ngakuin youtubers indonesia,netral
413,aku tetep tonton bang soal lawa garing wkwkwkwk,netral
414,aku toxic wkwk aku bisa toxic au paling cuman ama emak doang toxic wkwk,netral
415,aku ttp dukung u bang rik,netral
416,aku tuju ama kamu bang erico,netral
417,aku tuju kamu bg ericko lim,netral
418,aku tuju sama kamu bang,netral
419,aku udah unsub kamu kapan,netral
420,aku ulang ulang terus anjay,netral
421,aku vans,netral
422,aku viwerlu bang i love you,netral
423,aku yakin walaupun yang bilang channel tidak mutu didik dia tetap nonton,netral
424,akua ganteng,netral
425,akun fake asu,netral
426,akun w subscribe kamu smua kontol,negatif
427,akwkwk intro ngentod,netral
428,akwoakwoakaoakakk terbaikkk bangsattttt tertawa,netral
429,akwowkwow kolo ga suka ga usah di tonton anjinkkk v,negatif
430,alah hatters akmj kalian belum tau sifat asli erickolim padahal udh ada di channel nya si daylen bang erickolim toxic itu buat para subscriber alias buat konten adsens v gk percaya liat aja channel nya saints daylen,netral
431,alah kenapa harus haters,netral
432,alah kontol kamu botak rik,negatif
433,alahk jancok,netral
434,alas aku nonton ni channel cuman,netral
435,alas gue jdi soapers karna sering nonton nih si erickontol hehe,negatif
436,alay,netral
437,albar turnama tm gelud lah haters miskin babi,netral
438,aldyan fitrah pratama woy kontol suka lah babi kalau suka ericko lim pergi sana kamu ngentot bocah anjing kamu,negatif
439,alhamdulillah intro kembali wkwk,netral
440,alhasil yg ngebully lo t e r d y a m v,netral
441,allah dajjal,netral
442,alphiandi yak wkwkw,netral
443,always absen bg eric,netral
444,always sad,netral
445,always soapers,netral
446,alwi isra lu blm tau sejarah erick cuk,netral
447,alya toxic kamu ngentod,netral
448,alya toxic omong kasar,netral
449,aman antum kalo ga manfaat dan ga hibur jangan maksain jadi youtuber,netral
450,aman mhank,netral
451,ambil baik nya jgn gblknya netizen selalu benar,negatif
452,ambil hikmah aja goblok,netral
453,ambil hikmah stiap orang punya tuju isi vidionya orang trtentu yg ngerti,netral
454,ambil lucu aja,netral
