,text,sentiment,labeling
183,bang bikin konten lebih cepat dong tidak sabar mau nonton laku toxic abang goodjob buat fideonya,positif,tidak kasar
184,bang bikin konten point blank lgi donk,positif,tidak kasar
185,bang bikin lagu,positif,tidak kasar
186,bang bikin lagu lagi,positif,tidak kasar
187,bang bikin ome tv,positif,tidak kasar
188,bang bikin prank apa apa teriak wikk wikk ah ah ah tmoat umum wkwk,positif,tidak kasar
189,bang bikin prank bom,positif,tidak kasar
190,bang bikin rap paket hat komen tuju like,positif,tidak kasar
191,bang bikin review mobil lu dong bang,positif,tidak kasar
192,bang bikin tutorial main lee sin,positif,tidak kasar
193,bang bikin video challange hari toxic,positif,tidak kasar
194,bang bikin video yg ada iklan nya,positif,tidak kasar
195,bang bikin vidio tentang masa susah lu dong bang,positif,tidak kasar
196,bang bikin vlog konyol dong,positif,tidak kasar
197,bang bisa gk gak toxic hari,positif,tidak kasar
198,bang bisaa ubah sikapnyaa yah supaya chanel nya makin kembang,positif,tidak kasar
199,bang bkin lagu dari komen hatters donk wkwk gpp wlaupun toxic smuaa,positif,tidak kasar
200,bang bkinin yg part ii dong bang,positif,tidak kasar
201,bang bli subscribe v,positif,tidak kasar
202,bang botak dong payah kamu,positif,tidak kasar
203,bang botak pless,positif,tidak kasar
204,bang buat draw my life dong,positif,tidak kasar
205,bang buat haters part y plisa,positif,tidak kasar
206,bang buat internet personality,positif,tidak kasar
207,bang buat lagu coment haters bang biar adsens,positif,tidak kasar
208,bang buat lebel samping video kamu r bo remaja bimbing orang tua biar anak anak nonton biar lucu aja hahahaha,positif,tidak kasar
209,bang buat pink guy dong ngakek gua nonton video kamu dulu pas jadi pink guy,positif,tidak kasar
210,bang buat prank dong pliss tuju like,positif,tidak kasar
211,bang buat video hari sekali plisss,positif,tidak kasar
212,bang buat video main lol lagi dong,positif,tidak kasar
213,bang buat video prank hey tayo,positif,tidak kasar
214,bang buat vidio makan roti pakek sperma bang,positif,tidak kasar
215,bang buatin tutorial move on dong,positif,tidak kasar
216,bang bunuh arap dong wkwkwkwk tod,positif,tidak kasar
217,bang cahwiguna ikut ytr,positif,tidak kasar
218,bang channel lu yang dulu maap ya bang channel yang dulu di anggap remeh tapi sekarang selamat ya bang sekarang abang udah bisa jadi yutubers yang bisa buat yutube rewind selamat ya buat bang dylan pros bang michaelsow bang kapten liong walaupun gak ikut sih bang dan selamat juga buat abang,negatif,kasar
219,bang coba aku kasih tantang bulan tidak cakap kotor toxic,positif,tidak kasar
220,bang coba bikin chanell elo toxic,positif,tidak kasar
221,bang coba bikin konten islam konten eksperimen dengar al quran,positif,tidak kasar
222,bang coba cicipin peju sendiri aku penasaran sama rasa nya,positif,tidak kasar
223,bang coba coli,positif,tidak kasar
224,bang coba donk reaction kakek legend lagi mesum hahah yg tuju like okk,positif,tidak kasar
225,bang coba kamu bikin flog masuk greja,positif,tidak kasar
226,bang coba kamu potong rambut psti lebih cool kurang enak pandang gtu tapi bukan gmau nnton bang jing,negatif,kasar
227,bang coba lo jangan sombong jangan so ganteng pasti itu haters balik jadi fans lo,positif,tidak kasar
228,bang cobain main minecraft kocak plus tular toxic ny erick jadi begini,positif,tidak kasar
229,bang colab ama nyokap lu,positif,tidak kasar
230,bang colab sama anak zeus,positif,tidak kasar
231,bang colab sama corygore aku subscribe channel kamu kamu main franco saing skill hook sama wolf xotik,positif,tidak kasar
232,bang colab sama qorygore dong,positif,tidak kasar
233,bang coli,positif,tidak kasar
234,bang collab ma bang leokoce,positif,tidak kasar
235,bang collab sama arap bang,positif,tidak kasar
236,bang collab sama kim hime lagi la wkwkwkwkwk,positif,tidak kasar
237,bang collab sama rap bang ih,positif,tidak kasar
238,bang cover lagu thailand v,positif,tidak kasar
239,bang cover lagu wik wik wik wik wik ah ah ah ah ah ay saaahh dengan cewek bang tunggu video nya,negatif,kasar
240,bang dah hamilin berapa cwe kamu bang,positif,tidak kasar
241,bang dajjal mage tank,positif,tidak kasar
242,bang dateng dong ke pensi oktober tunggu krhadirannya,negatif,kasar
243,bang di botak bn,positif,tidak kasar
244,bang dicariin lucifer,positif,tidak kasar
245,bang diw gak usah nonton goblok,negatif,kasar
246,bang eric bikin konten sama pacar dong nya seru,positif,tidak kasar
247,bang eric dengan toxic dapet jt subscribe fans yg tunda,positif,tidak kasar
248,bang eric so good buat viewers nya naik biarin aja bang penting duit lancar ten upnormal,positif,tidak kasar
249,bang eric w nitip wa yak v,positif,tidak kasar
250,bang erick banyak ngomong saru,positif,tidak kasar
251,bang erick buat vdio tutor col bgst,positif,tidak kasar
252,bang erick collab ama bang qorry dong,positif,tidak kasar
253,bang erick iklan chanel kamu aplikasi goblok terus,negatif,kasar
254,bang erick jt subscribe potong rambut botak dong awkwk gua bikin yutub gua subscribe semua kamu bang kalian ketemu minta foto rumh kamu,positif,tidak kasar
255,bang erick ngelakuin semua konyol dia punya malu gais beda sama yaudah jadi nikmat aja mayan buat bahan colmek ceue ceue,positif,tidak kasar
256,bang ericko agama pa y aaa,positif,tidak kasar
257,bang ericko ak fans abang,positif,tidak kasar
258,bang ericko kalo boleh tau warnain rambut abis berapa duit aku mw warna abu gtu,positif,tidak kasar
259,bang ericko lim biar hatersmu tetap rim berkah bang wkwkw mantab ngakak gue liat vidio ini semngat trus bang,positif,tidak kasar
260,bang ericko lim gue minta iphone,positif,tidak kasar
261,bang ericko tetep ngefans sama abang ndak usah ndengerin haters yg terlalu sadis tuju abang mnghibur moga tambah sukses,positif,tidak kasar
262,bang erico lim kapan buat video,positif,tidak kasar
263,bang erico paling kocak,positif,tidak kasar
264,bang ericolim gua salah satu subscriber kamu fans kamu bang,positif,tidak kasar
265,bang ericontolim makan pejuh kim himme dong kwkwkw,positif,tidak kasar
266,bang erik ayo mabar pubg,positif,tidak kasar
267,bang erik cuma mau bikin kamu asik gituuu goblok kamu hatters,negatif,kasar
268,bang erik dia iri ama melet lu,positif,tidak kasar
269,bang erik gantenng,positif,tidak kasar
270,bang erik haters mh diemin ae yg penting semangat bang youtube,positif,tidak kasar
271,bang erik main pb dong bang soapers lama juga kangen bang,positif,tidak kasar
272,bang erik main pb dong bang soapers lama pasti juga kangen bang,positif,tidak kasar
273,bang eriko kapan ngomong toxic gw kangen sama toxic an lu bangin,positif,tidak kasar
274,bang g react tik tod lg,positif,tidak kasar
275,bang ga bikin lagu diss haters,positif,tidak kasar
276,bang ga usah mikirin heters banyak yg suport lu bang,positif,tidak kasar
277,bang gampang banget jawab haters lu,positif,tidak kasar
278,bang ganti semir rambut elu donk msk terus x aja yg lh,positif,tidak kasar
279,bang gara gara kamu teman aku dulu toxic sekarang banyan toxic,positif,tidak kasar
280,bang gara loh satu sekolah w jadi,positif,tidak kasar
281,bang gebetan gw pacar ama temen gw gimana ni,positif,tidak kasar
282,bang gua bantu lu bikin konten riding komen heter,positif,tidak kasar
283,bang gua dukung kamu gua lahir sampe surga,positif,tidak kasar
284,bang gua fans lo,positif,tidak kasar
285,bang gua haterslu,positif,tidak kasar
286,bang gua jilat sepatu makan daun tapi di bully,negatif,kasar
287,bang gua kan dh subscibe kok gk ada tanda merah wah lu boong lu bang v,positif,tidak kasar
288,bang gua kangen kamu main pb lgi,positif,tidak kasar
289,bang gua kemaren makan sumpit pake bubur,positif,tidak kasar
290,bang gua kilk subscribe x,positif,tidak kasar
291,bang gua klik subscribenya kali,positif,tidak kasar
292,bang gua mau indomaret mau nitip,positif,tidak kasar
293,bang gua mau jadi haters lu tapi gua bingung gmn cara,negatif,kasar
294,bang gua mau jdi murid didik lo njing,positif,tidak kasar
295,bang gua mau kasih kata rahasia,positif,tidak kasar
296,bang gua mencet tombol subscribe malah pause vidionya,positif,tidak kasar
297,bang gua muslim jdi jangan pake toxic bales jwabah tdi kalo mau antem sini goblok,negatif,kasar
298,bang gua ngak pernah skip iklan lu,positif,tidak kasar
299,bang gua nntonnya iklan mlu bngst wkwkw,positif,tidak kasar
300,bang gua nungguin lo bkin konten milf,positif,tidak kasar
301,bang gua saranin ni chenel khusus biar anak kecil ngeliat,positif,tidak kasar
302,bang gua selau dukung lu,positif,tidak kasar
303,bang gua suka ngejek kamu erickontolim bang gua tetep suka ama kamu bang,positif,tidak kasar
304,bang gua masuk haters elu tapi aku nge pens sama lo bang terus aja karya ya bang,negatif,kasar
305,bang gua tetep jadi soapers donk,positif,tidak kasar
306,bang gua udah lewat detik gabisa subscribe nih tambahin dong waktu menit kek gitu,positif,tidak kasar
307,bang gua udah unsubcribe,positif,tidak kasar
308,bang gue ada challenge yaitu,positif,tidak kasar
309,bang gue bocah ni bolah hate coment gx biar gue yg di buly subsciber lu wkwkw,positif,tidak kasar
310,bang gue cuma mao bilang tdi ada adsense gua gak skip gua nonton ampe habis,positif,tidak kasar
311,bang gue laper,positif,tidak kasar
312,bang gue suport lu cuma yang perlu di koreksi dari lu cuma kata lu aja perlu di halus dikit,positif,tidak kasar
313,bang gw dh tahun subscribe channel lu tapi x aja gk pernah lu like kasi emot kek di comment gw u ga banyak kek sekarang but its ok,negatif,kasar
314,bang gw mau buat chanel youtube,positif,tidak kasar
315,bang gw mau nanya kok lu ngebet banget tahun ini untuk juta subs emnk knp bang,positif,tidak kasar
316,bang gw mau nanya lu nge fans gk sama bang arap,positif,tidak kasar
317,bang gw mau nanyak,positif,tidak kasar
318,bang gw nonton nya mlm nggak cerah,positif,tidak kasar
319,bang gw saranin lu hapus channel aj wkwkwq nyindir yaa,positif,tidak kasar
320,bang gw soapers sampai tulang,positif,tidak kasar
321,bang gw udah klik subcribe abis itu gw klik lagi,positif,tidak kasar
322,bang gw udah sub lu tapi lu suruh gw sub lagi terus gimana,negatif,kasar
323,bang hapus dong chanel kamu bang,positif,tidak kasar
324,bang hapus dong tato plzzz,positif,tidak kasar
325,bang harus kamu kasih lagu kamu yg hipokrit bang l jir,positif,tidak kasar
326,bang hate comment,positif,tidak kasar
327,bang haters gue kok baik mungkin yang tahu cara bikin haters jd jahat,positif,tidak kasar
328,bang haters kamu kok goblok semua apalagi yg byk duit byk haters mending hapus cenel tertawa,negatif,kasar
329,bang i love youu,positif,tidak kasar
330,bang iklan goha dtk skip,positif,tidak kasar
331,bang iklan kamu ada yg aku skiip,positif,tidak kasar
332,bang inget arjun sanjaya,positif,tidak kasar
333,bang intro pake wik wik wiknitin gitun bayak dong views abang icko makin masuk trending,positif,tidak kasar
334,bang isis bukan teroris jangan salah paham,positif,tidak kasar
335,bang itu orang ngechat hate karena mereka ngak punya modal buat bikin video jadi mereka ngatain,positif,tidak kasar
336,bang jadi hatters kamu kbanyakan nonton kgak pke mkir ujung nya kamu buat konten jga nonton,positif,tidak kasar
337,bang jadi islam,positif,tidak kasar
338,bang jadi sasuke lagi laah rambut udah panjang tu,positif,tidak kasar
339,bang janagn laden haters terus aja karya,positif,tidak kasar
340,bang jangan banyak toxic kena azab di sinetron mnctv,positif,tidak kasar
341,bang jangan dengerin haters,positif,tidak kasar
342,bang jangan lama lama upload youtube rewindnya,positif,tidak kasar
343,bang jangan nang bang,positif,tidak kasar
344,bang jangan ngomong jorok aku jadi jijik,positif,tidak kasar
345,bang jangan terlalu toxic bang banyak anak kecil yang nonton kalo hatdehhh,positif,tidak kasar
346,bang jngan toxic bukankah kamu dh janji buat toxic,positif,tidak kasar
347,bang jt live coli wkkw,positif,tidak kasar
348,bang jt sub lu co pake balsem geliga dong,positif,tidak kasar
349,bang jt subscriber grebek rumah johnny sins biar rame gitu sensasi,positif,tidak kasar
350,bang jt subscriber minum p ju,positif,tidak kasar
351,bang juta subcriber give way lonte hehe,negatif,kasar
352,bang kak audy knpa jarang bikin vidio bang,positif,tidak kasar
353,bang kakak kelas aku,positif,tidak kasar
354,bang kalau dah jt donasiin,positif,tidak kasar
355,bang kalau haters balas gin kamu bngsd gua tampol kamu,positif,tidak kasar
356,bang kalau kamu makan kadal hidup aku subscribe,positif,tidak kasar
357,bang kalau nnton semua video kamu skip iklan tidak subscribe masuk fans haters,positif,tidak kasar
358,bang kalau saranin tulis mulai video,positif,tidak kasar
359,bang kalau sering bikin video yg nyangkut haters dong bang wkwk,positif,tidak kasar
360,bang kalo boleh tau cita cita lu itu apa yak,positif,tidak kasar
361,bang kalo mau jt bikin challenge kayak orang lain jess no limit juga botak,positif,tidak kasar
362,bang kamu bikin collab sama kim hime viewrs nya banyak,positif,tidak kasar
363,bang kamu bikin dong vlog gaming free fire biar pesona gitu wkwkaters,positif,tidak kasar
364,bang kamu coli pake tangan kiri,positif,tidak kasar
365,bang kamu dekil bener jadi ane klik subscribe x semangat ngegasnya,positif,tidak kasar
366,bang kamu diss pliss kasih balas buat orang gila ini link nya,negatif,kasar
367,bang kamu jadi motivasi,positif,tidak kasar
368,bang kamu kok edit kamu gila rando bang wkwkwk,negatif,kasar
369,bang kamu kok goblog,positif,tidak kasar
370,bang kamu kok iklan,positif,tidak kasar
371,bang kamu kok toxic nya cuman yutup,positif,tidak kasar
372,bang kamu papa apa tamper pas gbk,positif,tidak kasar
373,bang kamu pinter asli,positif,tidak kasar
374,bang kamu sekali bikin video yg faedah bang biar subscriber kamu banyak dannnn kamu jomblo,positif,tidak kasar
375,bang kamu subsback w,positif,tidak kasar
376,bang kamu terus si joji,positif,tidak kasar
377,bang kamu tidak pacar sama kim hime aja haha,positif,tidak kasar
378,bang kan mereka suruh un sub kalo sub abang kayak mana abang makan teman abang makan yg bilang pikir kali bos,positif,tidak kasar
379,bang kangen opening dora bang,positif,tidak kasar
380,bang kapan botak,positif,tidak kasar
381,bang kapan challenge makan jemb t,positif,tidak kasar
382,bang kapan kapan vlog mars,positif,tidak kasar
383,bang kapan ke bandung,positif,tidak kasar
384,bang kapan kentot sama kimmy him him,positif,tidak kasar
385,bang kapan kolab ama nyokap,positif,tidak kasar
386,bang kapan maen pb lg bang,positif,tidak kasar
387,bang kapan main pb nya bang,positif,tidak kasar
388,bang kapan mau di botak nyaaa,positif,tidak kasar
389,bang kapan nih live streaming udah pingin liat live nya lagi,positif,tidak kasar
390,bang kapan nikah,positif,tidak kasar
391,bang kapan verified,positif,tidak kasar
392,bang kasih tau bocor youtube rewind dong bang,positif,tidak kasar
393,bang kata mau botak kalau jt subscribe,positif,tidak kasar
394,bang kata renti toxic masih ngomong kotor,positif,tidak kasar
395,bang kayak nya subs lu heters dan,positif,tidak kasar
396,bang ke jimat tahun ya,positif,tidak kasar
397,bang keep it up orang cuma ngeliat sisi buruk doang sebner nya tidak tau baik kamu,positif,tidak kasar
398,bang kembang cenel nya bang,positif,tidak kasar
399,bang kenapa sering upload,positif,tidak kasar
400,bang klo mau jadi haters lu daftar berapa duit,positif,tidak kasar
401,bang knp youtuber ngomong jangan lupa subribe kalau lupa napa,positif,tidak kasar
402,bang ko lu ganteng v,positif,tidak kasar
403,bang ko muka lu kae kntlonk erikontoruu,positif,tidak kasar
404,bang kok chandra liow nggk ad di youtube rewind,positif,tidak kasar
405,bang kok di youtube rewind gak ada skinny,positif,tidak kasar
406,bang kok gak ada cewek gak asik,positif,tidak kasar
407,bang kok gk ad ody gk asikk hard pray hard lim dong,positif,tidak kasar
408,bang kok gk ada iklan bang,positif,tidak kasar
409,bang kok hati kamu kuat sih aku kalau dikatain rasa putus hati aku,positif,tidak kasar
410,bang kok iklan kondom,positif,tidak kasar
411,bang kok lidah nya panjang amat,positif,tidak kasar
412,bang kok lu rad amat yak,positif,tidak kasar
413,bang kok subcriber lo goblok ya,negatif,kasar
414,bang kok youtube rewind nggak ajak qorygore bang,positif,tidak kasar
415,bang kolab lagi bang sama pacar lu maen teken,positif,tidak kasar
416,bang ktanya jt subscribe,positif,tidak kasar
417,bang rangin toxic kamu supaya subscribe nya naik,positif,tidak kasar
418,bang laurentius rando ada di youtube rewind,positif,tidak kasar
419,bang lebih milih jess no limit dleyn pross lebih jago siapa mohon jawab,positif,tidak kasar
420,bang lianteey mana,positif,tidak kasar
421,bang liat tetek kak kim hime please,positif,tidak kasar
422,bang like baaaaaaaaaang,positif,tidak kasar
423,bang like komen aku napa,positif,tidak kasar
424,bang lo ubah dong soal banyak anak kecil yg nonton,positif,tidak kasar
425,bang lo ganteng parah sbb itu kak ody mau lo owhh iya package cm pasti horny itu cewe lagi gw udah subs kak ody ama erickolim,positif,tidak kasar
426,bang lo kg punya kursi gaming,positif,tidak kasar
427,bang lo orang palembang ya,positif,tidak kasar
428,bang lo terus si joji,positif,tidak kasar
